54
0,1,2,4,2,4,1,3,2,3,3,1,4,1,2,3,3,1,2,1,3,3,3,3,1,2,4,3,1,2,1,2,2,3,2,1,2,4,2,1,4,4,3,4,4,2,3,3,1,3,4,4,4,3,2,0
0,47,28,73,24,70,57,73,53,53,69,64,77,25,90,37,81,18,12,27,30,92,27,97,67,50,38,67,22,92,47,13,82,26,20,33,78,46,77,75,83,55,63,78,14,80,35,19,60,37,90,84,47,82,45,0
47,0,53,96,20,23,35,21,55,88,86,94,85,68,41,31,55,95,46,31,69,10,92,76,42,77,64,23,67,49,13,44,76,61,35,91,26,93,17,91,41,57,17,95,45,50,25,20,55,16,82,18,51,98,26,47
28,53,0,42,82,42,52,12,69,83,82,52,88,15,82,39,90,97,33,17,69,28,67,93,91,84,96,32,22,74,52,87,90,75,45,70,100,53,13,25,26,66,49,59,97,46,91,87,34,36,23,12,26,77,63,28
73,96,42,0,60,84,85,21,38,22,14,16,63,30,100,40,23,20,97,21,24,91,50,58,90,68,40,59,78,72,44,94,36,78,71,78,84,76,43,76,65,43,42,55,12,58,67,45,33,30,43,56,83,59,55,73
24,20,82,60,0,61,100,52,91,49,98,38,63,66,64,100,13,90,18,30,79,50,34,56,79,48,77,83,41,69,50,71,13,26,37,69,17,65,67,44,46,55,46,33,39,34,95,70,75,41,38,78,73,90,70,24
70,23,42,84,61,0,74,54,28,86,68,16,86,37,28,71,72,22,19,30,37,72,54,75,97,10,50,15,55,62,54,96,60,70,22,76,41,52,17,71,80,27,96,34,25,40,57,51,83,71,30,80,57,26,45,70
57,35,52,85,100,74,0,97,67,89,45,99,29,49,46,53,29,49,47,24,50,40,60,63,84,95,70,66,79,63,96,53,59,61,77,66,69,60,56,36,11,59,32,94,19,15,58,34,39,99,36,48,44,96,82,57
73,21,12,21,52,54,97,0,57,79,31,89,39,13,96,67,66,93,24,83,61,20,20,47,66,20,94,53,12,53,12,49,76,85,52,49,36,15,61,90,53,98,83,53,43,69,88,20,41,75,55,78,30,22,10,73
53,55,69,38,91,28,67,57,0,20,94,64,68,53,20,50,65,34,83,28,57,23,30,85,30,64,54,59,31,45,20,66,97,85,30,82,23,78,69,88,15,17,96,53,80,92,82,53,18,40,87,37,66,57,16,53
53,88,83,22,49,86,89,79,20,0,59,100,72,24,33,78,73,85,13,22,90,54,67,72,19,65,29,55,40,17,37,100,71,90,11,93,79,79,38,56,16,29,57,21,55,86,65,23,30,48,96,33,75,15,38,53
69,86,82,14,98,68,45,31,94,59,0,63,72,74,98,73,14,69,28,31,68,82,95,60,99,49,52,77,15,54,74,52,17,28,13,29,18,86,58,13,59,42,30,44,19,38,80,59,61,18,57,92,69,42,64,69
64,94,52,16,38,16,99,89,64,100,63,0,71,43,25,99,74,61,32,57,37,12,47,88,46,87,38,70,51,61,12,97,70,98,52,73,46,84,29,32,80,32,75,33,48,64,87,14,68,89,61,78,28,74,25,64
77,85,88,63,63,86,29,39,68,72,72,71,0,57,56,89,35,85,62,99,56,100,10,77,16,96,11,73,41,71,99,12,93,21,34,87,34,82,81,42,78,65,26,75,25,69,63,89,97,30,14,15,48,45,73,77
25,68,15,30,66,37,49,13,53,24,74,43,57,0,33,50,62,10,77,26,66,24,78,35,16,41,33,58,12,43,12,39,33,14,14,24,28,58,94,49,45,18,35,78,39,72,77,94,75,16,77,96,82,65,95,25
90,41,82,100,64,28,46,96,20,33,98,25,56,33,0,100,38,49,39,38,55,98,65,87,86,28,41,83,27,22,68,85,90,68,92,26,52,32,37,98,94,15,15,66,61,11,63,79,83,62,20,82,41,27,39,90
37,31,39,40,100,71,53,67,50,78,73,99,89,50,100,0,87,63,16,26,94,10,93,27,89,13,82,25,59,52,36,64,19,40,66,63,63,55,75,23,59,27,50,29,34,26,21,10,51,57,45,76,71,61,23,37
81,55,90,23,13,72,29,66,65,73,14,74,35,62,38,87,0,89,84,77,36,24,48,47,14,31,27,98,31,58,86,81,19,42,78,13,29,94,40,24,87,84,24,56,97,49,70,92,53,19,22,96,77,36,89,81
18,95,97,20,90,22,49,93,34,85,69,61,85,10,49,63,89,0,73,20,98,63,30,47,19,82,18,74,16,78,97,70,15,100,76,63,41,26,36,14,59,59,23,18,76,99,51,84,40,80,10,56,76,89,53,18
12,46,33,97,18,19,47,24,83,13,28,32,62,77,39,16,84,73,0,48,69,10,87,11,85,98,36,67,10,28,28,39,40,48,73,77,85,59,47,72,27,79,23,16,91,40,70,46,25,98,93,27,75,73,55,12
27,31,17,21,30,30,24,83,28,22,31,57,99,26,38,26,77,20,48,0,84,54,35,12,75,16,97,26,29,43,94,86,15,51,97,26,94,87,30,30,93,17,39,89,91,25,60,10,59,75,87,45,80,84,30,27
