45
0,4,4,3,2,4,3,4,1,3,4,3,3,1,3,1,3,1,3,1,4,2,3,3,2,3,2,2,2,4,2,4,1,3,2,4,3,3,3,3,3,3,2,2,4,1,0
0,25,53,79,96,17,73,75,97,23,77,18,83,55,29,11,45,97,42,52,40,83,17,40,36,36,44,97,100,83,22,89,22,59,80,11,80,30,75,26,95,81,73,84,39,25,0
25,0,47,96,97,43,40,84,84,27,98,71,92,68,51,15,94,61,88,69,64,65,78,40,58,57,95,45,86,64,64,87,30,34,48,43,81,33,12,82,48,38,35,53,34,17,25
53,47,0,30,86,67,44,65,73,22,14,29,44,63,35,48,51,26,10,51,10,29,58,17,34,56,96,11,22,92,23,55,91,68,43,77,80,27,82,73,67,84,81,66,34,41,53
79,96,30,0,74,12,51,29,58,20,24,59,51,16,24,64,36,49,58,84,90,55,96,49,71,95,93,49,53,84,88,24,13,13,97,61,66,97,72,80,76,98,20,100,71,38,79
96,97,86,74,0,23,82,72,79,90,51,90,41,85,63,55,35,82,20,43,40,83,13,65,50,19,67,28,46,100,79,36,32,53,36,65,98,85,38,20,30,47,64,43,63,72,96
17,43,67,12,23,0,63,84,51,69,91,83,68,67,84,81,89,52,59,66,69,100,66,66,97,39,56,93,49,40,65,25,62,82,44,61,27,57,100,78,80,79,57,99,47,99,17
73,40,44,51,82,63,0,13,67,90,96,55,24,41,72,13,81,53,13,99,14,88,12,21,83,93,53,80,14,93,33,93,47,78,68,99,39,78,83,47,26,88,89,12,73,57,73
75,84,65,29,72,84,13,0,77,36,98,55,50,18,33,99,81,91,18,48,11,57,66,45,73,73,48,36,56,23,98,90,99,88,39,84,68,50,95,95,23,30,77,30,45,61,75
97,84,73,58,79,51,67,77,0,16,35,80,37,31,50,25,12,58,56,79,19,58,72,64,16,62,34,87,34,44,69,91,74,28,21,77,21,29,17,58,12,17,68,69,46,98,97
23,27,22,20,90,69,90,36,16,0,68,23,37,32,99,60,55,95,73,21,54,27,46,93,16,22,97,17,51,22,26,32,57,65,49,93,84,43,69,74,17,99,41,79,86,63,23
77,98,14,24,51,91,96,98,35,68,0,31,10,43,85,26,62,19,87,29,38,95,23,17,29,27,86,33,47,97,39,14,37,84,38,85,93,94,93,52,44,77,68,13,53,93,77
18,71,29,59,90,83,55,55,80,23,31,0,28,93,48,31,50,61,36,42,67,68,66,73,67,10,66,69,54,89,45,93,46,77,33,34,99,18,84,34,54,13,63,86,42,31,18
83,92,44,51,41,68,24,50,37,37,10,28,0,13,88,91,43,56,33,78,24,83,81,74,32,60,26,57,54,57,89,37,28,33,26,66,82,93,11,79,86,38,78,33,44,78,83
55,68,63,16,85,67,41,18,31,32,43,93,13,0,22,47,74,21,85,57,78,71,39,30,22,28,35,66,96,13,72,29,81,64,98,50,46,27,32,41,32,79,100,26,84,55,55
29,51,35,24,63,84,72,33,50,99,85,48,88,22,0,48,48,55,52,53,56,60,91,58,65,91,77,25,85,96,42,97,26,13,95,70,44,12,97,23,61,57,48,58,98,10,29
11,15,48,64,55,81,13,99,25,60,26,31,91,47,48,0,70,87,18,46,95,81,22,96,93,63,42,26,33,74,73,48,63,45,20,34,26,33,53,22,37,88,70,21,66,86,11
