98
0,2,2,4,2,1,4,3,2,1,1,4,4,3,1,2,3,3,2,3,1,4,3,4,2,4,4,2,2,2,4,4,3,2,2,3,3,1,1,1,1,1,1,1,1,2,3,3,1,2,3,1,1,2,2,3,2,4,4,4,1,3,4,3,2,4,2,4,3,3,4,1,1,3,1,4,3,4,4,1,4,2,4,3,4,3,1,3,4,2,3,2,4,2,4,1,4,1,4,0
0,90,17,17,39,90,83,58,31,90,16,71,25,84,34,80,69,60,13,28,75,19,81,31,31,31,93,28,96,97,32,88,29,74,50,15,26,27,55,46,37,87,22,87,47,69,75,20,57,92,92,15,17,68,51,38,33,53,42,15,24,74,23,20,28,90,71,69,49,78,97,79,81,84,71,98,45,73,69,71,16,40,63,99,17,81,85,61,23,100,30,68,86,49,85,41,13,49,37,0
90,0,65,72,41,32,51,41,27,79,15,98,46,50,82,19,54,60,45,50,35,19,12,61,28,16,93,79,58,51,59,84,67,31,57,71,43,26,14,67,96,58,71,26,10,96,24,26,77,14,65,98,25,64,28,76,47,47,77,88,95,32,71,48,95,64,53,55,59,32,69,71,54,100,49,47,88,70,91,35,64,36,23,13,24,20,67,58,75,11,89,57,48,99,64,92,52,46,42,90
17,65,0,97,54,67,30,35,26,38,42,53,98,71,88,65,62,90,34,30,88,47,15,67,41,67,94,51,74,87,80,75,69,35,28,45,31,54,47,46,29,42,72,55,54,90,19,24,67,53,14,72,31,45,34,69,97,45,92,51,79,23,74,14,98,71,79,17,97,47,67,49,96,18,12,20,10,42,11,73,86,17,61,21,22,28,86,21,47,93,65,82,75,20,20,64,83,55,26,17
17,72,97,0,67,49,17,48,46,83,46,23,65,78,92,19,34,33,14,82,27,82,87,100,49,80,43,83,49,78,53,59,33,16,28,75,89,16,78,10,13,83,85,70,88,47,66,72,41,57,65,70,68,38,46,45,23,52,37,26,36,83,80,86,22,72,44,100,81,12,38,99,32,91,88,23,77,58,59,47,39,55,40,68,28,34,19,52,65,30,98,86,28,11,19,81,71,18,49,17
39,41,54,67,0,45,22,56,19,17,79,73,59,19,82,16,32,87,90,42,17,69,49,48,85,55,76,14,76,57,87,99,77,23,43,46,58,36,39,33,80,44,75,92,16,27,38,93,27,64,99,97,56,81,100,55,22,27,68,19,98,55,55,54,48,28,21,59,46,78,60,45,98,70,89,46,13,11,82,23,55,29,42,34,46,91,18,15,100,11,96,25,98,33,20,71,15,78,45,39
90,32,67,49,45,0,30,97,100,34,19,30,70,66,81,75,13,11,14,83,11,43,23,100,69,74,41,10,48,29,56,67,67,48,85,63,47,61,64,38,18,16,53,50,69,25,46,26,82,81,81,86,89,55,34,33,28,81,81,87,99,10,41,51,81,21,30,73,86,73,73,88,59,34,30,53,87,69,29,40,93,37,65,13,44,41,64,30,41,86,47,42,27,28,87,100,95,62,42,90
83,51,30,17,22,30,0,40,89,11,89,14,74,95,78,15,70,46,57,62,59,11,40,99,92,52,70,55,46,22,59,64,30,85,91,95,67,31,85,24,18,24,40,99,57,12,57,69,21,61,58,63,75,57,10,16,74,82,68,83,60,99,82,79,45,38,66,76,25,83,26,66,50,97,97,56,13,47,33,81,81,37,60,64,52,84,56,69,39,34,33,98,27,39,26,32,44,47,40,83
58,41,35,48,56,97,40,0,59,66,59,32,72,23,74,83,67,28,98,71,15,57,75,72,96,14,75,79,79,29,79,51,99,34,41,72,75,35,76,13,49,14,99,70,26,71,17,28,38,13,73,50,79,66,16,68,65,54,56,17,90,46,99,65,41,87,45,54,21,28,31,42,60,22,92,53,50,96,33,40,89,89,38,22,54,50,66,96,40,98,35,71,29,58,33,67,42,39,86,58
31,27,26,46,19,100,89,59,0,20,68,100,22,35,30,17,95,13,60,93,97,35,19,60,80,89,33,21,56,29,84,10,31,18,91,75,97,49,57,91,84,89,50,43,82,77,96,38,45,72,23,50,31,72,100,12,59,86,96,76,34,72,33,43,42,13,88,64,76,96,57,72,11,82,44,10,92,92,91,66,75,50,33,15,92,10,76,40,47,20,36,26,22,56,25,41,48,19,92,31
