11
0,2,4,3,1,1,2,1,3,4,4,1,0
0,88,61,21,38,95,72,96,15,22,73,85,0
88,0,78,75,28,54,46,62,13,93,72,10,88
61,78,0,21,87,57,46,38,72,18,73,38,61
21,75,21,0,80,13,91,15,32,94,55,97,21
38,28,87,80,0,40,81,36,27,79,95,18,38
95,54,57,13,40,0,84,28,17,12,30,49,95
72,46,46,91,81,84,0,76,29,84,79,99,72
96,62,38,15,36,28,76,0,65,15,38,34,96
15,13,72,32,27,17,29,65,0,36,50,35,15
22,93,18,94,79,12,84,15,36,0,45,85,22
73,72,73,55,95,30,79,38,50,45,0,88,73
85,10,38,97,18,49,99,34,35,85,88,0,85
0,88,61,21,38,95,72,96,15,22,73,85,0
