117
0,1,1,4,3,3,2,1,4,3,4,2,3,1,2,4,2,1,2,1,4,4,3,3,4,1,1,3,2,2,3,2,2,2,3,4,2,4,1,3,1,1,2,2,1,3,2,1,2,4,2,1,2,4,3,3,2,4,2,2,4,2,1,1,4,2,1,1,1,1,1,2,2,4,4,1,4,2,2,3,4,3,1,4,3,2,1,1,4,1,4,1,2,4,1,4,1,4,1,1,4,4,4,4,1,4,3,4,4,3,2,3,4,2,1,3,1,4,0
0,50,33,62,23,100,66,65,91,97,42,37,15,75,68,40,45,43,31,30,69,15,74,12,39,46,49,38,11,75,69,56,48,27,89,76,71,42,37,32,85,91,75,91,97,55,93,63,50,100,89,57,85,42,49,38,28,77,95,74,71,92,45,44,37,73,32,14,90,77,79,71,67,60,69,63,19,33,93,19,60,71,40,75,58,19,35,48,79,97,90,25,92,14,21,15,95,86,70,36,88,71,96,99,68,94,55,96,69,63,54,68,27,90,38,85,15,95,0
50,0,35,63,85,30,55,78,64,12,21,92,13,57,17,21,23,100,13,61,99,90,37,84,11,13,85,17,42,61,38,98,27,56,13,51,95,11,87,95,97,14,33,96,80,43,26,59,89,22,67,95,94,26,99,37,16,43,32,82,34,84,41,95,99,51,42,97,81,57,65,93,63,63,59,11,69,82,95,25,71,57,16,64,27,15,63,62,58,60,80,43,86,92,35,67,25,56,70,79,73,41,74,47,68,97,89,35,71,84,74,82,22,72,40,47,92,22,50
33,35,0,71,73,95,12,88,77,19,96,51,28,35,15,56,23,93,29,18,86,53,17,40,34,64,48,92,72,37,10,66,92,42,16,62,28,89,61,100,84,42,69,40,13,43,28,91,38,39,93,26,96,29,41,58,77,30,25,79,63,34,87,78,100,61,31,24,22,45,73,92,94,51,85,42,48,35,88,53,95,86,40,74,69,37,33,51,63,87,72,90,98,71,31,39,60,36,60,99,76,26,18,32,93,28,15,31,43,26,34,13,80,90,69,66,78,22,33
62,63,71,0,91,69,30,48,28,10,22,55,13,58,81,57,95,51,80,99,34,76,29,32,31,10,89,20,25,36,95,60,96,33,56,50,23,11,99,80,15,27,33,67,26,74,33,80,14,92,59,38,10,26,71,92,86,83,94,95,17,53,51,33,19,11,85,49,85,81,24,79,91,61,75,41,18,45,77,42,54,80,95,38,57,62,18,52,100,80,54,12,72,47,99,61,82,30,25,94,34,39,44,17,100,50,74,66,32,93,67,21,17,50,90,74,38,60,62
23,85,73,91,0,21,84,77,78,80,19,97,49,46,43,62,63,71,63,70,60,92,38,53,80,82,69,37,20,73,30,48,40,41,93,80,78,87,65,95,99,73,53,39,67,69,35,83,81,85,20,48,75,86,99,31,64,85,68,75,90,77,60,22,59,77,27,18,14,85,21,94,35,27,62,14,34,79,29,17,12,67,86,87,30,33,96,93,40,68,53,76,39,88,62,43,22,18,27,21,30,65,32,54,90,24,86,41,30,98,76,85,74,46,25,62,82,12,23
100,30,95,69,21,0,76,18,22,70,39,29,91,63,84,42,63,13,14,44,83,69,18,84,61,81,13,71,30,84,95,23,17,48,65,55,82,74,11,36,62,72,30,93,23,83,69,20,23,93,74,53,31,83,65,37,47,38,32,16,22,12,59,97,12,41,26,87,70,62,77,84,90,100,41,87,86,12,45,95,84,11,15,19,64,42,84,66,74,67,87,34,10,54,91,25,100,57,78,88,87,81,98,70,39,75,100,98,27,58,78,16,19,54,99,38,78,86,100
66,55,12,30,84,76,0,79,43,57,65,49,99,67,50,87,76,87,36,89,14,61,27,52,47,88,93,56,70,72,90,51,42,71,45,95,30,13,77,56,96,15,64,19,46,95,24,15,17,75,34,74,35,27,29,23,59,85,68,18,74,76,17,41,50,89,81,26,91,13,54,93,33,93,83,95,20,94,90,73,88,20,11,11,82,75,26,52,88,38,22,79,90,67,66,56,98,48,61,56,89,13,23,21,48,72,16,96,76,83,93,14,41,20,70,32,44,56,66
65,78,88,48,77,18,79,0,30,100,82,94,98,15,96,14,42,42,21,92,68,24,47,57,54,45,44,67,16,18,69,69,36,13,95,39,41,80,63,92,15,19,22,72,43,18,64,43,12,94,39,43,35,61,71,83,51,14,69,17,92,51,88,40,19,75,80,62,65,86,17,97,24,25,38,96,57,30,71,26,30,63,43,80,60,20,32,14,21,59,64,70,53,68,60,75,48,37,75,41,67,34,48,54,13,68,29,65,22,73,98,46,78,32,88,99,63,54,65
91,64,77,28,78,22,43,30,0,12,89,13,67,55,79,12,46,36,69,97,21,20,89,91,68,99,100,91,58,69,84,24,89,69,39,70,71,37,10,28,29,62,30,15,30,32,39,11,15,76,82,92,56,57,44,33,56,33,43,69,39,42,85,49,36,36,73,81,39,23,47,69,57,67,37,98,95,35,27,64,15,58,47,81,49,59,57,52,28,89,83,97,76,15,19,21,43,46,88,82,100,72,68,61,46,13,29,32,74,39,48,60,34,73,17,27,42,84,91
97,12,19,10,80,70,57,100,12,0,51,72,85,72,42,31,64,46,96,91,56,87,66,63,76,53,22,48,27,79,76,35,23,31,69,94,55,91,42,55,93,72,17,47,93,63,96,32,57,89,37,47,88,42,76,63,23,26,45,80,53,75,56,83,38,41,74,56,30,61,85,32,60,29,41,51,81,12,62,23,21,48,24,87,41,24,70,87,76,87,67,10,75,46,28,47,56,57,12,15,53,36,80,36,51,93,44,98,53,20,36,83,73,53,41,52,64,52,97
42,21,96,22,19,39,65,82,89,51,0,69,85,64,30,44,11,100,42,68,14,46,15,63,74,56,31,12,97,91,23,74,76,14,79,50,66,78,75,86,67,96,19,68,34,76,12,53,28,66,55,12,37,42,26,68,44,37,53,13,94,33,69,96,28,100,77,66,19,57,100,98,97,91,55,45,35,85,67,95,48,52,86,82,11,43,45,42,80,14,19,39,63,19,63,26,57,68,83,73,62,90,83,70,76,39,92,59,42,22,22,95,82,57,65,72,100,81,42
