97
0,4,2,2,4,1,4,4,1,2,2,2,2,4,3,2,1,1,1,2,3,3,1,4,4,2,4,4,2,3,1,3,2,2,3,3,1,3,4,1,2,3,1,4,1,2,2,4,2,4,3,1,3,2,3,3,3,2,1,2,4,4,4,2,4,2,2,1,3,4,1,4,2,2,2,3,4,3,4,4,2,2,2,4,1,1,4,4,3,2,4,4,3,3,3,1,4,2,0
0,13,48,71,23,56,48,96,14,64,87,97,81,77,43,20,58,73,45,90,48,49,62,32,58,42,50,76,15,11,61,81,19,41,76,31,64,79,22,98,28,58,47,84,54,81,56,58,61,82,28,81,11,88,63,63,38,32,83,93,24,48,23,69,40,52,67,77,33,73,80,88,62,64,39,17,45,66,27,17,30,77,34,16,38,35,32,17,93,92,83,29,50,11,27,13,21,22,0
13,0,74,93,76,45,42,68,95,85,99,32,35,98,60,21,96,41,92,12,17,39,36,14,36,70,86,51,50,92,25,65,97,74,91,81,57,85,23,62,41,26,100,92,96,41,37,22,88,23,28,89,32,22,94,66,79,33,20,10,31,96,12,11,80,85,12,32,56,35,63,100,41,53,24,90,63,13,22,25,61,80,64,94,44,45,38,36,82,97,88,71,89,70,16,75,23,12,13
48,74,0,61,31,16,45,56,45,88,34,81,95,88,10,36,10,20,61,97,65,32,34,90,56,83,32,29,56,23,91,47,68,68,74,47,77,68,38,97,61,58,30,16,94,29,97,66,97,12,88,11,67,39,87,47,96,58,89,72,86,15,82,33,42,34,14,33,29,93,99,16,95,83,63,42,51,23,31,15,95,53,90,76,70,31,71,54,54,35,46,26,18,68,38,72,61,25,48
71,93,61,0,96,27,43,28,15,31,24,62,42,50,65,63,66,50,66,60,24,12,45,89,40,70,81,82,74,61,30,98,18,52,45,65,19,100,56,57,50,76,16,64,90,66,33,68,62,62,40,74,48,51,33,84,85,84,97,40,51,70,38,55,93,92,89,95,34,11,16,84,61,48,61,14,12,58,55,86,17,84,71,23,87,72,44,30,77,71,95,48,53,100,32,48,87,33,71
23,76,31,96,0,20,14,76,99,58,38,35,33,98,72,21,85,89,11,45,67,69,63,33,58,24,98,21,58,80,62,43,88,97,63,35,60,41,93,57,99,83,77,42,88,24,26,58,11,76,75,25,51,22,16,59,84,12,50,75,53,59,53,50,73,50,32,91,95,43,60,65,50,29,39,66,36,42,93,73,38,74,53,92,51,35,66,31,63,57,71,31,68,12,50,16,98,94,23
56,45,16,27,20,0,89,82,87,54,72,47,16,79,36,67,41,12,10,40,31,59,79,57,96,99,84,62,36,93,30,89,41,74,37,69,53,46,18,43,56,99,16,67,33,18,14,77,20,63,95,74,69,31,31,63,62,27,11,47,29,81,90,81,86,47,21,99,10,100,28,78,64,94,100,92,46,53,52,27,22,95,36,91,66,35,50,72,85,25,70,47,78,36,13,92,42,66,56
48,42,45,43,14,89,0,38,50,30,97,67,74,17,26,78,10,22,41,67,45,93,85,30,75,46,85,61,34,49,66,72,15,53,48,76,71,36,50,39,91,57,78,33,27,16,36,87,63,80,37,62,55,40,54,77,26,77,22,20,100,81,41,68,93,36,12,48,78,96,97,74,32,93,34,60,71,74,43,36,77,18,21,70,32,37,96,12,81,65,93,69,41,32,72,20,77,31,48
96,68,56,28,76,82,38,0,20,90,55,48,69,28,38,26,94,86,47,78,35,49,71,44,81,64,15,62,47,64,60,53,99,22,16,96,15,30,93,32,87,51,59,74,76,85,39,15,70,92,38,89,72,78,38,13,46,46,89,77,99,27,97,25,38,88,19,42,33,49,50,47,73,63,37,14,84,78,42,75,10,65,71,40,81,38,69,53,74,94,37,34,69,57,46,77,44,60,96
14,95,45,15,99,87,50,20,0,76,75,99,82,76,66,59,66,82,95,42,30,100,89,69,43,11,79,34,30,90,72,100,25,92,51,18,53,39,20,74,10,86,91,74,41,44,93,54,65,78,43,16,62,66,93,67,48,65,54,30,68,91,66,41,28,25,36,32,77,94,43,91,82,82,10,74,13,47,24,69,100,33,99,63,52,71,28,26,23,70,61,34,96,35,61,95,49,63,14
