83
0,3,3,1,2,4,1,2,2,2,3,1,2,2,3,1,1,2,2,1,4,3,1,3,4,4,3,1,1,3,4,3,2,4,4,3,2,4,1,3,1,2,3,2,3,2,3,3,1,2,1,4,2,4,4,3,2,3,1,4,4,2,4,4,1,3,4,2,2,1,2,1,3,1,1,2,1,1,4,3,3,4,3,1,0
0,43,79,32,47,37,87,64,77,32,13,84,14,61,18,27,46,59,69,83,93,60,44,29,91,54,18,37,89,61,10,90,59,66,54,32,17,80,18,80,20,50,51,10,95,62,25,100,19,45,76,90,41,29,26,61,49,46,36,31,45,60,45,56,71,16,96,91,38,76,31,10,80,19,30,19,23,75,53,70,63,69,60,72,0
43,0,39,17,88,87,38,85,23,11,34,10,97,99,69,55,58,47,92,86,76,67,60,52,59,83,88,16,50,88,95,80,21,44,17,62,55,93,26,40,51,99,16,74,89,21,46,39,32,75,36,40,45,60,68,22,61,39,19,13,98,57,71,58,49,50,35,20,24,24,70,53,86,73,61,47,59,85,37,87,22,82,49,80,43
79,39,0,33,78,59,11,75,93,57,93,11,93,53,70,24,39,94,52,42,44,39,65,26,100,76,26,14,90,73,56,11,56,67,99,37,99,41,90,39,79,90,77,34,80,94,69,63,18,98,62,66,87,95,98,40,12,43,99,66,19,78,97,71,51,24,30,38,59,70,68,83,44,28,26,49,55,29,97,84,33,94,67,76,79
32,17,33,0,73,16,41,28,39,81,37,49,30,22,47,93,85,89,53,67,76,73,35,35,50,13,42,26,16,76,44,12,83,17,83,67,70,68,85,39,21,48,35,96,50,45,31,82,85,68,47,86,15,17,33,97,74,67,58,69,50,90,72,27,27,71,11,75,18,39,17,47,27,63,66,82,75,97,34,45,70,50,17,69,32
47,88,78,73,0,18,24,61,30,61,30,21,71,45,41,90,61,50,39,80,18,61,98,62,12,53,34,18,27,85,39,59,22,49,100,62,29,84,99,11,28,17,75,52,23,21,61,61,79,78,35,69,19,84,61,17,93,20,33,99,26,84,99,36,83,86,32,39,37,97,49,60,99,64,20,27,89,69,61,100,39,14,69,46,47
37,87,59,16,18,0,49,75,97,60,50,44,81,63,64,92,54,86,78,14,83,52,39,28,93,27,46,93,87,81,73,54,58,70,51,38,75,65,62,21,50,91,62,79,96,32,27,65,68,84,49,81,29,62,20,77,98,77,26,96,70,25,31,70,88,44,89,34,15,55,87,64,17,86,34,98,89,28,50,33,54,35,34,94,37
87,38,11,41,24,49,0,33,25,81,16,26,22,62,38,43,58,12,90,98,94,61,12,25,44,66,31,33,15,10,17,73,33,88,67,84,15,95,79,88,19,88,98,55,88,30,49,83,96,66,68,18,74,79,85,43,97,15,94,82,95,29,75,17,66,31,64,85,41,95,50,81,64,18,46,48,67,55,47,27,80,15,95,93,87
64,85,75,28,61,75,33,0,15,40,34,98,64,95,18,23,67,30,51,79,51,58,18,34,87,59,20,44,39,99,95,36,90,61,89,94,26,81,75,10,73,55,29,29,51,34,31,35,28,47,19,84,80,51,95,69,97,84,75,62,30,14,60,48,99,84,50,18,54,45,83,48,38,86,34,20,67,82,23,64,86,15,73,63,64
77,23,93,39,30,97,25,15,0,31,56,74,17,34,17,58,10,84,81,16,79,67,99,29,51,56,93,54,23,91,81,67,48,92,76,21,24,55,46,54,21,75,57,74,44,15,72,16,91,10,24,19,21,59,43,46,62,32,90,21,20,74,62,100,36,17,66,70,22,71,73,77,40,96,91,63,40,45,53,18,98,98,42,72,77
32,11,57,81,61,60,81,40,31,0,73,19,90,47,18,51,99,61,27,49,83,42,22,42,52,38,78,82,57,93,90,62,22,55,75,59,75,62,41,25,77,77,61,28,57,54,38,30,28,88,11,95,52,58,19,25,58,95,74,64,69,80,33,34,31,25,18,40,64,91,40,71,23,25,52,92,42,60,65,77,87,57,92,41,32
13,34,93,37,30,50,16,34,56,73,0,34,51,36,50,93,45,76,62,98,31,30,28,59,10,53,35,35,29,42,13,78,80,28,88,18,83,28,16,63,31,94,42,57,70,42,83,97,85,93,93,34,50,70,15,52,25,68,48,67,79,26,100,70,61,90,83,100,25,19,28,73,27,38,98,65,85,66,58,11,34,56,93,43,13
