67
0,3,1,1,3,1,3,2,3,2,2,1,3,1,3,3,1,3,1,4,2,3,2,1,4,1,2,3,2,4,3,1,3,3,4,3,1,4,1,2,4,1,4,1,2,3,4,3,2,4,2,3,1,2,2,3,3,4,1,3,2,4,2,2,4,3,4,1,0
0,65,10,15,65,86,41,46,49,10,61,22,28,40,98,97,51,63,19,17,98,49,27,10,81,55,64,67,98,21,66,56,61,62,90,39,58,100,13,72,63,98,28,63,43,26,21,12,84,80,30,98,17,17,14,12,47,96,34,79,45,40,12,14,89,72,100,53,0
65,0,35,99,48,39,17,43,47,40,20,30,31,40,83,17,54,49,20,95,63,51,55,97,16,51,85,59,45,57,22,80,21,28,19,23,26,65,97,96,85,18,29,30,87,93,29,73,13,86,67,67,17,57,78,95,75,20,44,47,76,42,53,28,93,22,63,56,65
10,35,0,66,37,21,38,41,87,98,66,30,24,64,56,11,74,70,77,20,34,39,23,95,81,13,94,70,91,51,65,58,99,17,47,48,76,82,26,96,23,98,48,73,23,71,86,54,63,30,57,36,38,60,31,31,69,37,73,51,28,34,57,31,39,81,37,33,10
15,99,66,0,63,99,46,59,59,21,43,11,59,63,30,96,33,56,88,55,21,89,17,72,84,37,95,30,11,67,48,18,50,65,67,62,24,46,80,34,32,45,79,92,40,31,49,96,71,44,29,78,95,64,72,38,10,19,42,33,69,38,81,48,55,67,96,76,15
65,48,37,63,0,97,75,32,30,36,68,86,34,57,63,59,35,100,17,84,68,76,44,18,86,24,64,19,91,33,41,67,12,41,33,57,15,35,89,21,71,95,16,86,93,27,19,68,26,80,72,76,51,71,26,50,77,40,44,19,85,62,86,48,29,62,68,19,65
86,39,21,99,97,0,52,27,24,63,56,10,94,10,65,99,17,91,88,82,39,30,27,96,42,57,41,52,54,95,23,95,99,47,94,77,39,24,28,22,72,38,42,78,28,53,27,44,83,78,98,52,45,91,95,60,27,47,17,76,62,20,91,63,83,25,31,59,86
41,17,38,46,75,52,0,25,77,83,34,17,46,67,20,51,56,34,15,96,86,27,20,63,86,93,69,39,31,85,64,68,38,56,47,93,10,53,15,71,84,91,27,15,64,47,87,98,89,25,46,91,73,77,67,36,40,99,37,82,18,81,21,14,72,10,46,72,41
46,43,41,59,32,27,25,0,81,92,81,30,95,89,26,33,82,100,43,53,94,22,82,45,71,16,77,15,23,43,56,51,82,97,69,58,19,31,77,52,78,100,67,42,67,100,23,38,70,77,54,46,90,94,35,86,81,17,55,32,57,95,47,81,84,69,69,79,46
49,47,87,59,30,24,77,81,0,25,40,23,18,98,59,14,72,35,56,51,84,13,40,37,75,13,55,42,54,45,94,90,28,99,75,52,86,51,77,97,17,73,80,88,23,20,32,93,30,17,47,22,53,48,84,60,97,16,68,98,83,36,92,28,77,49,92,97,49
10,40,98,21,36,63,83,92,25,0,76,51,74,25,58,30,33,54,50,25,14,73,26,23,92,54,46,38,19,89,34,80,81,16,68,21,84,15,34,62,89,71,84,71,22,25,65,11,24,13,97,77,49,50,53,66,58,47,37,48,82,60,80,35,68,44,18,81,10
61,20,66,43,68,56,34,81,40,76,0,82,49,66,39,13,83,20,97,38,38,93,72,65,58,82,54,75,77,20,63,42,45,82,91,77,37,67,35,30,70,28,94,53,84,37,56,94,58,81,70,17,17,47,45,84,87,11,24,87,45,42,20,45,91,11,73,82,61
22,30,30,11,86,10,17,30,23,51,82,0,53,40,45,24,49,38,22,20,34,70,99,43,61,66,64,93,37,74,73,29,41,47,73,97,42,15,80,23,13,46,59,78,57,31,65,21,35,42,21,23,93,93,40,86,53,51,100,25,71,93,21,88,21,10,12,48,22
28,31,24,59,34,94,46,95,18,74,49,53,0,71,58,46,12,73,85,43,33,48,67,86,76,57,90,39,15,14,43,26,17,53,76,51,67,17,92,35,91,98,37,21,47,91,64,49,88,86,32,53,81,12,68,50,48,23,18,80,27,30,51,27,27,64,22,25,28
40,40,64,63,57,10,67,89,98,25,66,40,71,0,19,96,41,80,37,37,18,26,24,15,100,98,30,96,91,94,45,72,59,73,50,79,52,40,27,19,25,79,79,40,91,86,28,41,13,58,40,18,91,87,65,13,75,20,10,48,56,86,43,37,25,90,75,47,40
