12
0,3,2,3,4,3,4,1,1,1,1,3,1,0
0,95,94,39,87,53,70,96,45,49,62,90,13,0
95,0,94,96,35,24,26,68,73,56,35,59,91,95
94,94,0,30,17,73,24,86,67,16,16,21,73,94
39,96,30,0,39,77,46,96,44,86,86,48,12,39
87,35,17,39,0,22,75,81,30,25,89,51,84,87
53,24,73,77,22,0,17,52,69,51,59,72,95,53
70,26,24,46,75,17,0,31,93,36,31,56,37,70
96,68,86,96,81,52,31,0,56,37,82,82,34,96
45,73,67,44,30,69,93,56,0,54,68,51,12,45
49,56,16,86,25,51,36,37,54,0,22,51,34,49
62,35,16,86,89,59,31,82,68,22,0,69,57,62
90,59,21,48,51,72,56,82,51,51,69,0,95,90
13,91,73,12,84,95,37,34,12,34,57,95,0,13
0,95,94,39,87,53,70,96,45,49,62,90,13,0
