17
0,4,1,4,4,4,1,3,2,2,3,2,4,2,1,1,1,3,0
0,94,50,13,98,74,82,49,48,96,35,89,48,82,79,56,63,70,0
94,0,60,27,13,88,39,53,63,65,48,83,35,64,94,100,61,64,94
50,60,0,80,58,94,19,87,33,25,91,76,53,61,22,49,81,75,50
13,27,80,0,68,63,34,26,87,96,80,32,12,73,62,75,30,43,13
98,13,58,68,0,54,65,39,81,75,89,97,60,18,43,57,11,46,98
74,88,94,63,54,0,13,66,57,53,49,99,94,38,20,61,27,16,74
82,39,19,34,65,13,0,88,14,98,54,10,87,56,20,31,18,60,82
49,53,87,26,39,66,88,0,48,22,18,22,53,31,16,79,35,39,49
48,63,33,87,81,57,14,48,0,33,45,68,60,15,76,65,40,50,48
96,65,25,96,75,53,98,22,33,0,96,71,74,17,57,59,61,24,96
35,48,91,80,89,49,54,18,45,96,0,40,58,61,44,94,71,97,35
89,83,76,32,97,99,10,22,68,71,40,0,43,38,25,17,31,61,89
48,35,53,12,60,94,87,53,60,74,58,43,0,31,93,90,78,72,48
82,64,61,73,18,38,56,31,15,17,61,38,31,0,84,52,69,59,82
79,94,22,62,43,20,20,16,76,57,44,25,93,84,0,94,88,68,79
56,100,49,75,57,61,31,79,65,59,94,17,90,52,94,0,82,55,56
63,61,81,30,11,27,18,35,40,61,71,31,78,69,88,82,0,75,63
70,64,75,43,46,16,60,39,50,24,97,61,72,59,68,55,75,0,70
0,94,50,13,98,74,82,49,48,96,35,89,48,82,79,56,63,70,0
