54
0,1,4,3,3,4,4,3,3,3,1,4,3,3,2,2,1,1,1,4,1,1,2,4,4,1,3,1,3,3,2,2,4,4,3,4,2,1,1,2,2,3,3,3,2,2,3,2,2,3,1,3,1,1,1,0
0,70,83,67,35,56,48,82,59,87,69,90,17,23,82,97,28,63,63,44,79,65,77,93,28,53,81,95,13,11,27,98,86,50,41,81,29,85,41,46,60,27,88,19,39,55,30,26,44,77,74,67,84,30,38,0
70,0,62,57,73,78,69,62,35,63,10,98,62,59,70,58,91,12,64,98,50,40,47,14,31,75,96,51,42,29,49,55,42,56,40,38,14,95,45,42,59,75,13,48,23,13,47,17,87,29,12,35,74,90,63,70
83,62,0,31,21,58,78,99,33,40,82,55,99,60,25,23,17,84,34,29,99,58,41,84,13,30,76,52,89,20,53,59,81,49,70,90,85,11,83,97,15,85,83,40,96,81,35,99,85,79,54,66,72,93,61,83
67,57,31,0,77,71,76,60,22,98,41,66,77,75,65,92,30,60,34,49,18,32,54,28,95,14,45,23,43,26,39,34,90,24,30,44,86,39,97,49,11,45,17,49,43,75,68,67,64,43,12,84,56,96,30,67
35,73,21,77,0,57,96,28,94,40,67,80,66,87,61,13,18,96,19,29,43,67,66,34,93,15,64,38,33,79,18,79,17,99,29,57,58,29,29,13,10,35,15,71,10,20,33,21,91,77,96,93,34,72,36,35
56,78,58,71,57,0,59,41,54,97,40,60,89,27,95,33,26,76,53,45,85,15,19,15,31,65,90,56,20,39,57,79,50,50,18,97,88,42,16,16,63,36,57,11,73,81,73,94,78,12,90,92,41,32,59,56
48,69,78,76,96,59,0,20,74,88,67,72,34,61,19,18,17,58,35,21,82,75,66,90,40,23,27,48,84,45,42,100,96,51,45,25,19,53,52,88,75,54,57,93,18,27,72,22,45,66,35,23,100,13,94,48
82,62,99,60,28,41,20,0,62,47,62,54,37,45,97,93,77,83,18,27,69,64,46,91,85,65,61,52,79,59,44,84,53,56,56,97,17,62,63,76,66,65,68,100,45,59,65,56,23,57,44,84,58,56,49,82
59,35,33,22,94,54,74,62,0,95,53,76,58,50,87,33,42,66,54,18,81,45,69,24,62,56,65,77,75,52,45,91,81,91,24,90,57,25,42,20,71,90,61,60,47,90,76,99,13,47,42,49,40,76,42,59
