37
0,1,1,1,3,1,1,3,1,2,2,4,3,1,1,1,1,2,4,1,3,4,4,1,3,3,3,3,1,2,2,4,3,2,1,3,4,3,0
0,37,14,44,69,11,36,90,14,59,95,75,24,98,18,25,64,91,58,11,98,87,90,23,40,34,61,56,70,26,17,89,38,27,56,97,34,50,0
37,0,13,61,63,10,58,24,14,31,12,20,13,53,90,52,89,65,25,29,44,29,23,62,95,54,25,23,26,11,81,15,93,60,49,45,17,78,37
14,13,0,72,40,15,98,59,26,87,87,40,97,67,40,88,15,97,43,99,44,19,38,17,31,28,52,100,34,14,95,13,74,71,74,32,74,19,14
44,61,72,0,18,17,11,20,99,65,46,12,58,71,61,57,23,30,95,25,88,40,32,70,73,64,66,29,66,17,12,69,24,87,70,88,32,29,44
69,63,40,18,0,68,74,46,58,74,10,83,36,17,34,15,35,61,11,27,34,64,38,86,80,39,64,59,56,43,27,20,83,70,46,88,75,29,69
11,10,15,17,68,0,47,44,56,48,89,98,66,45,76,30,28,24,79,60,66,64,86,95,89,26,49,51,100,100,64,77,62,93,72,55,77,25,11
36,58,98,11,74,47,0,27,37,87,88,59,76,13,29,81,41,51,50,45,99,84,85,59,47,22,44,86,88,53,50,25,23,55,55,90,74,26,36
90,24,59,20,46,44,27,0,80,68,81,17,22,46,10,16,44,60,100,95,65,18,79,38,89,58,75,27,90,39,11,52,23,39,23,19,35,47,90
14,14,26,99,58,56,37,80,0,57,97,81,32,85,75,63,87,13,68,88,61,28,18,12,24,65,34,100,31,93,60,66,17,86,31,35,75,19,14
59,31,87,65,74,48,87,68,57,0,37,49,48,59,29,13,37,65,99,62,10,47,54,50,49,97,62,77,83,22,35,55,100,92,71,45,82,39,59
95,12,87,46,10,89,88,81,97,37,0,46,100,15,82,58,62,72,24,52,69,23,98,20,40,96,23,53,47,88,55,19,28,72,34,63,18,97,95
75,20,40,12,83,98,59,17,81,49,46,0,12,73,43,49,35,74,13,92,47,86,64,72,97,27,46,82,42,36,86,50,83,60,84,92,56,41,75
24,13,97,58,36,66,76,22,32,48,100,12,0,76,31,31,31,25,15,94,60,90,23,49,67,72,66,53,100,94,94,30,96,96,81,13,83,25,24
98,53,67,71,17,45,13,46,85,59,15,73,76,0,100,69,17,52,76,99,62,81,47,15,42,92,86,100,13,86,21,83,90,69,62,33,68,43,98
18,90,40,61,34,76,29,10,75,29,82,43,31,100,0,83,32,24,36,27,39,12,74,95,27,56,69,90,58,38,77,25,28,80,11,46,51,36,18
25,52,88,57,15,30,81,16,63,13,58,49,31,69,83,0,98,95,96,47,45,54,16,85,64,60,61,92,74,100,90,11,71,12,20,83,89,59,25
64,89,15,23,35,28,41,44,87,37,62,35,31,17,32,98,0,29,35,43,19,79,53,69,67,96,66,60,20,60,48,72,69,58,81,27,29,43,64
91,65,97,30,61,24,51,60,13,65,72,74,25,52,24,95,29,0,10,56,35,96,65,69,90,39,16,28,42,57,88,32,77,71,46,20,54,37,91
58,25,43,95,11,79,50,100,68,99,24,13,15,76,36,96,35,10,0,87,71,75,72,97,24,15,28,29,99,56,50,55,50,24,56,67,69,45,58
11,29,99,25,27,60,45,95,88,62,52,92,94,99,27,47,43,56,87,0,98,36,70,96,55,99,98,93,39,43,42,39,20,50,95,82,71,34,11
98,44,44,88,34,66,99,65,61,10,69,47,60,62,39,45,19,35,71,98,0,64,18,99,80,27,72,63,30,22,53,16,77,32,78,63,44,49,98
87,29,19,40,64,64,84,18,28,47,23,86,90,81,12,54,79,96,75,36,64,0,41,87,49,80,11,61,74,88,73,88,23,13,94,12,67,74,87
