47
0,3,1,1,1,2,2,3,4,2,3,2,3,1,3,2,2,4,2,2,1,1,1,4,4,2,2,1,2,1,2,2,3,2,4,4,1,1,2,2,3,4,4,3,3,4,1,2,0
0,58,69,78,55,70,89,33,92,23,49,77,79,34,16,16,57,35,10,61,57,79,77,60,95,24,61,17,36,32,50,52,46,28,45,82,52,90,42,72,20,14,65,42,32,81,83,19,0
58,0,92,78,21,33,84,11,12,38,18,59,88,17,19,94,21,83,34,18,24,33,98,12,19,81,26,20,49,33,67,23,64,91,61,53,77,64,65,23,68,89,16,45,52,71,71,62,58
69,92,0,84,47,97,98,31,74,68,67,71,21,89,15,80,92,79,72,54,43,99,43,57,80,62,63,50,88,71,63,79,68,93,31,88,14,77,57,42,87,53,100,39,19,22,93,69,69
78,78,84,0,23,84,78,25,20,66,70,53,25,82,32,42,88,48,74,40,17,86,92,57,32,92,29,92,33,90,76,50,39,53,26,47,49,31,51,61,58,100,78,69,44,11,79,52,78
55,21,47,23,0,60,39,12,81,38,43,62,22,71,41,32,75,50,31,77,60,19,18,24,38,30,98,44,84,34,61,12,54,20,80,83,33,27,91,37,97,35,66,30,16,30,81,20,55
70,33,97,84,60,0,13,30,59,77,35,55,50,91,84,49,53,49,70,59,56,11,60,44,59,47,92,16,86,79,91,90,66,12,96,76,54,23,67,56,94,71,13,19,72,10,42,78,70
89,84,98,78,39,13,0,62,38,63,89,67,89,75,15,59,19,72,63,27,48,64,92,34,29,97,91,54,93,50,36,62,21,27,58,87,32,100,63,34,67,31,65,23,15,11,96,22,89
33,11,31,25,12,30,62,0,64,65,70,100,73,23,22,61,38,41,20,92,24,51,22,12,39,67,91,36,38,19,74,53,68,18,39,78,85,89,14,10,42,83,34,41,53,47,29,72,33
92,12,74,20,81,59,38,64,0,34,37,94,44,49,62,74,80,36,35,98,70,79,33,23,83,48,53,67,27,52,27,29,56,30,21,38,91,28,68,52,91,73,72,55,76,66,97,73,92
23,38,68,66,38,77,63,65,34,0,100,81,37,83,70,95,43,66,100,69,91,44,82,52,69,62,61,89,66,66,83,74,84,21,20,33,73,90,54,29,31,32,39,64,40,49,12,62,23
49,18,67,70,43,35,89,70,37,100,0,89,47,77,37,54,70,97,78,55,91,93,15,70,37,92,75,79,26,19,28,94,100,19,84,71,45,28,29,96,38,98,72,74,47,62,26,86,49
77,59,71,53,62,55,67,100,94,81,89,0,22,27,22,71,70,41,74,93,73,70,67,19,96,35,88,79,73,94,56,54,13,80,75,22,56,91,76,26,36,68,76,30,39,19,10,26,77
79,88,21,25,22,50,89,73,44,37,47,22,0,91,78,84,76,50,72,18,10,100,35,48,70,37,49,19,75,55,76,26,88,66,68,85,31,73,20,97,45,37,24,99,97,42,46,70,79
34,17,89,82,71,91,75,23,49,83,77,27,91,0,94,35,12,28,15,93,79,69,55,10,91,21,34,42,53,65,41,52,19,85,69,64,74,55,23,10,29,94,47,75,50,52,58,85,34
16,19,15,32,41,84,15,22,62,70,37,22,78,94,0,25,66,12,31,28,78,43,99,20,19,19,61,81,31,27,88,55,78,10,63,45,37,39,49,43,83,60,54,79,51,70,20,16,16
16,94,80,42,32,49,59,61,74,95,54,71,84,35,25,0,96,85,88,29,43,68,63,17,36,90,53,19,49,15,23,88,89,76,22,28,75,98,59,98,58,89,97,61,18,83,98,59,16
57,21,92,88,75,53,19,38,80,43,70,70,76,12,66,96,0,83,73,26,86,61,65,17,78,43,49,26,60,57,33,33,18,92,87,96,60,75,13,76,28,37,27,73,52,87,92,82,57
35,83,79,48,50,49,72,41,36,66,97,41,50,28,12,85,83,0,83,55,34,71,79,35,92,62,96,90,91,32,47,70,85,47,64,62,64,45,71,36,22,61,53,44,77,30,42,89,35
