18
0,1,4,1,2,4,3,1,2,1,4,2,1,1,1,3,1,2,4,0
0,43,28,64,79,86,70,15,35,94,99,22,75,55,91,91,63,46,87,0
43,0,85,21,10,72,12,18,76,82,59,82,63,24,82,12,61,61,33,43
28,85,0,79,15,85,57,100,70,74,62,94,61,94,27,33,75,52,31,28
64,21,79,0,77,56,26,93,76,91,13,51,77,97,97,11,82,60,11,64
79,10,15,77,0,97,57,61,80,62,21,14,49,64,34,83,52,22,86,79
86,72,85,56,97,0,41,85,91,67,67,67,63,78,46,68,37,19,87,86
70,12,57,26,57,41,0,76,44,57,62,54,36,66,79,96,21,37,89,70
15,18,100,93,61,85,76,0,41,36,16,88,94,73,33,29,12,85,78,15
35,76,70,76,80,91,44,41,0,99,73,84,94,85,98,55,96,56,86,35
94,82,74,91,62,67,57,36,99,0,73,11,32,28,40,17,57,38,70,94
99,59,62,13,21,67,62,16,73,73,0,50,46,42,69,54,77,69,41,99
22,82,94,51,14,67,54,88,84,11,50,0,78,67,77,11,46,26,26,22
75,63,61,77,49,63,36,94,94,32,46,78,0,95,38,82,72,35,59,75
55,24,94,97,64,78,66,73,85,28,42,67,95,0,29,74,58,33,44,55
91,82,27,97,34,46,79,33,98,40,69,77,38,29,0,79,35,45,83,91
91,12,33,11,83,68,96,29,55,17,54,11,82,74,79,0,51,93,71,91
63,61,75,82,52,37,21,12,96,57,77,46,72,58,35,51,0,53,48,63
46,61,52,60,22,19,37,85,56,38,69,26,35,33,45,93,53,0,19,46
87,33,31,11,86,87,89,78,86,70,41,26,59,44,83,71,48,19,0,87
0,43,28,64,79,86,70,15,35,94,99,22,75,55,91,91,63,46,87,0
