23
0,1,4,1,4,4,2,2,4,4,1,4,1,4,2,4,2,2,2,2,4,1,3,4,0
0,23,44,53,69,42,49,54,33,98,79,45,53,69,70,81,89,85,81,27,87,85,53,22,0
23,0,70,45,94,65,76,41,40,47,51,23,34,57,61,77,95,42,87,16,66,39,42,48,23
44,70,0,60,17,75,29,32,64,84,51,32,82,11,17,22,66,44,76,61,62,57,48,30,44
53,45,60,0,45,27,33,25,96,57,15,47,87,50,81,41,57,27,18,76,67,42,22,81,53
69,94,17,45,0,16,89,71,28,54,66,91,55,15,90,22,32,10,10,18,94,27,70,34,69
42,65,75,27,16,0,48,57,19,50,32,84,87,77,52,42,10,49,51,15,58,93,13,48,42
49,76,29,33,89,48,0,32,74,11,22,99,50,23,21,46,55,49,100,27,31,80,72,62,49
54,41,32,25,71,57,32,0,12,40,21,65,68,57,51,53,14,82,67,37,83,81,71,56,54
33,40,64,96,28,19,74,12,0,92,10,37,78,36,63,68,10,33,27,72,75,37,87,63,33
98,47,84,57,54,50,11,40,92,0,84,55,95,93,86,63,26,76,48,29,85,79,35,46,98
79,51,51,15,66,32,22,21,10,84,0,62,27,78,12,86,39,52,13,65,26,30,82,98,79
45,23,32,47,91,84,99,65,37,55,62,0,59,83,53,61,83,67,27,68,35,26,45,50,45
53,34,82,87,55,87,50,68,78,95,27,59,0,42,30,43,64,33,11,99,29,41,83,78,53
69,57,11,50,15,77,23,57,36,93,78,83,42,0,31,51,38,84,67,25,24,21,99,67,69
70,61,17,81,90,52,21,51,63,86,12,53,30,31,0,68,24,19,26,68,78,42,78,42,70
81,77,22,41,22,42,46,53,68,63,86,61,43,51,68,0,39,54,92,10,62,82,62,66,81
89,95,66,57,32,10,55,14,10,26,39,83,64,38,24,39,0,21,55,44,39,38,22,36,89
85,42,44,27,10,49,49,82,33,76,52,67,33,84,19,54,21,0,46,96,28,78,47,83,85
81,87,76,18,10,51,100,67,27,48,13,27,11,67,26,92,55,46,0,75,80,35,69,20,81
27,16,61,76,18,15,27,37,72,29,65,68,99,25,68,10,44,96,75,0,39,78,82,31,27
87,66,62,67,94,58,31,83,75,85,26,35,29,24,78,62,39,28,80,39,0,17,55,15,87
85,39,57,42,27,93,80,81,37,79,30,26,41,21,42,82,38,78,35,78,17,0,38,64,85
53,42,48,22,70,13,72,71,87,35,82,45,83,99,78,62,22,47,69,82,55,38,0,84,53
22,48,30,81,34,48,62,56,63,46,98,50,78,67,42,66,36,83,20,31,15,64,84,0,22
0,23,44,53,69,42,49,54,33,98,79,45,53,69,70,81,89,85,81,27,87,85,53,22,0
