42
0,2,3,2,1,3,4,2,3,4,1,4,2,1,1,3,3,3,4,2,4,3,4,3,4,3,1,4,1,4,3,4,3,2,1,2,2,3,4,4,1,3,1,0
0,61,55,17,43,21,57,64,40,13,41,44,86,19,91,16,13,53,33,90,80,80,51,18,74,67,91,97,33,60,51,31,35,84,95,79,48,11,92,79,48,64,27,0
61,0,57,64,54,96,12,29,28,28,45,96,66,95,45,15,100,82,99,35,16,87,57,68,21,99,77,54,49,51,18,21,46,38,22,87,73,85,88,73,57,80,13,61
55,57,0,63,27,29,76,40,43,58,98,36,64,14,14,48,84,68,83,29,82,37,31,99,82,75,49,89,71,52,90,87,21,77,41,85,60,97,82,68,65,92,16,55
17,64,63,0,87,37,96,65,21,20,14,80,41,72,16,56,16,24,82,36,37,88,88,85,90,38,45,40,29,87,13,51,61,77,73,91,19,68,39,47,43,56,73,17
43,54,27,87,0,97,69,15,53,31,74,63,76,21,35,89,45,25,97,99,49,57,11,80,80,83,56,14,49,17,88,15,29,41,27,39,31,33,17,84,12,87,47,43
21,96,29,37,97,0,44,57,77,95,13,30,40,59,90,30,39,70,45,75,69,16,18,45,69,70,84,71,70,14,90,65,69,12,38,83,86,34,94,22,12,47,96,21
57,12,76,96,69,44,0,44,80,49,20,15,77,66,30,27,17,91,20,54,48,12,34,98,63,64,10,66,74,56,36,53,16,14,44,31,19,96,100,39,75,13,70,57
64,29,40,65,15,57,44,0,39,58,98,10,98,45,47,37,39,66,13,42,91,35,12,20,49,55,37,27,97,71,71,42,96,48,37,51,54,11,78,58,35,17,64,64
40,28,43,21,53,77,80,39,0,21,87,40,11,17,27,58,24,33,60,24,60,15,17,47,96,42,38,18,50,25,26,100,13,69,67,36,74,79,42,72,17,61,70,40
13,28,58,20,31,95,49,58,21,0,57,53,73,87,72,57,80,34,48,78,38,90,21,42,44,81,62,64,89,24,46,34,58,83,88,13,84,37,21,51,33,36,100,13
41,45,98,14,74,13,20,98,87,57,0,38,41,88,67,15,48,75,28,72,56,86,70,96,11,52,48,59,45,51,77,62,88,87,86,99,96,39,88,53,48,52,53,41
44,96,36,80,63,30,15,10,40,53,38,0,80,90,66,60,59,29,70,85,85,93,39,33,43,62,95,38,57,57,70,45,52,44,17,12,18,98,15,15,74,53,34,44
86,66,64,41,76,40,77,98,11,73,41,80,0,67,32,47,54,91,42,80,50,76,73,92,22,53,99,18,68,67,24,46,90,28,45,69,20,62,81,16,36,61,94,86
19,95,14,72,21,59,66,45,17,87,88,90,67,0,10,84,76,22,88,74,69,100,78,92,33,17,84,10,58,30,89,90,29,28,59,80,80,10,87,37,75,11,18,19
91,45,14,16,35,90,30,47,27,72,67,66,32,10,0,88,49,58,30,48,93,90,22,88,47,93,19,76,24,47,24,80,27,59,93,52,55,56,94,59,33,48,88,91
16,15,48,56,89,30,27,37,58,57,15,60,47,84,88,0,55,48,54,19,54,76,52,97,94,79,44,72,66,33,11,55,68,77,64,10,65,72,82,70,83,25,67,16
13,100,84,16,45,39,17,39,24,80,48,59,54,76,49,55,0,85,51,66,35,89,93,92,73,39,56,53,82,21,51,27,51,94,45,69,75,70,57,44,26,100,58,13
53,82,68,24,25,70,91,66,33,34,75,29,91,22,58,48,85,0,52,54,84,52,55,99,94,14,10,49,91,69,29,93,39,85,56,39,46,64,43,59,88,82,83,53
33,99,83,82,97,45,20,13,60,48,28,70,42,88,30,54,51,52,0,51,49,89,37,62,79,42,51,68,43,99,31,27,13,82,15,50,24,33,65,21,53,93,90,33
90,35,29,36,99,75,54,42,24,78,72,85,80,74,48,19,66,54,51,0,84,88,47,52,35,63,100,67,81,75,71,61,21,74,63,89,14,93,67,51,30,62,36,90
80,16,82,37,49,69,48,91,60,38,56,85,50,69,93,54,35,84,49,84,0,24,55,80,45,30,91,21,48,41,28,55,77,86,99,84,45,26,55,22,66,79,66,80
80,87,37,88,57,16,12,35,15,90,86,93,76,100,90,76,89,52,89,88,24,0,80,22,45,86,64,95,74,43,76,34,88,51,15,72,94,30,58,79,96,57,86,80
51,57,31,88,11,18,34,12,17,21,70,39,73,78,22,52,93,55,37,47,55,80,0,88,20,69,68,37,20,59,62,38,21,90,73,38,88,48,18,96,28,37,65,51
18,68,99,85,80,45,98,20,47,42,96,33,92,92,88,97,92,99,62,52,80,22,88,0,27,55,48,16,28,63,12,59,50,62,91,12,86,66,60,40,65,23,53,18
74,21,82,90,80,69,63,49,96,44,11,43,22,33,47,94,73,94,79,35,45,45,20,27,0,81,60,71,72,29,87,33,38,15,39,36,32,24,57,11,59,32,79,74
67,99,75,38,83,70,64,55,42,81,52,62,53,17,93,79,39,14,42,63,30,86,69,55,81,0,75,52,36,80,96,12,47,66,17,57,15,71,97,65,10,38,44,67
91,77,49,45,56,84,10,37,38,62,48,95,99,84,19,44,56,10,51,100,91,64,68,48,60,75,0,51,90,12,61,45,85,90,86,33,34,50,52,42,38,23,72,91
97,54,89,40,14,71,66,27,18,64,59,38,18,10,76,72,53,49,68,67,21,95,37,16,71,52,51,0,54,92,24,44,21,52,92,78,78,78,46,31,33,45,38,97
33,49,71,29,49,70,74,97,50,89,45,57,68,58,24,66,82,91,43,81,48,74,20,28,72,36,90,54,0,33,60,38,80,91,67,98,13,62,30,60,53,20,26,33
60,51,52,87,17,14,56,71,25,24,51,57,67,30,47,33,21,69,99,75,41,43,59,63,29,80,12,92,33,0,85,83,100,74,93,44,28,51,41,74,43,70,26,60
51,18,90,13,88,90,36,71,26,46,77,70,24,89,24,11,51,29,31,71,28,76,62,12,87,96,61,24,60,85,0,57,10,89,95,22,99,40,13,72,71,43,21,51
