12
0,4,1,4,3,4,3,1,1,3,4,1,1,0
0,11,41,51,33,88,14,84,84,99,51,37,47,0
11,0,19,22,27,76,25,95,23,96,48,39,71,11
41,19,0,85,69,49,72,31,31,69,39,63,67,41
51,22,85,0,52,98,96,37,24,31,33,58,83,51
33,27,69,52,0,64,29,39,59,20,74,87,71,33
88,76,49,98,64,0,51,27,34,46,45,17,36,88
14,25,72,96,29,51,0,27,89,95,60,69,100,14
84,95,31,37,39,27,27,0,50,100,29,16,36,84
84,23,31,24,59,34,89,50,0,85,85,77,26,84
99,96,69,31,20,46,95,100,85,0,11,97,87,99
51,48,39,33,74,45,60,29,85,11,0,20,47,51
37,39,63,58,87,17,69,16,77,97,20,0,60,37
47,71,67,83,71,36,100,36,26,87,47,60,0,47
0,11,41,51,33,88,14,84,84,99,51,37,47,0
