48
0,1,2,2,4,1,1,2,4,4,4,1,2,2,2,1,2,2,4,3,2,3,2,3,4,2,2,3,2,3,4,2,3,3,2,4,4,3,2,1,3,4,1,3,1,2,4,1,2,0
0,91,83,96,32,22,10,43,11,62,33,30,20,34,16,65,94,21,59,98,39,59,56,33,62,85,36,18,31,37,67,74,65,50,55,92,16,11,85,46,38,12,36,27,40,41,15,31,92,0
91,0,29,44,75,58,37,67,44,80,68,88,45,46,78,68,96,16,14,68,14,43,52,67,96,58,49,94,78,93,52,98,61,82,93,53,62,21,79,21,92,44,94,45,52,31,18,49,10,91
83,29,0,38,74,71,32,33,83,33,100,82,84,76,85,16,19,75,55,36,65,55,92,49,38,14,40,86,39,24,86,77,72,79,82,95,87,39,45,55,37,55,83,50,37,85,57,52,76,83
96,44,38,0,96,56,41,36,99,22,37,10,28,39,91,87,69,40,41,100,22,75,71,97,63,15,62,21,57,14,31,44,27,31,79,95,64,68,100,50,33,46,92,65,75,32,66,57,33,96
32,75,74,96,0,90,63,30,59,58,76,53,86,24,97,25,15,57,43,68,42,88,72,26,99,91,61,87,17,59,22,25,35,37,96,38,61,90,21,92,64,25,66,16,46,34,37,66,75,32
22,58,71,56,90,0,67,15,91,86,72,83,11,49,20,52,32,97,10,26,30,51,14,25,24,22,90,95,76,87,62,53,62,34,84,15,33,96,14,52,52,39,40,23,53,77,50,48,11,22
10,37,32,41,63,67,0,93,80,67,61,53,28,28,69,22,16,36,35,28,80,22,17,12,82,58,43,34,89,86,83,19,74,67,34,37,93,11,92,39,64,50,73,82,30,52,34,74,57,10
43,67,33,36,30,15,93,0,74,39,74,89,41,22,96,52,71,23,97,67,53,26,16,47,93,43,21,78,26,83,79,13,58,32,68,66,36,99,84,22,30,52,14,58,67,35,56,68,76,43
11,44,83,99,59,91,80,74,0,22,38,61,18,68,96,98,15,67,42,17,24,21,90,83,84,71,36,77,28,47,95,68,95,11,37,16,77,51,29,93,58,16,54,33,35,83,48,71,100,11
62,80,33,22,58,86,67,39,22,0,73,25,89,70,43,30,15,37,69,88,62,21,43,41,17,12,74,42,22,92,45,73,100,69,43,13,47,50,11,76,64,46,13,93,42,71,47,32,88,62
33,68,100,37,76,72,61,74,38,73,0,12,95,88,15,43,36,32,18,83,75,87,23,28,21,37,76,22,11,92,16,10,54,35,58,58,31,17,53,26,57,30,85,45,83,90,77,64,91,33
30,88,82,10,53,83,53,89,61,25,12,0,16,37,93,16,68,40,62,29,56,80,42,50,88,63,66,74,29,75,14,18,26,87,26,45,99,66,90,74,66,98,100,56,21,90,45,42,15,30
20,45,84,28,86,11,28,41,18,89,95,16,0,69,25,55,28,15,35,45,44,10,78,79,29,69,72,59,57,15,58,87,22,10,82,54,54,67,46,17,90,45,21,37,30,89,77,67,51,20
34,46,76,39,24,49,28,22,68,70,88,37,69,0,79,32,86,52,73,74,51,60,69,51,84,65,12,90,16,100,76,84,28,23,41,100,70,32,89,48,49,76,85,50,22,98,61,88,23,34
16,78,85,91,97,20,69,96,96,43,15,93,25,79,0,63,76,45,27,19,89,10,96,45,87,73,42,93,20,12,76,51,16,48,68,62,38,25,73,19,63,84,89,15,52,19,39,17,22,16
65,68,16,87,25,52,22,52,98,30,43,16,55,32,63,0,68,89,57,85,10,23,44,61,76,80,68,29,41,34,68,23,37,80,91,56,92,42,83,58,97,44,98,96,24,81,65,56,68,65
94,96,19,69,15,32,16,71,15,15,36,68,28,86,76,68,0,90,14,69,30,35,100,85,28,34,59,49,19,85,20,72,44,39,72,53,49,67,74,45,79,78,51,82,70,65,74,29,51,94
21,16,75,40,57,97,36,23,67,37,32,40,15,52,45,89,90,0,89,43,50,66,13,88,31,40,13,31,89,13,43,44,100,78,58,87,65,100,30,55,47,36,48,97,22,14,54,19,59,21
59,14,55,41,43,10,35,97,42,69,18,62,35,73,27,57,14,89,0,93,88,78,18,56,60,88,22,57,49,75,63,72,11,61,76,30,91,80,57,30,38,82,45,90,26,41,15,100,64,59
98,68,36,100,68,26,28,67,17,88,83,29,45,74,19,85,69,43,93,0,89,47,82,90,37,95,15,26,91,60,36,96,60,42,76,38,87,21,15,12,25,90,18,82,65,52,51,31,67,98
39,14,65,22,42,30,80,53,24,62,75,56,44,51,89,10,30,50,88,89,0,95,98,21,82,14,20,78,31,63,53,77,45,16,91,77,25,70,51,89,82,94,29,22,53,11,73,84,77,39
59,43,55,75,88,51,22,26,21,21,87,80,10,60,10,23,35,66,78,47,95,0,29,20,42,90,48,80,46,90,62,37,43,68,67,52,70,30,14,87,22,58,92,45,69,98,47,31,52,59
56,52,92,71,72,14,17,16,90,43,23,42,78,69,96,44,100,13,18,82,98,29,0,74,72,47,87,84,66,84,76,44,12,91,25,17,94,46,46,15,57,44,23,27,91,21,52,83,27,56
