20
0,2,1,2,4,1,4,2,3,4,4,3,1,4,3,2,2,1,2,1,4,0
0,75,85,49,22,84,93,15,66,27,17,65,35,50,25,53,35,63,30,63,89,0
75,0,15,27,72,64,62,11,57,75,71,86,77,53,27,51,44,21,62,97,72,75
85,15,0,28,65,36,66,11,64,24,40,30,45,21,17,93,29,80,97,91,89,85
49,27,28,0,34,17,15,73,78,87,83,52,52,59,53,10,13,34,71,38,34,49
22,72,65,34,0,63,44,49,31,70,94,58,99,95,96,89,14,21,71,11,24,22
84,64,36,17,63,0,85,22,66,80,86,32,98,16,14,10,91,51,45,22,79,84
93,62,66,15,44,85,0,16,19,50,46,79,95,45,93,58,79,41,31,34,66,93
15,11,11,73,49,22,16,0,34,27,12,66,13,41,66,35,70,84,62,88,86,15
66,57,64,78,31,66,19,34,0,35,28,22,54,50,80,10,75,78,69,44,17,66
27,75,24,87,70,80,50,27,35,0,71,98,62,28,82,91,11,83,25,89,96,27
17,71,40,83,94,86,46,12,28,71,0,50,11,74,70,18,58,97,64,44,50,17
65,86,30,52,58,32,79,66,22,98,50,0,75,88,65,81,76,31,83,34,76,65
35,77,45,52,99,98,95,13,54,62,11,75,0,65,86,33,35,75,79,61,59,35
50,53,21,59,95,16,45,41,50,28,74,88,65,0,61,97,51,33,71,60,81,50
25,27,17,53,96,14,93,66,80,82,70,65,86,61,0,52,87,56,66,29,38,25
53,51,93,10,89,10,58,35,10,91,18,81,33,97,52,0,13,80,93,82,63,53
35,44,29,13,14,91,79,70,75,11,58,76,35,51,87,13,0,40,100,63,67,35
63,21,80,34,21,51,41,84,78,83,97,31,75,33,56,80,40,0,58,38,38,63
30,62,97,71,71,45,31,62,69,25,64,83,79,71,66,93,100,58,0,83,91,30
63,97,91,38,11,22,34,88,44,89,44,34,61,60,29,82,63,38,83,0,56,63
89,72,89,34,24,79,66,86,17,96,50,76,59,81,38,63,67,38,91,56,0,89
0,75,85,49,22,84,93,15,66,27,17,65,35,50,25,53,35,63,30,63,89,0
