113
0,2,1,4,2,2,1,2,1,3,3,2,3,2,2,2,4,4,3,4,4,1,3,3,3,3,3,1,4,1,3,4,3,3,2,4,2,4,3,2,3,2,1,3,1,4,3,4,2,1,1,4,2,1,1,2,4,3,3,2,4,4,1,2,2,3,2,2,4,2,4,1,1,4,4,4,2,1,1,1,4,1,1,4,4,1,1,2,4,3,3,2,1,1,3,2,4,3,1,2,4,2,1,3,3,3,2,4,1,4,1,2,3,2,0
0,71,95,28,47,95,17,83,89,49,69,49,51,83,67,49,15,34,74,30,87,95,74,87,68,31,100,49,79,85,81,49,51,38,45,52,13,43,84,25,30,59,86,43,33,89,97,62,52,31,44,59,80,58,82,100,41,76,92,81,32,66,68,78,64,56,40,63,97,66,21,77,71,21,23,93,58,60,34,11,68,47,86,11,40,77,89,57,50,50,40,94,46,81,29,60,66,95,49,61,46,65,25,35,65,28,71,25,22,66,29,97,70,74,0
71,0,86,17,43,66,82,17,18,91,88,61,88,79,28,95,16,71,37,10,75,68,35,21,73,86,25,38,71,11,26,61,68,65,44,47,74,16,40,84,46,98,17,26,72,96,86,94,84,15,74,33,36,70,65,81,53,61,58,37,62,85,20,88,65,13,99,97,66,48,89,86,49,95,84,24,14,22,33,66,31,77,10,98,37,68,78,85,84,44,98,19,10,42,61,41,22,87,59,66,58,64,90,63,28,68,11,93,47,97,84,33,32,61,71
95,86,0,93,68,87,19,49,40,43,29,60,39,50,29,31,70,92,67,34,69,17,93,34,46,34,13,57,88,31,73,53,48,78,13,85,26,28,86,26,44,75,81,18,23,82,28,40,10,81,22,90,83,87,26,72,90,34,25,44,77,81,58,47,38,20,35,36,26,25,56,42,84,82,24,12,31,20,22,53,48,55,57,59,40,63,56,36,82,61,75,41,67,29,56,38,79,76,87,78,92,59,73,69,39,99,32,88,96,42,68,73,11,100,95
28,17,93,0,18,48,52,28,19,28,75,70,75,50,41,69,51,62,64,49,100,53,62,33,59,98,37,69,16,44,69,26,47,94,98,60,45,31,51,32,81,77,48,29,47,48,93,79,29,30,93,84,71,59,47,79,73,61,64,37,39,80,76,100,45,61,37,83,81,51,99,43,51,26,84,89,19,55,91,95,90,78,24,50,32,54,18,31,80,20,40,38,15,69,40,61,73,58,82,53,35,86,12,84,27,33,69,92,43,78,67,13,20,87,28
47,43,68,18,0,39,27,43,22,76,10,25,62,40,88,27,41,42,20,33,65,84,47,66,21,26,37,59,97,78,21,100,71,83,42,93,48,74,54,14,97,80,21,73,74,61,53,70,48,63,21,64,83,84,58,16,57,30,41,16,41,92,80,84,70,11,17,100,58,92,59,94,31,92,88,59,11,63,21,59,88,67,62,19,80,28,12,48,54,26,95,29,44,96,82,85,39,95,81,49,78,87,29,76,81,27,32,56,86,66,35,75,12,98,47
95,66,87,48,39,0,93,79,19,90,12,26,69,49,98,26,54,39,90,42,66,16,44,92,38,88,39,79,45,91,90,66,85,47,26,22,73,20,16,98,66,11,34,73,96,81,10,37,30,35,91,77,86,90,96,93,88,29,62,63,59,66,99,49,52,29,59,36,89,92,77,15,87,41,90,27,53,22,89,30,75,35,86,24,96,31,20,18,89,40,31,24,65,76,84,41,59,29,19,62,79,79,85,37,61,21,90,85,65,44,10,53,26,84,95
17,82,19,52,27,93,0,54,71,71,66,77,63,44,74,46,61,45,35,78,53,70,35,32,76,41,26,24,74,84,99,39,56,70,64,88,35,19,68,34,90,15,76,16,99,63,85,74,24,30,53,45,21,85,65,47,39,53,56,90,90,63,78,31,77,12,72,31,22,39,54,86,46,41,67,49,21,17,99,80,56,62,87,85,82,51,63,78,37,89,30,49,45,76,73,42,54,21,33,100,64,72,71,73,23,78,30,11,41,67,82,35,35,20,17
83,17,49,28,43,79,54,0,100,28,15,55,98,23,26,37,52,81,80,80,99,81,65,40,11,34,58,17,96,92,33,18,30,34,60,82,29,99,81,63,49,56,72,47,98,31,39,67,84,69,60,31,47,65,76,18,52,12,22,26,62,46,56,87,71,87,52,24,25,33,77,77,17,55,65,38,47,78,76,76,18,74,84,99,53,63,20,75,89,76,39,18,94,58,93,76,75,34,50,55,22,30,55,100,34,27,75,99,61,44,76,26,40,29,83
89,18,40,19,22,19,71,100,0,55,11,83,84,18,68,29,63,74,61,16,48,79,46,91,72,51,33,18,63,67,75,69,62,41,98,29,95,95,95,92,85,81,86,81,53,39,93,87,15,53,72,50,96,99,41,24,70,21,42,51,29,93,28,53,25,16,30,84,12,98,34,70,97,74,60,56,14,58,88,89,92,56,15,99,87,41,52,79,44,89,57,17,14,37,99,82,50,49,32,31,71,63,58,67,66,85,22,20,88,45,10,61,78,29,89
49,91,43,28,76,90,71,28,55,0,46,62,30,96,63,61,40,43,81,87,75,40,75,29,87,57,26,46,42,99,67,14,84,60,93,39,18,63,99,33,100,15,79,79,60,66,19,34,22,68,63,91,85,30,97,27,38,62,74,58,86,55,71,45,46,26,54,84,62,45,88,39,34,90,80,83,58,70,87,65,99,39,73,39,39,63,91,80,47,34,64,51,73,42,13,65,29,36,83,33,69,27,85,58,26,20,69,87,30,81,72,99,82,43,49
