75
0,1,2,3,2,4,2,1,3,4,2,3,2,2,3,3,4,1,2,1,2,3,4,2,3,1,2,1,2,3,2,3,3,3,2,4,2,4,3,2,2,2,2,2,3,4,3,4,4,2,3,4,4,2,1,1,1,4,3,2,4,3,4,1,4,2,1,4,2,3,4,4,4,4,4,1,0
0,16,82,61,64,55,58,22,93,53,22,63,83,98,11,34,81,81,31,97,10,67,39,67,49,67,67,19,86,41,58,71,64,84,17,17,67,11,69,71,92,67,93,21,61,32,19,48,42,19,41,24,16,10,11,51,19,72,90,20,53,19,100,86,39,22,81,21,37,98,13,81,70,12,61,39,0
16,0,14,29,19,34,91,97,20,77,66,80,10,95,78,57,18,36,73,53,95,28,72,68,65,51,39,47,73,84,50,10,47,50,47,49,69,50,69,94,15,50,27,84,21,10,66,12,68,82,46,69,74,22,44,62,51,20,44,31,31,43,50,62,67,14,21,55,34,79,72,71,98,65,53,69,16
82,14,0,71,68,11,27,92,92,26,18,43,79,18,53,69,89,30,96,99,88,44,93,18,33,57,97,10,96,91,44,100,76,21,14,30,92,43,21,46,93,98,24,100,98,77,58,62,31,73,40,56,41,35,42,55,86,56,60,86,90,73,53,100,69,66,32,22,86,22,33,28,92,55,22,30,82
61,29,71,0,25,35,98,65,52,52,60,57,97,79,69,99,52,53,59,82,65,88,87,47,92,71,41,40,61,54,19,12,32,69,21,12,26,75,58,15,91,79,74,91,26,51,21,20,53,53,49,79,92,72,60,48,76,42,54,94,62,61,18,15,31,12,52,29,12,68,71,18,32,98,21,98,61
64,19,68,25,0,59,93,15,48,57,78,47,54,15,21,74,17,49,77,10,50,85,49,68,55,97,81,33,23,48,34,23,51,52,71,89,75,89,73,51,57,31,99,97,42,57,76,67,92,38,74,89,60,39,49,25,82,91,39,61,78,57,52,11,10,61,12,68,47,10,58,45,54,32,69,16,64
55,34,11,35,59,0,57,46,44,31,71,100,35,49,14,27,94,42,60,36,92,60,22,87,46,65,50,15,12,84,49,10,12,31,78,88,38,85,99,54,21,16,68,17,93,95,24,83,22,14,88,63,91,43,73,22,38,94,76,89,22,19,53,48,82,29,74,79,18,73,49,57,15,70,15,96,55
58,91,27,98,93,57,0,30,93,31,26,64,45,45,58,78,19,26,14,91,33,62,71,46,31,82,32,46,86,16,68,16,61,99,60,44,86,64,72,65,59,29,28,15,27,75,60,29,78,92,100,44,35,73,32,60,75,84,93,58,17,32,58,89,72,28,82,25,84,41,65,87,10,70,11,32,58
22,97,92,65,15,46,30,0,64,69,46,39,12,78,27,52,27,90,31,65,52,95,59,43,33,90,61,73,65,13,13,77,55,89,20,58,48,95,95,40,68,81,20,55,14,11,27,35,20,17,48,20,68,60,61,29,28,85,23,68,85,53,59,75,89,44,66,20,56,57,79,64,90,21,77,37,22
93,20,92,52,48,44,93,64,0,99,93,27,38,81,77,90,21,39,50,68,65,36,18,94,66,80,31,30,67,56,38,51,27,42,69,67,49,67,33,77,46,82,68,29,86,41,23,25,21,54,47,60,48,25,54,62,80,68,48,10,23,55,90,93,88,25,63,70,19,92,43,42,18,14,67,96,93
53,77,26,52,57,31,31,69,99,0,27,64,20,47,10,61,42,41,92,14,45,26,70,90,12,48,44,13,46,46,51,28,66,51,56,33,92,74,95,94,37,94,59,93,53,10,46,61,22,69,38,49,99,23,39,43,100,95,82,19,46,75,95,99,31,12,53,15,10,34,38,90,68,32,40,79,53
22,66,18,60,78,71,26,46,93,27,0,42,44,19,54,90,17,65,13,80,60,24,30,33,24,20,27,86,84,32,98,100,92,39,39,46,43,86,72,66,39,91,77,64,99,14,33,27,88,38,28,57,82,88,54,92,60,22,22,12,13,49,80,85,96,64,51,83,42,41,50,57,61,12,18,30,22
63,80,43,57,47,100,64,39,27,64,42,0,94,99,51,28,91,98,23,71,52,73,97,42,28,27,12,48,24,75,39,83,80,41,83,11,37,49,79,56,28,72,26,46,29,16,100,55,90,81,43,14,96,48,34,30,68,47,61,55,48,29,27,64,79,53,12,24,18,31,68,96,63,57,25,48,63
83,10,79,97,54,35,45,12,38,20,44,94,0,24,10,90,23,96,81,64,11,54,66,82,93,31,42,35,72,59,35,44,30,73,68,45,27,59,14,34,69,62,42,33,58,88,97,13,61,20,33,67,68,54,77,84,44,22,39,85,10,86,45,81,33,34,80,69,24,40,64,48,46,90,25,31,83
98,95,18,79,15,49,45,78,81,47,19,99,24,0,91,16,14,19,81,93,92,70,89,24,80,57,53,16,22,61,100,53,72,47,10,41,88,90,49,87,36,27,62,49,82,51,88,38,65,22,62,83,22,28,88,97,11,88,43,98,30,29,81,88,96,66,97,40,74,85,100,11,17,83,93,94,98
11,78,53,69,21,14,58,27,77,10,54,51,10,91,0,24,61,18,21,59,100,88,39,93,80,72,43,60,46,80,42,20,59,43,53,76,66,76,77,94,44,31,23,77,75,68,38,93,66,50,65,30,67,84,69,14,49,45,57,16,75,45,69,14,11,58,14,71,20,100,63,53,39,69,26,66,11
34,57,69,99,74,27,78,52,90,61,90,28,90,16,24,0,52,34,18,92,26,62,86,22,60,20,60,53,86,47,55,70,58,53,64,98,10,13,64,79,45,54,96,14,23,36,22,70,95,76,76,92,95,99,76,68,93,28,27,44,14,48,69,16,88,42,66,62,24,88,28,45,99,96,23,53,34
81,18,89,52,17,94,19,27,21,42,17,91,23,14,61,52,0,18,19,85,64,13,79,56,59,34,50,11,100,50,39,39,10,46,11,81,61,39,20,63,72,80,40,83,63,60,51,60,88,46,71,66,59,33,78,97,17,85,91,29,33,96,72,67,88,18,21,71,16,90,93,38,65,83,70,57,81
