22
0,1,4,2,1,2,4,3,3,3,4,3,4,4,4,3,2,1,2,2,4,2,1,0
0,50,61,20,78,28,97,83,29,45,62,11,42,93,40,59,31,28,63,35,77,10,48,0
50,0,47,39,65,54,32,15,62,87,38,79,54,49,42,97,72,63,26,90,18,25,84,50
61,47,0,22,23,39,52,66,45,44,40,96,72,11,16,19,62,30,38,86,48,71,26,61
20,39,22,0,70,73,96,32,93,29,91,37,25,54,78,14,53,57,59,31,55,18,56,20
78,65,23,70,0,75,15,53,53,56,42,14,40,74,77,58,62,19,87,50,97,100,95,78
28,54,39,73,75,0,10,18,80,37,43,76,63,10,82,67,86,17,100,69,81,68,77,28
97,32,52,96,15,10,0,66,18,68,27,89,78,12,37,93,79,73,88,49,22,69,63,97
83,15,66,32,53,18,66,0,36,24,29,79,76,38,55,86,80,33,13,37,69,18,67,83
29,62,45,93,53,80,18,36,0,63,37,45,87,93,10,34,87,31,76,25,88,75,95,29
45,87,44,29,56,37,68,24,63,0,97,47,25,40,99,35,35,69,26,98,49,83,73,45
62,38,40,91,42,43,27,29,37,97,0,25,65,77,85,80,56,26,36,55,82,54,22,62
11,79,96,37,14,76,89,79,45,47,25,0,76,37,25,46,62,58,87,54,38,47,95,11
42,54,72,25,40,63,78,76,87,25,65,76,0,61,82,82,30,96,71,62,13,10,85,42
93,49,11,54,74,10,12,38,93,40,77,37,61,0,62,78,98,89,37,93,16,13,68,93
40,42,16,78,77,82,37,55,10,99,85,25,82,62,0,77,59,91,85,93,22,85,67,40
59,97,19,14,58,67,93,86,34,35,80,46,82,78,77,0,66,95,53,58,77,56,51,59
31,72,62,53,62,86,79,80,87,35,56,62,30,98,59,66,0,62,72,10,59,15,34,31
28,63,30,57,19,17,73,33,31,69,26,58,96,89,91,95,62,0,84,80,52,12,29,28
63,26,38,59,87,100,88,13,76,26,36,87,71,37,85,53,72,84,0,43,56,48,89,63
35,90,86,31,50,69,49,37,25,98,55,54,62,93,93,58,10,80,43,0,60,78,76,35
77,18,48,55,97,81,22,69,88,49,82,38,13,16,22,77,59,52,56,60,0,60,55,77
10,25,71,18,100,68,69,18,75,83,54,47,10,13,85,56,15,12,48,78,60,0,34,10
48,84,26,56,95,77,63,67,95,73,22,95,85,68,67,51,34,29,89,76,55,34,0,48
0,50,61,20,78,28,97,83,29,45,62,11,42,93,40,59,31,28,63,35,77,10,48,0
