55
0,4,1,3,2,1,2,3,2,2,4,1,1,2,4,4,1,1,2,1,1,3,1,1,3,1,3,1,1,3,4,3,4,3,4,3,2,3,3,4,1,4,3,1,2,1,1,2,4,3,2,2,4,2,1,4,0
0,11,95,44,55,93,66,19,43,90,57,67,55,77,98,89,76,10,85,86,34,63,14,89,73,64,20,73,85,77,70,54,45,85,76,43,59,40,62,28,66,59,14,39,41,86,91,55,79,91,43,86,93,32,49,24,0
11,0,17,72,93,38,73,92,27,36,43,54,13,84,76,58,66,51,24,58,55,48,90,17,54,63,46,78,71,71,58,68,32,71,97,76,97,95,85,80,93,79,82,76,13,44,68,49,52,11,37,80,42,92,36,37,11
95,17,0,83,62,44,97,60,54,54,27,36,98,54,15,89,54,36,67,50,87,12,40,54,41,40,35,75,68,53,10,36,49,82,63,41,94,78,81,21,61,29,38,28,95,17,87,20,10,25,38,26,95,11,20,56,95
44,72,83,0,43,91,73,88,92,17,44,26,84,30,67,95,24,68,51,13,91,63,64,52,66,43,86,91,27,47,83,84,47,82,100,78,48,76,92,18,34,66,98,27,29,54,95,33,69,50,43,42,91,75,77,93,44
55,93,62,43,0,16,63,74,93,97,75,59,98,36,65,30,27,21,11,86,71,78,10,11,45,14,81,65,79,16,87,40,28,55,32,88,19,32,57,55,73,84,77,31,67,14,74,85,67,82,45,75,13,80,96,22,55
93,38,44,91,16,0,84,28,46,41,21,74,42,28,74,52,30,21,35,57,35,55,18,63,33,44,86,15,53,78,21,15,53,34,43,85,71,73,65,23,85,48,46,41,80,67,27,11,13,17,60,63,28,50,12,60,93
66,73,97,73,63,84,0,50,62,54,86,84,25,40,12,69,84,29,100,78,36,73,85,96,65,64,41,67,44,48,100,63,37,92,75,73,18,68,78,92,33,47,41,23,29,45,11,81,55,10,14,21,85,36,98,11,66
19,92,60,88,74,28,50,0,36,13,16,48,83,76,17,24,46,17,25,53,24,93,75,96,99,90,26,28,47,71,84,33,34,89,37,80,15,26,80,84,43,94,68,44,29,35,63,45,83,34,24,37,71,10,93,34,19
43,27,54,92,93,46,62,36,0,26,93,78,19,35,39,50,70,80,34,35,60,90,24,46,60,74,65,71,16,63,64,47,100,82,78,16,58,57,79,44,99,70,85,99,79,58,16,47,29,19,76,12,26,75,77,27,43
