111
0,4,2,3,1,3,4,1,2,3,3,3,1,3,2,2,4,2,1,3,2,2,1,4,1,4,3,3,2,3,2,2,3,3,2,1,4,3,4,3,2,4,1,2,3,1,2,3,2,3,1,2,4,3,3,3,4,2,4,3,2,2,3,3,3,4,1,4,1,3,3,2,4,3,1,2,2,3,1,4,1,2,2,3,4,3,3,4,2,4,2,1,4,2,2,3,3,2,3,3,2,3,3,2,3,2,2,3,4,4,1,2,0
0,71,52,79,47,14,25,22,83,17,79,20,55,67,34,17,52,11,17,48,98,88,49,52,67,19,14,29,47,21,38,82,59,11,64,24,54,21,90,11,61,90,44,58,92,90,97,22,57,100,69,21,37,17,47,46,92,22,85,74,63,80,68,95,45,38,80,91,15,51,33,71,78,78,81,40,81,53,27,72,60,37,11,52,54,100,66,44,54,84,17,35,74,19,57,58,80,90,60,34,73,88,16,45,77,18,39,91,44,93,45,36,0
71,0,32,36,12,37,14,57,70,96,17,88,82,20,45,90,79,22,84,99,99,12,29,93,94,63,51,40,89,42,79,39,72,64,12,11,18,73,13,46,40,52,50,54,57,88,70,90,19,92,91,40,22,80,66,21,69,49,35,69,76,25,21,58,78,51,96,34,97,62,54,46,56,75,32,82,73,75,92,10,67,99,21,75,87,11,11,64,17,89,79,77,56,58,75,19,43,33,98,91,28,26,51,56,78,29,28,96,81,13,59,88,71
52,32,0,82,66,10,89,86,90,50,74,94,58,66,19,40,55,52,24,59,86,71,35,71,65,82,65,22,45,95,66,74,100,60,84,87,69,74,36,41,91,25,70,48,33,50,50,23,32,65,74,42,45,71,31,40,66,39,80,50,14,15,12,19,60,86,26,42,13,59,47,60,39,88,69,56,51,35,68,76,18,90,21,92,88,35,73,10,80,53,84,32,74,32,43,34,28,83,82,46,35,84,44,10,94,46,18,16,79,84,72,19,52
79,36,82,0,92,71,49,35,57,29,38,59,78,27,37,39,99,44,92,45,96,99,38,47,44,46,50,82,51,19,19,36,95,39,57,54,82,29,13,16,66,52,80,50,67,95,42,25,14,78,87,52,39,17,51,47,39,100,12,95,42,79,10,49,20,75,31,62,73,80,35,18,83,11,85,66,50,36,84,14,89,58,23,94,10,50,23,32,54,49,42,20,78,93,83,34,60,80,86,86,32,77,55,20,80,35,79,12,19,10,95,78,79
47,12,66,92,0,40,11,28,78,14,24,59,69,88,77,52,74,68,77,41,25,19,96,28,63,19,49,47,76,30,92,86,38,54,72,51,64,76,78,80,35,31,96,91,26,68,81,56,51,44,26,20,14,61,57,15,32,47,58,28,38,75,39,40,22,29,48,17,55,62,80,22,85,39,93,29,61,99,59,60,19,34,14,15,53,96,100,14,98,94,19,20,67,39,24,82,75,42,80,99,43,84,66,90,26,53,71,54,86,77,24,52,47
14,37,10,71,40,0,98,15,24,22,98,25,96,68,25,65,60,85,61,64,85,89,44,56,68,73,53,80,94,25,23,91,72,68,44,47,95,16,40,96,61,80,50,70,16,49,63,95,26,65,47,85,70,78,32,32,76,16,52,46,41,37,69,59,98,63,93,67,92,31,48,99,18,77,74,80,33,42,77,61,68,67,100,87,57,50,83,99,91,45,21,35,15,92,75,94,75,16,14,26,81,63,60,49,82,86,71,22,38,56,26,32,14
25,14,89,49,11,98,0,62,89,24,27,18,100,16,34,92,66,18,80,65,58,27,78,62,59,45,46,71,64,38,32,51,37,19,36,92,33,53,53,69,68,77,20,16,98,18,76,36,73,21,35,81,11,16,42,52,70,72,77,53,98,46,52,80,90,76,56,35,87,17,48,77,12,16,57,95,82,85,91,98,81,10,81,77,18,42,94,21,98,46,25,97,47,97,17,64,38,87,60,43,67,12,54,36,90,12,25,21,49,13,13,12,25
22,57,86,35,28,15,62,0,88,29,40,45,62,50,16,47,35,85,39,96,32,15,15,15,72,34,82,51,63,20,72,100,43,10,90,25,31,36,97,32,74,100,48,72,25,17,78,23,57,47,39,15,54,56,26,48,17,83,38,91,72,82,91,56,56,17,81,98,50,62,90,15,78,70,17,91,82,72,76,13,93,16,44,31,35,75,80,28,90,77,71,44,32,38,47,28,43,42,35,48,93,15,11,83,71,93,60,15,60,31,17,67,22
83,70,90,57,78,24,89,88,0,81,61,95,10,75,30,59,16,91,10,43,92,16,44,100,36,56,83,96,45,91,47,95,97,37,87,38,35,99,29,90,18,81,10,98,70,22,44,65,75,78,89,34,58,59,63,99,49,39,44,97,68,15,38,70,64,83,40,63,86,34,19,71,46,13,92,75,89,30,62,21,48,35,28,92,23,16,21,25,49,70,49,68,31,62,28,20,36,14,92,74,26,95,71,51,34,91,25,41,83,83,41,21,83
17,96,50,29,14,22,24,29,81,0,58,56,35,54,19,87,64,24,95,21,50,92,50,60,90,73,85,20,77,99,93,78,66,36,48,19,89,48,12,10,56,44,20,34,12,17,39,11,99,85,16,49,10,44,89,11,91,38,80,21,86,72,73,20,76,17,48,96,56,16,61,34,50,51,98,54,17,24,79,15,61,69,21,91,52,66,82,54,38,82,91,46,22,75,86,19,21,23,11,83,86,32,38,62,93,20,71,94,53,37,20,37,17
79,17,74,38,24,98,27,40,61,58,0,39,81,35,73,57,10,59,97,13,69,86,46,20,93,64,19,96,18,84,24,34,52,96,49,19,36,84,73,89,61,68,59,67,10,69,47,48,58,22,15,33,26,16,27,62,69,83,19,53,84,35,31,65,81,88,29,38,69,97,68,94,26,58,69,52,94,41,14,31,47,84,50,44,94,67,28,50,96,14,26,98,80,44,31,94,42,76,85,19,69,50,85,89,97,94,41,47,93,86,30,98,79
20,88,94,59,59,25,18,45,95,56,39,0,82,97,73,59,96,28,14,87,92,86,71,67,37,72,23,83,87,14,18,34,52,75,32,73,92,58,84,78,10,47,85,38,35,48,45,27,21,92,22,70,45,56,46,82,37,81,71,58,75,33,35,34,40,57,96,23,49,72,81,47,25,74,10,53,85,28,75,79,11,61,91,49,77,62,89,97,46,35,100,98,16,71,13,92,46,99,43,78,92,77,31,45,84,32,75,23,73,80,98,50,20
55,82,58,78,69,96,100,62,10,35,81,82,0,71,58,72,38,21,21,40,90,43,66,86,30,54,31,20,45,76,43,44,15,69,47,55,69,35,83,74,34,10,14,34,83,50,72,38,69,14,21,59,46,57,65,36,67,20,37,51,16,50,58,65,69,15,95,100,75,72,24,91,70,72,83,88,28,66,90,71,49,74,16,10,90,53,35,89,96,77,32,77,14,25,93,35,10,70,41,19,29,14,37,79,46,87,64,83,84,65,44,94,55
67,20,66,27,88,68,16,50,75,54,35,97,71,0,22,74,71,21,80,73,49,16,59,57,39,66,79,64,54,24,73,93,75,30,18,31,11,29,13,56,84,58,43,68,93,31,26,67,91,19,96,67,57,50,52,98,33,43,67,17,84,17,48,20,63,82,26,42,93,93,22,20,81,89,26,23,24,73,16,69,74,48,40,66,56,43,66,98,87,50,45,14,77,32,39,22,39,34,80,57,45,78,65,40,31,88,99,23,26,60,91,94,67
34,45,19,37,77,25,34,16,30,19,73,73,58,22,0,36,32,44,45,83,74,49,71,55,72,47,75,25,95,30,81,99,97,70,43,68,16,96,16,64,45,87,17,69,42,86,25,82,99,18,56,29,91,19,99,73,12,93,52,63,77,48,83,47,85,95,23,91,94,59,80,85,45,80,64,53,28,60,18,48,72,72,14,53,36,92,28,87,50,71,61,49,41,60,22,86,73,18,32,34,57,97,17,19,69,48,35,95,86,26,80,27,34
17,90,40,39,52,65,92,47,59,87,57,59,72,74,36,0,11,72,22,11,65,38,78,86,15,52,98,91,83,73,42,53,92,56,90,63,57,56,98,61,20,92,98,12,85,95,68,11,88,26,34,21,86,74,39,48,14,66,100,53,34,61,54,80,72,49,53,18,52,73,48,33,77,14,62,94,23,32,90,37,44,56,62,10,91,69,64,54,98,67,54,80,83,87,13,41,73,46,65,15,64,67,37,92,93,22,10,65,62,46,32,78,17
52,79,55,99,74,60,66,35,16,64,10,96,38,71,32,11,0,76,20,51,87,89,44,60,25,11,82,97,50,99,17,25,87,90,37,73,78,94,23,83,89,46,57,58,11,43,44,33,38,99,19,40,79,90,59,78,48,23,28,65,26,53,62,33,56,96,63,96,47,21,98,78,21,31,100,25,79,23,37,62,43,91,70,44,63,71,41,11,83,23,86,86,39,41,53,67,100,67,70,82,60,86,56,62,26,93,36,46,67,99,50,10,52
11,22,52,44,68,85,18,85,91,24,59,28,21,21,44,72,76,0,19,10,71,74,92,34,89,27,76,87,31,38,98,93,55,35,50,79,53,82,48,24,88,39,46,16,98,63,24,99,56,43,44,87,11,46,38,84,25,29,31,92,52,23,99,77,27,95,40,95,64,17,82,10,100,68,26,40,79,33,83,86,99,98,14,17,96,74,76,72,26,51,78,70,67,50,60,92,13,40,11,79,21,32,23,96,35,26,24,56,76,10,11,18,11
17,84,24,92,77,61,80,39,10,95,97,14,21,80,45,22,20,19,0,65,78,46,26,60,28,68,40,24,45,87,44,49,82,39,57,71,88,70,96,17,10,84,40,49,53,48,96,98,73,64,80,73,81,85,95,45,72,50,39,93,57,67,63,86,44,92,97,75,22,84,40,71,33,63,82,39,57,26,90,37,32,92,46,18,59,90,85,55,98,49,19,99,27,52,25,46,47,36,75,47,59,27,90,60,65,85,25,68,84,46,80,52,17
48,99,59,45,41,64,65,96,43,21,13,87,40,73,83,11,51,10,65,0,82,93,89,35,75,32,33,44,39,28,23,76,41,44,95,45,25,22,35,55,31,18,27,94,54,76,28,70,35,10,12,26,41,48,89,75,56,70,68,60,21,16,82,31,84,38,45,14,18,67,34,23,62,88,75,73,64,89,29,88,48,52,59,26,61,71,47,84,17,13,77,10,24,69,56,32,32,25,86,39,25,18,20,89,53,25,17,72,53,15,70,86,48
