45
0,1,4,1,3,1,2,3,4,2,3,3,2,1,1,3,1,3,4,2,4,1,2,3,4,3,3,4,1,4,4,2,2,4,3,4,1,3,3,4,2,1,1,2,4,1,0
0,58,67,83,63,76,37,83,14,34,20,59,32,75,33,69,68,43,92,96,74,54,47,50,31,68,62,27,72,21,88,25,80,74,37,55,21,36,51,11,17,73,51,53,79,90,0
58,0,68,66,57,80,40,66,22,45,62,64,92,12,20,86,87,35,20,25,27,29,66,28,35,45,24,42,69,33,85,80,55,80,24,92,37,94,25,33,99,66,68,58,77,37,58
67,68,0,74,97,26,37,45,63,92,80,66,46,25,46,45,69,69,54,69,96,82,11,86,94,76,14,71,62,39,48,55,27,35,75,24,17,78,89,97,28,30,84,28,13,63,67
83,66,74,0,50,55,35,32,98,20,40,90,52,62,62,39,80,84,94,81,28,98,21,97,24,64,95,38,56,18,97,67,38,13,72,68,54,45,82,26,38,35,88,16,17,90,83
63,57,97,50,0,61,68,79,44,35,54,39,39,98,92,36,17,87,77,52,78,93,94,31,23,84,59,16,70,95,62,81,52,77,71,40,19,52,64,17,38,44,65,56,35,99,63
76,80,26,55,61,0,33,26,82,49,38,80,57,40,75,35,90,76,74,88,27,79,55,58,66,86,33,38,87,88,100,83,29,57,21,97,90,76,67,93,30,84,64,36,27,31,76
37,40,37,35,68,33,0,17,29,28,48,63,29,61,35,50,68,16,76,98,95,95,26,75,72,77,21,44,43,92,18,40,66,73,73,33,23,87,63,92,79,40,98,64,53,35,37
83,66,45,32,79,26,17,0,77,25,98,68,22,31,52,59,33,30,21,82,77,38,64,36,98,70,75,85,67,67,21,65,67,80,62,47,55,23,45,100,26,71,38,75,30,32,83
14,22,63,98,44,82,29,77,0,54,14,98,19,32,83,32,14,37,47,97,76,56,16,34,75,74,77,83,20,48,34,39,62,13,41,27,30,41,68,86,95,70,59,91,72,98,14
34,45,92,20,35,49,28,25,54,0,47,15,45,11,21,23,15,59,84,38,14,81,17,20,79,91,50,67,90,69,60,19,25,63,98,92,38,48,38,65,92,36,40,85,79,26,34
20,62,80,40,54,38,48,98,14,47,0,86,40,30,39,48,43,77,67,34,100,58,100,31,72,28,16,80,88,46,13,46,35,27,77,63,63,92,69,89,53,10,73,74,59,51,20
59,64,66,90,39,80,63,68,98,15,86,0,82,43,36,44,55,68,71,12,41,23,82,94,43,16,77,11,27,93,21,17,14,68,97,63,34,47,32,82,49,29,100,51,97,53,59
32,92,46,52,39,57,29,22,19,45,40,82,0,47,40,99,83,44,48,24,54,85,12,44,22,36,18,16,39,14,30,58,51,50,69,45,55,91,36,29,76,77,74,63,31,61,32
75,12,25,62,98,40,61,31,32,11,30,43,47,0,29,68,13,98,92,36,51,99,90,89,44,21,60,25,53,58,63,36,43,12,40,53,95,100,54,93,92,86,88,27,99,18,75
33,20,46,62,92,75,35,52,83,21,39,36,40,29,0,27,69,48,97,100,10,44,53,44,46,74,63,85,67,38,49,52,54,57,30,88,50,75,40,14,55,30,26,58,31,88,33
