108
0,3,4,2,2,1,2,2,4,2,1,1,4,2,2,4,3,2,2,4,2,3,4,2,4,3,1,1,2,3,3,2,4,3,1,4,4,3,2,4,4,3,1,1,2,3,3,2,1,1,1,3,2,4,2,1,4,3,3,1,2,4,3,2,4,2,3,3,3,3,4,3,2,2,2,2,4,1,1,4,2,1,4,1,1,4,3,4,2,4,4,2,2,4,2,3,3,1,2,2,1,2,1,2,4,4,2,2,4,0
0,17,96,66,42,10,66,61,81,46,70,25,28,69,53,44,68,85,21,18,43,84,86,49,84,77,90,57,61,73,13,55,13,13,17,75,90,88,80,70,28,95,38,58,92,19,72,92,25,67,78,69,94,37,36,66,33,64,91,20,38,42,76,73,99,49,23,52,93,69,78,33,43,98,77,96,39,81,43,67,68,24,11,11,21,28,46,15,54,83,89,22,63,92,92,43,54,20,72,42,71,53,62,32,29,17,71,62,73,0
17,0,47,60,79,57,99,36,96,43,73,93,27,17,66,98,62,53,82,33,42,56,39,79,49,77,88,14,17,37,14,44,25,34,66,85,63,51,86,47,60,97,95,67,94,55,93,72,37,66,37,60,51,80,74,18,26,23,65,82,83,60,39,65,14,92,37,16,85,37,24,55,23,51,100,94,67,50,16,65,25,93,73,66,36,57,63,42,75,44,66,34,38,60,89,43,90,40,61,90,39,98,40,55,59,12,73,28,70,17
96,47,0,67,98,11,37,26,82,48,69,25,13,89,37,35,79,30,81,54,99,100,84,46,12,17,45,78,43,33,10,73,39,33,87,82,80,24,55,17,15,60,23,23,28,57,46,11,18,87,84,84,19,57,68,24,95,63,46,93,26,47,64,39,30,87,11,93,82,54,82,79,23,69,33,31,66,49,40,17,54,55,51,70,36,93,35,68,62,50,76,88,67,50,66,11,79,62,61,53,55,62,65,86,16,55,12,67,27,96
66,60,67,0,76,90,64,44,78,13,27,51,50,58,68,97,56,15,78,53,55,78,27,42,56,43,81,12,37,69,94,75,42,91,28,94,40,32,70,27,47,75,20,21,92,68,40,72,13,94,10,45,99,41,27,72,48,32,40,10,57,42,21,25,71,58,66,71,51,78,76,71,16,67,62,71,21,89,66,67,31,70,93,89,68,94,16,83,20,39,23,35,86,65,18,19,30,35,29,84,34,62,12,14,86,69,41,14,15,66
42,79,98,76,0,62,79,16,25,65,90,82,30,19,30,47,63,93,44,69,59,64,45,87,55,25,66,44,16,54,17,36,53,71,43,17,10,13,40,24,38,80,99,73,50,90,57,88,33,69,25,63,63,91,30,93,32,91,97,60,25,33,74,33,18,72,38,77,27,12,67,47,99,40,20,55,51,78,40,50,30,68,26,75,51,19,55,100,22,50,17,86,49,54,53,59,17,61,68,49,27,83,63,11,88,58,48,90,11,42
10,57,11,90,62,0,38,47,36,79,33,12,82,49,45,83,81,75,27,70,53,59,69,10,21,64,52,72,35,12,69,57,85,23,41,40,81,77,15,66,76,77,100,55,70,88,89,16,48,92,13,63,11,84,47,65,70,97,74,21,63,87,33,87,81,91,57,60,70,46,38,59,17,28,78,57,75,97,45,82,17,71,20,12,35,47,89,76,42,100,55,56,63,77,88,18,69,56,80,18,36,43,78,89,73,84,72,40,69,10
66,99,37,64,79,38,0,66,68,22,16,55,94,67,54,53,90,87,49,56,30,17,82,36,65,48,56,28,25,55,37,55,24,85,20,98,13,62,12,87,93,60,65,85,56,22,35,60,65,27,81,64,24,20,34,14,58,14,16,84,38,54,80,84,98,67,51,20,86,56,25,25,80,58,80,11,87,39,40,58,38,80,23,48,16,28,63,30,55,93,19,69,85,27,89,58,92,94,73,79,57,99,52,73,38,80,32,85,10,66
61,36,26,44,16,47,66,0,82,62,13,95,26,95,30,19,93,46,70,96,25,63,93,64,87,23,18,69,53,64,97,53,53,53,75,68,92,60,60,45,43,15,92,93,32,79,65,61,98,84,19,97,15,62,67,16,61,19,35,94,50,80,71,77,74,25,45,44,68,79,75,37,80,45,30,89,70,53,94,57,100,11,99,11,40,41,58,43,44,79,44,67,99,13,27,31,69,17,16,24,77,65,41,18,78,33,54,16,17,61
81,96,82,78,25,36,68,82,0,57,81,11,19,88,96,37,29,18,65,40,100,16,72,45,98,16,39,42,41,50,59,42,23,19,50,24,28,52,82,73,53,88,50,56,35,18,32,32,69,66,71,66,48,71,82,65,56,94,51,49,12,63,72,89,33,64,34,78,51,84,10,23,94,82,92,20,93,54,13,62,10,43,27,53,47,12,79,68,51,66,86,54,38,48,95,89,52,27,64,29,31,33,23,61,68,26,77,41,43,81
46,43,48,13,65,79,22,62,57,0,84,70,73,65,50,35,87,54,29,59,98,70,90,84,30,11,40,96,92,64,40,82,91,74,23,47,56,46,90,59,96,61,55,39,62,70,65,18,65,91,53,70,50,72,93,37,78,54,23,21,46,43,86,61,37,93,72,81,94,20,14,85,19,34,49,33,35,92,29,43,79,23,87,48,75,71,71,63,54,39,27,18,92,69,33,91,66,91,39,12,59,12,91,80,17,82,18,55,47,46
70,73,69,27,90,33,16,13,81,84,0,45,47,75,23,34,32,85,31,99,47,49,41,23,96,100,80,52,60,23,23,78,43,42,32,76,79,52,23,76,20,45,67,19,41,83,91,14,55,91,57,97,37,71,56,87,72,33,34,96,16,30,32,45,51,18,76,87,62,46,48,87,11,92,52,12,40,90,79,49,85,89,35,88,98,27,40,12,13,92,88,86,81,86,57,69,23,90,81,53,72,17,43,78,50,94,28,88,97,70
25,93,25,51,82,12,55,95,11,70,45,0,53,82,95,28,15,26,78,92,37,26,88,21,98,11,49,53,57,48,88,26,32,27,84,78,33,70,88,93,67,60,69,87,31,36,75,90,51,71,66,67,56,82,74,34,83,36,12,75,61,15,88,87,83,50,83,23,63,60,79,48,63,18,11,45,92,50,98,92,88,11,49,59,80,94,24,55,36,40,70,12,77,93,18,56,79,91,12,92,92,31,49,49,61,75,50,25,51,25
