74
0,3,1,2,3,2,4,1,3,4,1,3,3,2,1,3,4,4,4,2,4,4,3,1,4,3,2,2,3,2,2,3,3,1,2,2,4,4,1,4,4,2,2,3,1,4,2,2,1,1,1,1,3,4,3,1,2,2,2,1,4,4,3,3,2,2,2,3,2,3,3,3,2,1,3,0
0,17,90,38,76,61,36,67,30,36,87,42,98,54,60,91,85,29,29,88,57,62,15,52,28,27,76,23,61,72,70,99,72,27,28,75,29,83,94,12,34,97,96,79,60,64,51,22,18,74,29,64,51,86,17,56,78,16,96,87,79,31,75,29,23,72,57,48,35,12,71,16,14,76,28,0
17,0,86,60,54,78,36,73,54,55,97,24,21,82,43,65,51,65,38,100,27,96,54,80,14,52,80,28,29,51,12,89,76,93,51,45,56,48,34,60,76,32,59,24,25,85,21,98,66,28,33,72,19,93,60,22,24,46,36,49,89,42,100,48,88,80,20,98,16,69,83,78,59,49,59,17
90,86,0,17,14,75,89,60,18,16,49,56,25,69,58,21,39,90,63,97,33,77,18,61,54,13,76,18,78,100,42,90,89,73,73,14,18,93,27,74,95,25,67,47,31,88,38,31,28,13,27,13,84,19,61,65,85,10,12,71,61,33,20,27,85,80,51,12,24,89,46,100,96,72,90,90
38,60,17,0,24,55,16,28,55,88,35,30,31,51,27,82,98,83,55,33,27,38,92,65,71,69,69,44,87,64,73,59,69,18,79,90,28,91,87,44,12,73,82,23,60,16,18,48,82,25,76,44,77,68,69,32,23,83,87,46,65,24,31,57,45,23,69,93,65,86,43,93,23,91,26,38
76,54,14,24,0,86,82,32,26,79,95,52,16,70,20,21,90,22,58,33,65,36,49,28,74,80,79,26,38,13,26,45,54,98,65,58,84,23,30,16,82,43,94,43,97,49,63,45,57,50,94,98,80,97,86,46,86,76,54,29,10,98,11,72,90,14,35,58,70,65,15,99,43,24,39,76
61,78,75,55,86,0,56,83,82,57,18,64,26,97,20,22,37,18,86,96,66,12,74,50,26,65,12,20,70,37,53,22,58,63,75,46,82,99,94,60,27,100,52,64,36,68,69,57,86,71,62,88,73,21,54,31,58,57,62,50,17,94,72,76,99,61,83,86,77,27,48,67,67,48,69,61
36,36,89,16,82,56,0,21,95,73,52,87,46,78,14,34,64,49,24,87,29,13,11,72,32,67,13,40,98,24,15,37,45,68,26,57,52,11,85,22,89,37,21,60,31,69,42,94,26,36,71,59,38,31,28,65,95,90,32,42,97,96,62,43,50,33,90,97,17,19,63,66,53,40,100,36
67,73,60,28,32,83,21,0,23,62,67,13,96,88,66,55,43,78,40,72,77,76,75,19,41,43,37,13,55,43,63,100,97,12,27,59,86,38,80,39,11,18,60,99,77,96,39,52,71,19,94,77,41,18,37,86,56,44,49,17,32,33,53,27,87,66,21,43,84,72,70,18,81,68,34,67
30,54,18,55,26,82,95,23,0,68,24,54,63,95,57,44,42,45,48,38,73,36,36,78,18,60,28,96,55,50,21,75,74,56,80,39,71,80,12,24,100,42,81,65,97,27,62,16,77,65,89,14,43,70,34,30,31,33,18,37,70,70,66,35,38,49,12,35,99,79,50,26,55,82,22,30
36,55,16,88,79,57,73,62,68,0,11,43,73,64,63,11,57,58,24,58,49,92,88,34,78,99,24,70,77,76,84,59,70,85,71,10,86,12,81,18,98,68,94,14,69,99,55,72,42,64,86,97,36,59,86,10,70,98,33,50,25,36,94,21,25,37,59,28,45,14,75,83,28,94,13,36
87,97,49,35,95,18,52,67,24,11,0,28,65,87,62,83,43,57,19,39,44,95,77,85,81,100,64,14,60,33,25,46,58,73,65,98,17,33,31,77,16,42,57,45,76,93,83,90,23,72,23,45,99,56,63,36,24,86,91,55,91,24,79,51,32,25,84,38,82,18,77,100,29,66,83,87
42,24,56,30,52,64,87,13,54,43,28,0,65,66,12,59,59,45,90,80,82,52,52,57,49,94,87,79,58,100,23,18,64,99,51,94,52,62,46,64,25,54,68,89,83,24,23,84,24,68,13,58,93,72,19,11,94,16,77,84,96,17,99,21,98,72,72,44,39,90,80,54,73,59,44,42
98,21,25,31,16,26,46,96,63,73,65,65,0,11,78,78,92,12,27,26,13,61,96,85,63,53,92,52,89,92,44,70,28,17,21,68,50,57,77,33,43,44,68,23,11,25,85,20,13,42,15,15,81,98,11,40,94,23,82,87,85,42,73,72,57,16,71,95,94,16,16,93,66,21,96,98
54,82,69,51,70,97,78,88,95,64,87,66,11,0,54,91,22,58,15,62,51,96,88,54,32,66,55,34,78,12,10,14,89,43,46,97,19,11,32,99,85,29,35,81,40,42,89,61,59,26,13,77,76,82,61,62,32,82,48,66,36,80,62,94,28,92,31,47,70,31,37,99,72,20,43,54
60,43,58,27,20,20,14,66,57,63,62,12,78,54,0,62,48,29,69,46,14,86,15,57,81,18,69,84,65,96,38,41,75,72,75,88,59,98,76,92,19,99,31,10,85,31,86,70,74,51,38,68,46,27,24,34,34,89,61,11,92,79,31,46,67,48,79,80,63,35,50,20,49,89,87,60
91,65,21,82,21,22,34,55,44,11,83,59,78,91,62,0,84,99,58,18,37,62,99,61,32,71,25,89,89,29,47,19,92,86,73,92,100,55,11,32,15,31,30,18,20,22,45,54,46,36,99,61,22,84,83,35,98,18,60,37,100,29,71,61,56,79,13,93,11,28,42,26,71,77,66,91
85,51,39,98,90,37,64,43,42,57,43,59,92,22,48,84,0,88,28,13,97,96,73,13,69,19,60,71,39,67,63,84,95,49,57,27,76,24,52,36,90,26,30,17,47,32,77,85,74,86,91,17,25,30,68,26,10,86,40,43,40,78,67,76,27,92,22,90,45,37,33,70,38,100,70,85
29,65,90,83,22,18,49,78,45,58,57,45,12,58,29,99,88,0,10,13,43,40,13,99,21,93,71,24,33,33,15,14,99,19,33,80,70,21,60,85,74,20,46,18,37,45,38,59,80,49,23,78,87,13,13,66,59,33,67,17,16,26,82,58,29,18,88,61,83,95,85,80,19,96,35,29
29,38,63,55,58,86,24,40,48,24,19,90,27,15,69,58,28,10,0,95,27,59,93,42,85,83,19,16,60,45,22,33,48,50,22,95,20,74,54,32,71,40,63,30,74,51,86,41,46,10,98,35,93,48,21,24,55,94,39,69,66,30,46,66,47,29,99,44,98,72,96,55,73,32,85,29
