70
0,3,1,4,3,3,1,3,4,3,3,2,2,1,2,4,3,1,1,2,4,4,3,1,3,2,4,1,2,2,4,3,2,3,4,4,3,1,4,1,2,2,4,3,3,2,3,2,3,4,4,1,4,2,4,3,3,1,2,2,3,2,2,3,4,2,4,2,1,4,3,0
0,17,21,35,32,19,52,36,72,48,72,97,77,67,55,88,63,51,50,73,71,13,10,78,58,14,88,48,96,40,32,21,63,58,46,59,89,95,29,18,93,84,67,27,81,87,37,54,79,76,92,22,59,78,73,30,71,41,84,26,39,36,89,42,83,38,33,50,80,79,81,0
17,0,69,90,79,81,65,40,20,56,55,81,63,63,57,11,99,90,69,70,59,54,43,80,95,36,48,64,35,54,69,66,76,92,68,38,17,16,63,33,85,13,90,51,14,38,47,21,70,98,87,84,43,94,85,65,12,32,70,81,19,23,71,67,67,73,33,87,96,50,36,17
21,69,0,10,22,78,14,75,92,88,80,58,99,65,99,11,77,85,49,62,57,24,17,85,30,39,76,98,47,17,26,18,32,61,10,10,13,70,53,96,100,21,52,100,22,76,86,70,35,95,22,16,69,40,58,84,48,58,72,83,18,89,46,84,49,51,46,73,41,76,62,21
35,90,10,0,62,24,90,44,74,76,37,22,67,18,77,79,77,11,18,30,91,43,31,20,25,57,59,19,83,43,40,72,29,93,41,25,57,54,73,73,39,82,79,46,69,86,49,25,50,78,69,24,86,33,45,97,15,38,11,73,27,74,94,33,31,17,100,85,57,43,45,35
32,79,22,62,0,63,50,37,63,29,38,50,12,90,42,24,65,87,35,13,11,67,75,52,76,94,87,92,61,86,93,24,10,72,70,64,78,54,80,39,18,70,18,21,67,47,73,66,85,29,21,60,21,78,97,67,37,25,49,37,67,10,52,36,50,82,11,75,74,50,63,32
19,81,78,24,63,0,46,23,68,11,53,36,33,10,89,66,83,77,75,46,18,100,21,68,22,89,70,34,32,25,25,38,17,70,43,45,17,96,38,35,29,55,13,27,53,70,57,39,36,43,72,14,81,35,35,31,74,68,13,66,41,100,86,64,57,98,98,46,86,79,85,19
52,65,14,90,50,46,0,64,51,80,12,52,62,66,45,77,72,91,60,47,65,74,15,86,84,41,16,16,35,50,30,94,89,88,36,45,62,11,27,85,61,42,95,15,43,27,24,67,64,92,59,12,25,33,71,70,91,33,95,91,60,27,100,55,76,50,37,54,36,31,45,52
36,40,75,44,37,23,64,0,82,18,92,52,98,65,64,20,68,96,47,80,50,44,48,52,91,85,62,34,23,92,51,60,10,71,74,71,28,62,45,95,58,14,53,94,35,31,100,29,85,100,34,88,53,99,91,98,61,77,79,53,49,59,50,98,20,58,44,65,56,47,60,36
72,20,92,74,63,68,51,82,0,25,100,19,15,69,40,89,72,96,54,76,18,42,51,78,90,86,29,69,88,53,63,89,39,24,50,77,70,83,20,89,21,47,64,63,35,51,64,19,60,98,82,72,38,33,18,41,38,37,68,49,46,67,99,16,91,30,20,16,62,66,91,72
48,56,88,76,29,11,80,18,25,0,46,37,88,36,74,28,27,14,10,72,71,96,13,31,25,86,44,57,28,48,54,39,78,37,79,73,83,25,23,14,50,72,36,83,17,42,78,20,26,35,46,68,12,44,77,94,65,20,78,93,53,33,75,94,94,30,79,31,95,35,81,48
72,55,80,37,38,53,12,92,100,46,0,83,25,88,22,36,52,13,66,92,98,42,45,74,75,94,18,25,93,33,80,98,64,14,80,94,63,25,97,40,17,34,67,93,100,63,91,66,51,58,35,17,94,33,74,53,45,60,30,15,88,75,78,92,60,65,29,98,65,26,100,72
97,81,58,22,50,36,52,52,19,37,83,0,62,89,17,33,67,16,16,72,96,59,33,62,20,20,53,67,89,24,36,40,89,45,87,65,95,34,26,12,29,23,21,44,27,53,15,49,52,100,26,56,87,38,50,64,81,55,43,35,43,29,55,85,100,28,54,71,49,60,36,97
