34
0,2,2,2,4,1,1,4,2,4,3,4,1,1,4,4,1,3,4,4,1,1,2,1,1,1,4,4,1,2,2,4,2,4,4,0
0,57,82,34,50,20,26,87,37,63,17,85,73,90,92,41,61,36,12,53,86,69,88,18,34,18,53,98,35,14,56,28,95,10,47,0
57,0,48,26,20,31,78,47,79,89,92,83,12,49,19,19,37,42,88,60,42,64,28,25,50,42,91,61,23,25,39,96,97,84,83,57
82,48,0,26,27,34,83,96,61,70,78,19,33,88,29,64,35,35,78,10,68,48,20,78,100,66,30,90,100,36,21,93,47,61,78,82
34,26,26,0,15,58,32,58,59,97,52,20,11,61,88,32,31,98,69,39,71,47,69,60,30,55,51,43,97,38,89,29,49,64,96,34
50,20,27,15,0,58,13,28,49,14,65,43,59,25,96,13,20,92,96,65,25,20,34,43,50,61,93,60,51,82,64,100,71,82,21,50
20,31,34,58,58,0,96,14,17,94,13,77,100,55,89,39,40,55,94,18,53,66,95,25,69,96,12,74,55,10,61,31,11,64,42,20
26,78,83,32,13,96,0,41,70,60,18,12,94,91,90,59,92,99,69,82,17,40,44,95,51,32,18,86,36,17,50,72,68,98,65,26
87,47,96,58,28,14,41,0,40,14,39,67,54,80,80,42,68,44,72,32,18,73,14,27,48,79,58,89,84,75,56,34,76,71,35,87
37,79,61,59,49,17,70,40,0,59,15,80,24,69,84,32,29,24,86,93,18,26,41,14,49,95,68,80,94,32,45,48,92,91,64,37
63,89,70,97,14,94,60,14,59,0,24,90,54,68,35,36,42,65,57,61,81,52,92,33,64,64,74,67,96,26,13,49,35,39,14,63
17,92,78,52,65,13,18,39,15,24,0,58,59,64,12,99,74,64,54,71,50,65,69,85,75,67,65,16,55,24,37,79,62,34,57,17
85,83,19,20,43,77,12,67,80,90,58,0,54,71,62,19,58,94,25,98,27,87,49,34,10,81,24,36,54,10,21,21,27,81,97,85
73,12,33,11,59,100,94,54,24,54,59,54,0,58,78,68,77,61,47,10,10,15,62,23,73,99,43,27,63,73,35,36,60,92,43,73
90,49,88,61,25,55,91,80,69,68,64,71,58,0,22,71,97,32,75,95,96,91,33,56,91,99,50,39,40,95,32,55,23,19,76,90
92,19,29,88,96,89,90,80,84,35,12,62,78,22,0,12,56,22,17,66,45,26,13,49,27,48,39,29,14,51,89,55,100,20,66,92
41,19,64,32,13,39,59,42,32,36,99,19,68,71,12,0,79,88,30,72,51,60,93,36,49,84,83,87,98,57,33,66,51,53,69,41
61,37,35,31,20,40,92,68,29,42,74,58,77,97,56,79,0,93,79,24,66,71,21,92,27,85,30,82,87,22,15,88,97,44,70,61
36,42,35,98,92,55,99,44,24,65,64,94,61,32,22,88,93,0,71,41,27,16,26,83,32,91,34,54,95,52,72,31,99,50,73,36
12,88,78,69,96,94,69,72,86,57,54,25,47,75,17,30,79,71,0,42,82,34,69,25,74,64,24,13,51,27,15,63,83,28,19,12
53,60,10,39,65,18,82,32,93,61,71,98,10,95,66,72,24,41,42,0,82,94,67,27,11,47,38,15,84,99,12,68,38,97,85,53
86,42,68,71,25,53,17,18,18,81,50,27,10,96,45,51,66,27,82,82,0,50,100,91,36,57,90,43,31,87,72,84,69,91,70,86
69,64,48,47,20,66,40,73,26,52,65,87,15,91,26,60,71,16,34,94,50,0,56,25,74,48,75,56,95,19,44,86,60,65,71,69
88,28,20,69,34,95,44,14,41,92,69,49,62,33,13,93,21,26,69,67,100,56,0,57,39,38,58,22,97,84,50,26,84,29,15,88
18,25,78,60,43,25,95,27,14,33,85,34,23,56,49,36,92,83,25,27,91,25,57,0,90,23,19,54,81,17,22,53,64,19,74,18
34,50,100,30,50,69,51,48,49,64,75,10,73,91,27,49,27,32,74,11,36,74,39,90,0,84,75,62,72,11,28,39,29,40,92,34
18,42,66,55,61,96,32,79,95,64,67,81,99,99,48,84,85,91,64,47,57,48,38,23,84,0,52,43,34,87,76,54,37,66,41,18
53,91,30,51,93,12,18,58,68,74,65,24,43,50,39,83,30,34,24,38,90,75,58,19,75,52,0,25,72,33,100,61,25,40,29,53
98,61,90,43,60,74,86,89,80,67,16,36,27,39,29,87,82,54,13,15,43,56,22,54,62,43,25,0,87,80,61,80,53,100,29,98
35,23,100,97,51,55,36,84,94,96,55,54,63,40,14,98,87,95,51,84,31,95,97,81,72,34,72,87,0,41,98,65,15,56,61,35
14,25,36,38,82,10,17,75,32,26,24,10,73,95,51,57,22,52,27,99,87,19,84,17,11,87,33,80,41,0,27,94,59,65,54,14
56,39,21,89,64,61,50,56,45,13,37,21,35,32,89,33,15,72,15,12,72,44,50,22,28,76,100,61,98,27,0,48,31,59,86,56
28,96,93,29,100,31,72,34,48,49,79,21,36,55,55,66,88,31,63,68,84,86,26,53,39,54,61,80,65,94,48,0,97,51,28,28
95,97,47,49,71,11,68,76,92,35,62,27,60,23,100,51,97,99,83,38,69,60,84,64,29,37,25,53,15,59,31,97,0,23,23,95
10,84,61,64,82,64,98,71,91,39,34,81,92,19,20,53,44,50,28,97,91,65,29,19,40,66,40,100,56,65,59,51,23,0,46,10
47,83,78,96,21,42,65,35,64,14,57,97,43,76,66,69,70,73,19,85,70,71,15,74,92,41,29,29,61,54,86,28,23,46,0,47
0,57,82,34,50,20,26,87,37,63,17,85,73,90,92,41,61,36,12,53,86,69,88,18,34,18,53,98,35,14,56,28,95,10,47,0
