71
0,4,1,2,1,2,1,4,3,3,2,4,1,4,3,3,1,3,2,2,2,4,3,4,3,1,2,2,3,3,1,3,2,4,4,4,4,1,3,1,2,1,1,3,4,3,1,1,1,1,4,1,2,4,3,4,1,4,1,1,4,3,4,3,1,3,4,4,1,1,1,2,0
0,18,21,19,74,82,47,100,56,80,79,77,37,16,42,13,48,46,15,61,14,92,47,26,28,100,15,71,98,34,16,81,82,70,63,84,16,11,56,35,63,46,75,49,77,35,57,85,38,76,99,67,14,74,12,31,47,83,32,10,28,14,63,85,16,61,94,40,99,47,37,23,0
18,0,67,16,92,31,76,38,59,62,43,16,49,11,33,93,45,34,52,68,24,55,93,68,43,100,80,46,23,34,66,90,45,88,17,41,50,47,88,27,46,10,59,93,24,37,21,38,20,20,64,32,28,75,77,29,95,30,91,15,93,96,96,59,70,37,100,40,16,72,50,37,18
21,67,0,97,26,34,23,70,74,70,63,36,80,53,33,54,86,82,38,65,36,42,25,60,41,41,46,100,35,11,78,49,24,92,23,88,15,72,54,86,32,59,60,50,70,98,87,48,75,57,86,33,91,90,31,34,55,85,15,95,34,78,27,51,63,53,14,33,78,25,33,22,21
19,16,97,0,67,96,94,51,61,53,95,32,10,24,97,47,84,29,50,61,48,73,87,33,27,69,31,79,68,50,72,51,73,49,87,37,28,79,37,56,36,100,54,30,27,82,43,15,95,50,49,80,100,30,33,96,83,94,52,32,92,98,74,93,26,40,70,62,13,89,67,99,19
74,92,26,67,0,54,10,75,37,60,79,35,97,58,18,36,16,100,39,44,70,78,72,37,26,71,25,77,47,54,35,31,12,35,53,36,88,12,14,33,73,83,30,95,95,43,73,81,78,90,82,68,30,26,11,83,27,99,78,24,63,46,38,23,100,69,55,60,45,60,95,24,74
82,31,34,96,54,0,99,97,49,52,75,18,19,90,53,26,33,59,60,67,64,15,25,49,96,84,31,98,75,61,17,24,80,23,22,50,86,18,100,37,60,86,31,85,53,87,78,64,41,10,70,58,55,97,96,51,12,52,24,89,33,49,86,23,37,93,52,98,61,87,72,27,82
47,76,23,94,10,99,0,47,60,35,66,41,34,69,32,70,24,34,20,17,89,75,73,81,63,90,60,70,53,28,50,35,89,92,89,81,20,41,16,52,39,65,46,97,89,48,99,41,23,39,65,88,68,14,36,94,76,12,52,17,56,71,29,67,75,36,22,88,23,64,38,69,47
100,38,70,51,75,97,47,0,40,98,69,86,61,23,45,31,84,82,61,22,94,96,50,41,58,25,13,24,56,67,47,83,19,62,18,93,54,37,20,35,36,60,38,34,18,83,54,88,25,52,39,49,94,86,83,59,79,61,67,94,46,86,97,29,14,92,30,32,44,67,20,41,100
56,59,74,61,37,49,60,40,0,65,96,97,51,63,63,53,35,26,81,44,15,24,13,48,59,65,95,64,59,43,69,68,87,58,52,60,17,14,55,93,22,39,11,64,22,91,88,44,38,35,24,80,12,44,26,19,29,98,65,30,73,67,67,43,66,62,77,20,20,73,58,12,56
