36
0,2,1,3,3,1,1,3,2,1,4,1,4,1,4,1,1,3,4,3,3,1,4,2,4,3,2,1,1,4,4,2,3,1,4,3,2,0
0,31,40,90,90,57,20,28,22,26,86,15,57,53,45,73,39,59,71,59,70,96,80,74,72,32,36,85,30,35,40,90,64,95,64,10,14,0
31,0,59,63,98,63,43,99,44,58,76,45,89,11,75,27,83,27,41,87,15,36,46,33,37,22,56,24,82,73,75,82,49,33,52,60,64,31
40,59,0,79,76,17,19,47,86,62,61,93,78,32,91,88,19,94,74,55,50,17,34,33,89,98,43,46,75,20,81,89,93,94,90,34,24,40
90,63,79,0,46,10,58,48,92,48,31,91,91,27,21,26,66,96,100,99,55,14,86,15,94,26,46,80,28,24,33,26,85,17,73,17,82,90
90,98,76,46,0,86,55,78,63,74,40,41,37,79,99,53,52,96,100,13,18,10,28,94,62,17,34,92,35,28,36,74,38,64,58,48,29,90
57,63,17,10,86,0,49,40,14,75,45,97,35,49,60,41,14,82,31,26,72,25,82,46,81,52,79,83,52,96,70,100,95,45,71,36,79,57
20,43,19,58,55,49,0,96,41,74,96,82,32,35,91,14,33,74,22,40,77,75,57,79,10,42,85,62,35,45,40,71,85,79,90,27,67,20
28,99,47,48,78,40,96,0,69,28,48,94,88,58,98,17,83,39,56,59,37,10,77,22,90,67,58,53,58,85,43,45,79,82,42,59,56,28
22,44,86,92,63,14,41,69,0,47,58,18,21,69,33,100,71,96,44,78,24,86,23,46,40,50,45,63,20,63,73,40,97,78,88,19,43,22
26,58,62,48,74,75,74,28,47,0,63,77,26,24,71,34,61,39,62,52,33,35,88,47,21,47,75,41,67,39,20,16,77,54,54,15,28,26
86,76,61,31,40,45,96,48,58,63,0,96,88,67,32,15,44,81,54,73,90,89,50,13,36,14,39,17,44,37,60,94,75,74,82,37,49,86
15,45,93,91,41,97,82,94,18,77,96,0,67,50,73,90,22,31,17,57,11,85,68,74,74,90,95,80,99,23,51,46,74,65,30,74,44,15
57,89,78,91,37,35,32,88,21,26,88,67,0,22,89,67,47,53,13,19,49,89,69,47,87,57,28,19,62,74,63,59,11,100,49,90,69,57
53,11,32,27,79,49,35,58,69,24,67,50,22,0,58,51,57,74,11,65,15,45,76,44,56,66,29,97,94,12,18,52,57,44,82,20,61,53
45,75,91,21,99,60,91,98,33,71,32,73,89,58,0,54,57,99,54,94,42,64,49,70,53,88,18,28,99,31,52,76,48,27,81,23,97,45
73,27,88,26,53,41,14,17,100,34,15,90,67,51,54,0,22,96,63,21,33,68,52,33,19,14,83,37,100,26,81,13,46,94,81,47,85,73
39,83,19,66,52,14,33,83,71,61,44,22,47,57,57,22,0,15,22,100,28,48,25,36,65,50,87,80,89,96,48,65,90,14,62,96,51,39
59,27,94,96,96,82,74,39,96,39,81,31,53,74,99,96,15,0,91,88,75,24,57,98,98,17,43,93,65,18,71,93,32,64,93,20,43,59
71,41,74,100,100,31,22,56,44,62,54,17,13,11,54,63,22,91,0,71,26,53,82,86,44,21,21,40,75,77,87,39,66,61,92,93,85,71
59,87,55,99,13,26,40,59,78,52,73,57,19,65,94,21,100,88,71,0,57,55,21,28,19,36,56,91,65,84,39,16,11,51,76,93,91,59
70,15,50,55,18,72,77,37,24,33,90,11,49,15,42,33,28,75,26,57,0,13,98,99,44,82,94,76,66,57,17,63,19,18,55,56,60,70
96,36,17,14,10,25,75,10,86,35,89,85,89,45,64,68,48,24,53,55,13,0,25,49,74,45,13,70,54,99,100,69,48,81,95,64,70,96
80,46,34,86,28,82,57,77,23,88,50,68,69,76,49,52,25,57,82,21,98,25,0,18,24,100,34,30,99,85,78,16,23,85,53,33,72,80
74,33,33,15,94,46,79,22,46,47,13,74,47,44,70,33,36,98,86,28,99,49,18,0,91,89,82,74,81,58,31,62,27,49,59,77,30,74
72,37,89,94,62,81,10,90,40,21,36,74,87,56,53,19,65,98,44,19,44,74,24,91,0,44,59,44,91,65,92,44,94,61,42,15,28,72
32,22,98,26,17,52,42,67,50,47,14,90,57,66,88,14,50,17,21,36,82,45,100,89,44,0,46,82,49,38,26,32,71,65,84,71,26,32
36,56,43,46,34,79,85,58,45,75,39,95,28,29,18,83,87,43,21,56,94,13,34,82,59,46,0,42,90,100,82,75,31,97,91,65,93,36
85,24,46,80,92,83,62,53,63,41,17,80,19,97,28,37,80,93,40,91,76,70,30,74,44,82,42,0,55,90,10,33,51,74,34,19,97,85
30,82,75,28,35,52,35,58,20,67,44,99,62,94,99,100,89,65,75,65,66,54,99,81,91,49,90,55,0,54,46,35,71,19,93,92,24,30
35,73,20,24,28,96,45,85,63,39,37,23,74,12,31,26,96,18,77,84,57,99,85,58,65,38,100,90,54,0,27,86,69,52,16,87,14,35
40,75,81,33,36,70,40,43,73,20,60,51,63,18,52,81,48,71,87,39,17,100,78,31,92,26,82,10,46,27,0,24,74,57,30,82,42,40
90,82,89,26,74,100,71,45,40,16,94,46,59,52,76,13,65,93,39,16,63,69,16,62,44,32,75,33,35,86,24,0,74,13,48,13,20,90
64,49,93,85,38,95,85,79,97,77,75,74,11,57,48,46,90,32,66,11,19,48,23,27,94,71,31,51,71,69,74,74,0,45,23,12,54,64
95,33,94,17,64,45,79,82,78,54,74,65,100,44,27,94,14,64,61,51,18,81,85,49,61,65,97,74,19,52,57,13,45,0,67,35,58,95
64,52,90,73,58,71,90,42,88,54,82,30,49,82,81,81,62,93,92,76,55,95,53,59,42,84,91,34,93,16,30,48,23,67,0,38,41,64
10,60,34,17,48,36,27,59,19,15,37,74,90,20,23,47,96,20,93,93,56,64,33,77,15,71,65,19,92,87,82,13,12,35,38,0,68,10
14,64,24,82,29,79,67,56,43,28,49,44,69,61,97,85,51,43,85,91,60,70,72,30,28,26,93,97,24,14,42,20,54,58,41,68,0,14
0,31,40,90,90,57,20,28,22,26,86,15,57,53,45,73,39,59,71,59,70,96,80,74,72,32,36,85,30,35,40,90,64,95,64,10,14,0
