105
0,2,3,1,1,3,2,2,4,2,4,3,4,4,4,2,1,2,4,1,2,2,2,4,1,2,3,2,3,2,1,3,4,1,3,1,1,2,4,4,3,2,1,4,3,3,1,1,3,1,3,1,4,1,1,2,4,1,4,3,2,3,2,2,1,2,2,1,4,1,4,3,4,2,2,4,4,1,1,4,4,2,4,3,2,3,3,3,4,3,4,4,2,4,3,4,3,4,2,2,4,2,4,1,3,2,0
0,41,48,85,75,28,99,92,33,31,61,20,92,45,60,74,84,60,94,84,43,68,24,78,35,56,63,87,62,66,42,30,85,36,90,92,88,63,95,64,43,26,41,56,55,32,100,22,90,91,34,74,48,79,62,45,76,88,43,46,53,16,81,68,14,93,83,66,67,93,30,79,48,32,43,65,35,89,45,45,17,50,20,87,30,32,30,82,13,10,34,28,70,57,51,44,79,20,33,59,29,50,100,87,55,23,0
41,0,36,62,36,65,27,68,34,45,16,80,54,56,87,29,46,98,56,73,13,68,61,87,27,91,78,63,10,67,42,40,53,71,71,59,65,80,72,44,83,75,71,11,38,47,61,78,94,12,84,36,32,44,76,74,59,28,91,66,67,65,75,83,72,97,13,94,44,17,43,35,54,18,26,72,18,33,18,68,69,89,50,54,65,73,50,17,86,87,64,56,79,40,45,93,20,46,16,69,86,70,87,14,67,66,41
48,36,0,49,48,78,82,73,100,21,51,84,89,96,21,29,30,73,70,46,87,62,16,40,56,53,22,63,47,77,33,34,45,67,96,66,56,52,80,29,18,73,13,26,23,57,12,15,35,72,99,27,84,77,20,15,55,13,40,15,24,94,70,68,54,69,98,93,26,82,91,81,69,10,16,92,99,76,13,95,69,83,47,53,92,63,53,48,46,62,96,53,65,51,84,20,68,26,57,49,19,97,64,43,76,84,48
85,62,49,0,87,75,51,19,78,71,87,14,68,22,84,46,26,11,83,30,51,61,38,93,63,23,63,49,26,32,50,59,81,28,29,45,73,27,23,96,59,41,20,43,56,69,21,44,45,40,82,20,43,65,37,66,96,91,35,35,57,79,29,79,72,64,73,62,14,72,47,48,32,99,76,86,11,84,79,55,96,86,49,36,19,76,92,41,21,88,29,54,26,69,62,52,87,61,35,59,28,75,94,36,30,29,85
75,36,48,87,0,24,71,52,68,45,49,89,65,73,15,29,84,32,40,10,32,27,31,92,80,87,54,14,24,32,44,16,16,85,89,89,89,89,58,42,61,85,76,19,26,32,32,68,96,50,10,11,36,89,59,39,58,26,38,46,44,71,12,10,57,86,87,26,61,21,20,92,23,52,52,27,52,73,42,18,57,31,67,14,59,50,67,37,49,73,92,60,28,65,58,52,51,97,99,69,15,69,85,57,70,31,75
28,65,78,75,24,0,40,20,72,85,38,87,31,60,60,16,24,89,27,46,58,72,33,15,76,84,18,65,79,12,61,33,33,88,48,45,22,49,40,52,27,77,27,54,97,51,71,22,99,37,58,41,13,21,39,91,76,27,23,52,53,41,26,38,53,86,56,37,98,14,19,49,80,92,58,12,11,44,70,30,48,93,54,27,91,47,26,75,44,92,93,29,66,78,51,78,48,79,60,90,64,93,33,73,97,45,28
99,27,82,51,71,40,0,56,20,69,86,14,49,43,53,92,57,21,71,81,97,60,80,57,31,74,98,89,47,86,37,29,26,13,43,38,36,54,52,92,78,26,47,14,55,52,81,11,57,55,33,57,11,16,59,87,75,98,54,69,48,65,50,81,23,14,89,97,63,44,10,69,95,79,22,63,82,92,98,36,17,72,54,80,52,51,75,50,75,60,48,67,12,63,62,88,14,26,14,29,64,89,25,76,98,50,99
92,68,73,19,52,20,56,0,45,15,65,24,55,49,77,45,80,42,23,59,67,24,78,54,57,95,70,100,30,21,85,10,23,80,38,84,65,92,58,87,17,72,41,74,45,84,86,34,74,54,64,62,94,70,99,24,73,92,52,89,85,59,11,36,50,15,80,50,57,75,82,93,82,48,46,67,36,61,98,25,38,33,34,37,60,100,84,20,23,99,70,29,73,86,12,90,94,81,43,41,28,50,100,16,13,95,92
33,34,100,78,68,72,20,45,0,27,91,57,67,96,56,55,21,26,36,13,99,32,96,92,78,72,23,57,33,53,91,94,67,86,25,77,55,83,38,15,37,23,77,96,21,43,78,17,52,58,43,48,91,88,38,66,59,64,52,14,87,80,73,72,87,45,96,100,28,31,95,89,55,35,31,50,13,50,59,26,59,37,56,36,96,87,83,76,35,18,53,71,88,73,83,84,96,89,62,62,98,38,35,22,51,55,33
