81
0,2,2,4,4,2,3,1,1,1,1,1,1,4,1,4,4,3,4,3,1,1,3,3,4,4,4,1,2,1,3,3,3,4,4,2,1,2,1,1,3,1,2,2,3,2,2,3,4,4,2,1,4,4,2,1,2,3,2,3,4,2,4,1,4,1,4,1,4,3,1,4,1,4,3,4,2,1,3,2,3,3,0
0,48,70,73,78,90,20,74,87,45,94,75,35,61,67,83,96,86,89,32,99,33,86,68,97,74,94,32,62,73,47,97,53,65,43,35,19,14,45,49,19,36,45,42,89,66,88,60,71,95,87,22,23,19,27,65,91,17,89,55,88,63,97,37,83,14,61,12,59,74,54,93,100,48,96,13,47,12,35,82,52,65,0
48,0,67,54,55,75,59,17,32,37,18,45,42,99,14,68,40,37,52,28,78,20,75,81,99,51,23,42,38,61,53,84,39,70,79,90,49,85,94,32,86,21,46,14,10,15,56,98,51,50,54,32,36,32,28,19,90,55,69,30,60,10,60,77,63,95,81,36,19,60,38,64,28,50,29,88,81,41,88,88,11,96,48
70,67,0,100,55,41,66,87,31,47,67,63,16,69,44,68,88,13,17,70,44,62,12,13,75,84,24,52,97,98,75,83,81,21,74,43,70,70,67,50,66,85,26,52,77,44,89,21,40,10,45,11,90,100,36,81,48,30,67,76,11,44,23,72,23,46,43,98,32,85,16,52,45,53,60,84,12,44,54,18,58,76,70
73,54,100,0,19,76,73,23,39,100,27,33,25,16,86,72,66,80,22,39,72,94,69,84,21,55,31,77,49,29,32,36,47,59,52,63,69,64,19,81,23,93,77,80,26,99,77,35,30,52,47,79,89,32,14,33,63,27,30,96,50,11,31,18,86,57,32,51,58,27,28,32,48,54,81,95,89,23,33,11,70,68,73
78,55,55,19,0,18,55,88,37,47,50,35,68,92,72,83,48,76,81,92,78,38,88,72,28,84,18,10,51,59,97,73,12,91,96,99,74,38,68,40,13,92,22,81,21,84,29,23,26,61,95,64,50,31,44,17,82,12,24,60,53,59,30,97,100,93,18,34,76,29,86,10,89,26,65,78,66,77,24,75,60,70,78
90,75,41,76,18,0,77,35,90,95,62,68,35,93,43,38,54,88,72,14,36,42,21,52,73,43,48,18,11,37,59,44,43,44,61,29,38,58,82,50,22,66,21,97,70,64,66,12,50,90,27,47,62,85,72,51,92,91,94,65,36,54,42,51,86,47,31,18,29,59,66,38,26,30,91,81,88,21,52,95,83,85,90
20,59,66,73,55,77,0,93,33,63,94,30,40,29,10,75,52,62,79,51,46,46,89,38,12,55,54,16,20,23,24,30,56,62,95,62,50,56,53,98,41,70,56,62,61,21,25,15,76,22,97,62,21,15,46,82,95,46,20,80,37,28,70,47,97,11,90,49,83,25,55,29,46,42,60,44,11,57,75,12,84,80,20
74,17,87,23,88,35,93,0,55,53,83,12,14,66,65,82,60,97,43,18,67,52,65,63,39,57,63,63,86,30,23,63,79,65,96,28,26,14,16,12,85,29,64,99,50,61,10,83,91,43,50,12,27,11,79,50,24,10,46,96,21,61,39,30,51,88,20,87,64,89,11,23,28,46,50,78,38,67,31,12,17,57,74
87,32,31,39,37,90,33,55,0,96,70,86,83,79,66,58,21,15,24,40,39,45,97,20,34,34,51,80,82,41,32,98,36,16,11,80,20,67,55,91,22,26,48,89,15,43,77,92,55,66,37,25,25,20,47,77,59,82,100,36,25,47,53,23,31,60,50,31,24,39,82,74,77,21,69,25,61,52,21,27,48,28,87
