11
0,2,2,3,1,1,2,1,1,2,3,1,0
0,43,76,48,67,15,23,92,63,81,47,10,0
43,0,97,35,40,38,18,75,13,86,22,29,43
76,97,0,89,14,75,40,71,46,24,36,36,76
48,35,89,0,72,59,43,72,79,46,86,85,48
67,40,14,72,0,79,66,32,30,58,70,46,67
15,38,75,59,79,0,23,24,46,89,83,75,15
23,18,40,43,66,23,0,31,40,46,98,88,23
92,75,71,72,32,24,31,0,70,28,23,46,92
63,13,46,79,30,46,40,70,0,99,19,94,63
81,86,24,46,58,89,46,28,99,0,13,98,81
47,22,36,86,70,83,98,23,19,13,0,18,47
10,29,36,85,46,75,88,46,94,98,18,0,10
0,43,76,48,67,15,23,92,63,81,47,10,0
