95
0,4,4,1,4,2,1,2,4,4,2,2,4,1,1,4,2,4,1,2,4,3,1,2,3,1,3,1,1,2,3,1,3,1,4,3,2,2,2,2,3,2,2,1,1,2,4,1,4,3,3,2,3,2,2,1,4,2,2,2,2,3,4,4,3,3,2,2,1,3,4,4,3,3,2,1,4,2,4,3,3,3,1,3,2,3,1,1,4,3,1,4,1,4,1,1,0
0,15,41,56,64,35,68,62,70,81,60,11,87,93,43,70,47,89,41,70,38,97,35,31,93,63,75,35,38,50,99,76,60,72,82,49,99,56,20,30,17,98,15,48,12,10,79,11,45,53,15,59,90,92,76,49,42,80,61,26,81,63,61,34,76,52,87,17,17,57,91,68,44,80,93,52,89,60,38,95,89,30,66,37,63,39,38,92,40,29,26,46,77,12,21,87,0
15,0,43,78,58,28,51,92,81,93,69,45,65,38,76,79,65,58,63,98,77,18,43,15,33,10,63,99,16,79,84,29,50,29,11,46,24,73,65,76,97,88,95,94,33,69,70,49,32,73,37,59,100,74,62,32,36,65,95,97,20,97,22,79,77,70,98,69,80,20,44,81,46,18,83,73,76,74,89,19,23,52,31,73,10,25,100,22,72,36,29,39,61,45,33,77,15
41,43,0,19,33,92,21,51,38,89,12,76,40,40,55,51,45,56,10,25,11,27,89,27,60,17,86,66,60,96,92,25,23,18,20,39,42,34,71,77,21,48,73,86,55,100,50,80,60,93,19,59,91,51,17,100,45,27,100,18,35,15,78,17,20,77,16,30,24,81,55,18,76,25,62,54,81,63,97,75,17,49,53,58,92,81,13,50,37,25,28,52,53,18,68,88,41
56,78,19,0,55,38,45,34,43,99,33,89,97,37,23,98,65,60,94,77,41,43,57,67,44,64,11,67,75,66,71,43,84,52,34,73,86,99,18,30,56,49,94,41,40,79,36,65,84,47,18,31,23,25,97,54,18,52,15,96,66,90,75,25,63,62,45,73,17,78,68,100,48,74,71,54,13,25,30,25,32,27,58,10,34,65,100,41,67,47,91,21,84,21,32,40,56
64,58,33,55,0,99,75,34,38,59,96,95,53,52,18,90,98,85,66,56,93,62,52,65,36,73,81,31,73,66,85,79,22,68,100,50,30,33,97,72,18,55,95,36,62,87,14,37,63,75,10,73,89,94,63,27,69,95,96,76,52,96,75,76,96,58,51,79,67,48,60,51,44,63,67,58,66,82,74,43,34,52,76,19,26,34,69,86,45,90,86,70,22,89,85,13,64
35,28,92,38,99,0,41,99,83,17,79,14,32,71,73,93,21,26,61,21,76,18,38,43,71,38,27,70,23,29,98,42,24,54,99,93,19,43,95,71,67,12,39,77,43,49,91,79,81,53,33,100,11,91,40,38,87,96,76,84,86,28,79,67,86,90,66,39,31,88,23,10,71,45,64,22,86,77,99,31,12,16,77,94,10,81,57,81,84,96,99,41,90,78,14,42,35
68,51,21,45,75,41,0,98,30,50,96,73,85,52,15,96,47,64,77,83,26,12,48,30,40,26,30,47,40,12,25,18,15,92,50,97,82,71,73,14,10,18,47,31,45,66,32,50,58,95,91,71,89,65,81,91,65,94,75,73,41,67,36,82,48,72,16,44,91,36,80,38,75,32,34,83,80,70,85,90,81,87,81,86,27,76,91,17,75,93,30,59,95,90,54,10,68
62,92,51,34,34,99,98,0,62,23,32,41,86,85,15,99,47,52,70,53,82,93,33,40,43,48,53,88,20,53,11,72,61,55,65,31,33,97,59,64,83,33,84,97,44,34,83,79,100,55,84,14,93,95,61,10,95,45,53,57,66,61,14,20,49,62,39,65,27,33,22,46,79,13,20,83,21,20,81,81,49,98,77,63,51,42,43,88,100,27,49,64,49,51,47,12,62
70,81,38,43,38,83,30,62,0,80,79,86,75,28,55,30,26,39,62,67,33,41,91,70,36,19,76,49,93,52,55,83,62,34,96,66,10,17,23,44,24,76,44,14,36,30,22,80,22,64,63,63,86,42,63,19,57,60,63,16,10,77,69,20,11,97,81,94,17,89,73,43,45,14,49,31,72,93,53,31,75,21,29,64,74,91,90,79,58,78,91,43,68,72,42,44,70
81,93,89,99,59,17,50,23,80,0,57,67,95,47,48,60,81,86,21,24,21,18,77,49,43,51,53,82,73,81,24,80,78,97,60,31,50,11,28,81,23,38,95,71,37,59,49,73,27,42,10,51,18,52,13,84,14,81,23,47,95,85,39,92,70,81,33,46,24,90,11,83,66,95,18,57,31,83,34,63,43,10,19,15,50,91,56,22,74,45,58,74,10,39,80,53,81
60,69,12,33,96,79,96,32,79,57,0,16,34,91,72,89,51,81,68,82,25,50,38,43,85,84,91,33,41,38,21,16,91,83,34,82,37,30,43,15,88,53,12,26,50,80,90,31,58,10,97,79,65,64,10,85,13,71,56,87,80,98,16,26,79,57,77,70,61,36,77,80,100,20,11,85,33,12,65,78,92,36,79,32,67,99,19,83,53,68,100,14,53,17,87,46,60
11,45,76,89,95,14,73,41,86,67,16,0,79,95,41,57,81,34,92,71,39,71,18,33,76,91,13,14,83,51,81,54,64,31,68,12,42,79,22,33,67,11,43,10,81,23,36,85,78,78,34,33,26,40,47,98,59,38,91,98,85,82,38,27,30,11,87,15,24,43,64,93,39,42,90,37,97,76,85,66,92,69,12,20,11,31,10,74,60,10,63,94,80,23,19,59,11
87,65,40,97,53,32,85,86,75,95,34,79,0,52,87,76,93,42,95,57,32,70,22,23,25,62,93,28,25,86,34,71,31,35,81,41,32,70,46,61,40,91,50,36,92,24,65,97,88,79,79,100,76,12,100,51,99,56,59,37,31,23,62,74,65,25,94,26,46,18,78,32,21,14,41,96,46,17,55,70,54,99,54,97,48,15,50,28,34,80,58,29,57,36,52,18,87
93,38,40,37,52,71,52,85,28,47,91,95,52,0,12,91,11,11,68,83,100,44,88,48,14,96,29,18,76,14,99,34,85,48,49,86,93,50,16,63,35,40,23,50,93,66,48,61,63,12,17,39,65,83,50,32,63,60,22,52,44,55,55,86,90,40,59,82,99,84,32,52,28,87,14,91,72,70,96,30,98,35,64,76,18,98,95,35,76,80,16,54,51,57,97,44,93
43,76,55,23,18,73,15,15,55,48,72,41,87,12,0,33,51,26,67,98,32,40,48,73,70,82,98,74,17,16,24,41,67,25,92,19,33,48,75,80,32,81,67,22,54,86,74,25,44,45,74,50,14,74,90,19,10,86,33,93,60,57,79,66,16,49,42,76,25,95,15,77,44,33,88,10,69,22,62,60,56,11,92,58,49,47,55,36,36,47,10,12,67,56,54,92,43
70,79,51,98,90,93,96,99,30,60,89,57,76,91,33,0,54,10,19,71,58,69,45,46,25,99,91,85,44,81,54,46,67,93,86,51,26,78,83,84,85,22,80,81,46,43,93,98,58,90,69,78,68,60,38,18,23,79,31,59,65,88,56,70,44,39,89,41,38,38,38,82,32,71,98,35,78,49,84,62,85,84,38,96,45,37,76,12,51,84,34,40,25,100,47,65,70
47,65,45,65,98,21,47,47,26,81,51,81,93,11,51,54,0,48,86,37,43,42,94,79,37,50,20,64,54,55,29,58,88,18,71,18,11,14,60,24,91,60,98,68,50,66,95,24,38,75,71,11,60,80,19,34,14,19,29,50,74,28,11,98,43,58,16,65,98,63,29,70,38,67,68,49,43,44,26,91,17,39,78,16,81,45,12,58,99,55,61,51,82,51,33,92,47
89,58,56,60,85,26,64,52,39,86,81,34,42,11,26,10,48,0,41,15,100,88,54,76,68,96,49,37,86,51,77,79,51,64,99,57,46,49,23,91,94,27,54,23,28,55,38,48,93,14,29,61,44,86,67,47,14,19,29,79,86,24,55,47,34,18,70,52,11,13,37,85,26,10,66,88,33,50,58,89,53,15,72,36,17,92,45,66,100,29,70,76,44,68,92,38,89
41,63,10,94,66,61,77,70,62,21,68,92,95,68,67,19,86,41,0,94,39,68,93,39,70,64,46,72,71,54,38,42,98,81,42,72,42,92,62,16,94,45,71,42,68,86,58,17,39,98,49,11,20,84,11,32,99,82,88,95,14,45,39,28,100,90,22,25,16,69,88,65,56,28,95,21,77,19,55,33,36,91,89,75,73,18,39,42,88,31,81,18,80,39,23,37,41
70,98,25,77,56,21,83,53,67,24,82,71,57,83,98,71,37,15,94,0,19,37,16,21,39,53,11,13,96,51,49,47,62,34,64,85,50,96,21,74,79,74,87,27,69,60,79,21,10,82,22,74,58,31,27,97,63,86,22,29,92,78,56,22,70,88,49,36,91,28,69,33,10,17,93,97,16,61,22,89,16,34,46,40,75,43,77,49,71,75,14,69,20,80,73,17,70
38,77,11,41,93,76,26,82,33,21,25,39,32,100,32,58,43,100,39,19,0,44,87,10,69,30,39,100,81,49,51,29,82,16,83,22,79,64,29,71,86,52,61,37,96,88,53,16,38,61,77,91,54,45,31,77,52,23,71,96,54,39,82,46,84,97,38,50,47,77,78,99,63,90,24,81,21,44,99,76,44,17,30,46,40,39,89,20,38,71,93,34,39,43,41,10,38
