119
0,4,2,4,4,1,3,2,4,2,4,3,2,2,3,1,3,2,1,1,1,1,4,4,2,1,3,1,4,3,3,3,3,1,1,3,4,2,1,4,1,1,4,1,4,3,4,3,1,1,1,4,3,2,2,3,2,3,3,3,1,3,3,2,3,3,1,3,4,1,1,4,4,1,3,4,1,4,3,3,4,4,2,1,1,2,3,4,2,2,4,3,2,4,3,3,3,3,2,2,2,1,2,1,3,4,4,4,3,1,1,2,2,3,3,4,4,4,3,3,0
0,17,98,16,56,29,76,97,73,49,100,29,85,59,48,11,75,87,82,75,83,70,79,14,24,56,64,32,24,29,52,34,65,59,80,14,23,39,53,61,30,20,78,62,60,13,40,41,25,68,47,23,80,56,94,45,35,10,11,93,29,27,64,44,17,77,87,91,14,99,95,42,42,90,17,94,77,78,14,99,70,38,29,49,87,46,97,44,26,17,82,67,53,100,82,10,98,50,57,33,27,65,62,96,62,20,44,34,80,79,49,90,95,46,28,70,27,73,48,13,0
17,0,29,59,67,21,20,66,20,48,17,71,44,67,48,60,44,98,23,37,85,34,98,27,44,60,74,67,23,52,44,55,39,62,32,15,22,30,36,88,100,57,60,99,73,64,56,54,45,44,81,29,72,49,15,85,83,35,64,29,99,31,44,71,94,90,73,15,90,24,83,60,30,55,52,85,62,15,69,89,10,27,31,52,21,44,44,70,31,67,28,68,95,12,95,63,50,67,44,26,82,66,93,26,90,30,68,73,59,97,86,75,69,88,40,88,22,44,43,54,17
98,29,0,12,25,64,46,35,44,87,47,71,30,90,94,67,88,66,13,29,48,30,72,52,53,60,18,91,95,49,91,45,81,85,86,75,94,64,87,11,64,25,97,30,57,59,22,22,83,56,63,57,98,41,80,82,38,36,68,46,12,99,71,11,75,85,66,52,35,32,62,51,73,39,51,59,91,63,22,20,36,59,31,62,40,54,84,71,95,52,50,49,50,76,99,54,70,31,71,84,70,13,11,50,79,78,55,16,99,99,41,38,51,90,39,83,77,79,91,81,98
16,59,12,0,13,84,39,23,96,93,70,28,39,48,16,14,18,83,67,89,34,63,80,83,11,89,77,58,70,89,68,38,31,77,83,98,86,69,38,41,21,42,49,10,94,62,88,20,84,66,63,47,95,54,40,79,68,39,70,78,92,94,51,14,90,70,21,20,68,85,13,37,51,43,60,93,31,29,14,79,52,35,20,86,60,51,70,92,28,51,96,96,77,17,60,60,80,90,85,38,85,70,27,63,38,49,84,88,18,30,31,75,77,67,88,19,13,38,65,24,16
56,67,25,13,0,98,41,51,15,23,59,76,26,74,60,71,26,17,24,95,61,85,64,84,71,41,11,48,26,15,35,27,47,83,80,75,59,76,78,77,76,89,34,81,98,92,87,17,62,32,87,21,64,58,78,54,71,37,18,45,82,15,50,16,68,88,73,11,16,53,48,24,99,42,52,14,11,47,54,84,96,51,12,15,73,92,35,18,76,72,12,58,47,86,14,84,51,13,81,77,19,75,96,57,59,17,96,30,24,94,50,21,38,86,51,100,64,54,49,17,56
29,21,64,84,98,0,27,64,94,50,99,27,98,71,55,55,65,69,97,99,48,65,95,11,69,32,56,14,53,92,98,31,86,19,13,41,46,85,37,68,30,32,50,58,25,90,12,83,12,14,66,48,92,46,38,62,39,25,10,46,58,41,49,81,36,63,48,89,67,97,64,50,56,85,10,68,72,82,89,71,76,61,23,28,68,62,68,14,97,80,13,66,13,17,94,13,84,82,85,97,74,75,28,87,89,82,69,55,57,82,78,56,50,33,93,87,87,77,59,49,29
76,20,46,39,41,27,0,99,14,86,35,76,20,87,87,98,84,94,64,68,15,44,67,95,95,63,46,65,57,26,96,40,73,80,61,56,80,86,13,26,95,61,17,56,79,69,37,37,49,33,19,58,32,90,98,92,84,49,13,25,79,60,18,56,66,47,60,29,37,23,61,33,31,15,55,73,50,85,45,30,99,41,22,66,36,49,33,54,78,34,33,61,26,80,36,77,23,69,62,74,30,64,19,56,70,82,31,63,93,82,80,52,71,31,30,10,23,54,61,86,76
97,66,35,23,51,64,99,0,25,36,46,91,14,60,65,90,80,66,62,13,97,34,14,42,89,52,54,60,58,77,23,90,12,54,89,31,50,51,35,73,95,31,24,85,71,16,48,40,71,75,18,46,92,77,66,66,62,85,16,11,94,80,56,50,35,19,89,97,91,31,39,50,29,21,89,35,67,53,86,10,82,84,88,87,36,30,15,90,10,85,58,68,46,51,24,99,60,56,17,86,61,10,48,94,14,13,85,34,29,50,36,82,18,52,99,10,98,91,94,50,97
73,20,44,96,15,94,14,25,0,95,37,12,24,54,56,29,16,60,65,73,85,48,39,91,56,75,89,67,16,38,40,43,54,70,53,87,28,88,53,74,55,99,41,70,16,20,67,25,92,83,76,48,29,55,81,58,73,18,18,83,79,71,20,16,61,96,53,75,92,96,10,58,74,87,80,68,42,41,30,65,11,54,34,90,52,25,66,41,26,53,75,50,96,88,96,94,69,50,58,51,75,80,84,65,36,70,63,79,78,42,98,49,73,52,10,23,59,10,43,17,73
