76
0,2,1,3,3,1,3,3,1,3,2,4,4,4,2,2,2,4,2,4,4,1,4,4,3,4,4,1,1,3,2,2,4,3,4,3,4,3,2,1,4,1,3,2,4,2,2,1,3,1,4,2,4,3,2,4,2,3,4,4,2,3,1,3,3,3,4,4,1,2,2,3,1,1,4,1,2,0
0,53,66,97,46,20,68,85,22,80,35,61,63,97,83,24,53,15,54,21,35,34,51,60,66,21,27,95,25,34,40,22,12,32,86,43,28,79,28,10,28,75,81,57,47,76,55,83,76,21,47,61,17,72,82,64,25,35,48,93,48,90,59,38,99,29,80,35,61,68,52,59,88,52,37,47,89,0
53,0,89,77,13,24,61,94,23,95,89,12,20,100,75,42,13,23,30,68,92,79,66,94,54,99,12,84,20,53,84,97,36,38,89,87,91,69,63,11,71,54,43,21,71,46,61,59,13,73,12,92,68,33,75,21,53,82,80,56,39,74,28,11,51,34,39,34,60,68,90,93,71,22,97,75,95,53
66,89,0,15,88,79,48,72,30,68,77,30,71,39,57,90,94,22,39,37,14,34,97,68,18,34,76,34,15,98,30,59,36,19,54,66,49,17,23,28,90,24,82,57,78,93,64,32,34,15,58,63,89,50,55,17,59,38,95,89,30,28,74,80,62,58,94,43,47,38,44,21,66,52,76,14,12,66
97,77,15,0,40,70,16,69,52,86,80,63,87,57,82,77,29,89,68,36,90,60,60,38,11,78,28,39,32,68,64,12,70,85,94,76,56,71,92,46,86,88,93,92,21,88,57,18,53,29,75,56,18,99,10,38,100,66,46,74,44,35,34,49,30,51,22,64,40,70,90,89,89,12,26,66,14,97
46,13,88,40,0,54,67,51,40,98,78,50,37,50,71,66,77,32,100,11,31,68,66,62,38,65,84,29,21,73,83,55,76,70,37,31,22,80,96,71,64,40,93,70,71,43,52,60,95,53,32,54,35,87,44,27,79,79,59,22,71,80,45,29,34,80,10,67,86,71,94,88,59,41,95,25,52,46
20,24,79,70,54,0,31,51,46,63,88,75,66,22,46,34,69,79,85,30,11,32,80,96,37,12,49,21,88,18,73,95,100,79,89,78,82,98,70,91,11,82,87,80,81,18,36,64,58,98,85,15,89,54,94,62,29,96,69,61,86,55,12,23,75,35,34,94,59,87,46,47,88,45,27,28,30,20
68,61,48,16,67,31,0,74,46,52,98,50,20,32,88,60,19,72,87,10,55,92,64,86,83,96,26,53,22,25,27,11,89,50,52,88,49,100,87,15,12,22,24,15,59,79,56,88,11,44,26,52,94,76,70,64,68,92,15,80,98,60,35,95,39,60,79,21,75,92,73,59,59,18,31,42,57,68
85,94,72,69,51,51,74,0,86,13,75,39,23,31,63,60,44,51,80,52,82,32,97,98,56,46,67,93,80,40,100,96,77,61,75,100,54,47,38,13,41,42,84,13,89,44,94,61,33,18,94,83,59,38,53,63,91,36,29,48,23,69,82,12,64,63,19,48,76,23,96,24,94,78,59,20,95,85
22,23,30,52,40,46,46,86,0,45,31,43,76,82,77,82,11,100,42,37,59,100,28,10,71,37,81,65,94,40,67,78,81,97,65,32,44,72,91,43,98,36,79,69,14,49,14,83,57,67,99,67,73,14,26,50,84,93,98,91,70,23,12,27,57,66,22,11,69,30,42,84,10,50,71,42,16,22
