31
0,2,4,2,1,4,2,4,2,3,4,4,4,1,3,4,4,3,4,2,4,1,3,1,1,4,1,1,4,3,2,4,0
0,77,60,28,40,64,41,12,80,88,53,75,32,69,64,92,41,73,89,55,33,92,76,89,20,99,81,41,18,63,90,21,0
77,0,19,77,81,33,42,50,75,78,45,99,17,75,25,98,32,95,33,100,85,62,14,62,83,43,95,72,33,75,63,57,77
60,19,0,29,28,18,68,28,50,100,18,23,66,98,13,30,75,38,60,75,54,92,39,28,82,96,88,36,56,56,73,30,60
28,77,29,0,90,65,11,50,21,69,37,55,78,10,49,31,100,35,19,33,61,63,100,50,61,59,85,55,32,77,32,20,28
40,81,28,90,0,10,21,58,52,85,56,19,47,59,100,68,93,30,56,51,19,92,55,39,10,29,85,38,94,25,12,19,40
64,33,18,65,10,0,65,54,26,38,19,92,14,22,32,12,62,20,69,94,69,29,17,46,13,26,53,76,72,52,14,66,64
41,42,68,11,21,65,0,62,21,58,25,81,57,54,85,96,51,80,92,18,66,67,66,19,61,58,29,96,61,86,62,69,41
12,50,28,50,58,54,62,0,93,86,42,62,85,86,68,31,67,76,95,28,32,23,96,75,36,86,97,30,84,83,76,49,12
80,75,50,21,52,26,21,93,0,61,82,33,43,95,11,20,91,47,45,83,46,10,67,89,47,89,33,46,76,96,93,48,80
88,78,100,69,85,38,58,86,61,0,41,20,58,22,32,64,54,59,83,62,58,62,74,37,94,43,98,25,23,11,90,34,88
53,45,18,37,56,19,25,42,82,41,0,58,82,71,41,24,52,74,20,47,63,82,78,79,15,87,91,77,39,78,77,37,53
75,99,23,55,19,92,81,62,33,20,58,0,28,26,57,99,43,45,15,15,56,88,71,98,82,56,70,96,14,75,51,85,75
32,17,66,78,47,14,57,85,43,58,82,28,0,87,83,45,52,54,34,12,94,60,17,54,21,38,68,57,93,90,65,61,32
69,75,98,10,59,22,54,86,95,22,71,26,87,0,84,70,28,95,73,60,73,83,64,26,16,31,76,37,14,17,35,31,69
64,25,13,49,100,32,85,68,11,32,41,57,83,84,0,38,22,76,22,76,86,13,89,85,91,17,19,59,16,21,16,65,64
92,98,30,31,68,12,96,31,20,64,24,99,45,70,38,0,91,47,92,52,91,51,23,15,42,64,57,39,32,53,84,88,92
41,32,75,100,93,62,51,67,91,54,52,43,52,28,22,91,0,82,96,13,30,36,82,17,74,68,28,24,32,71,28,19,41
73,95,38,35,30,20,80,76,47,59,74,45,54,95,76,47,82,0,39,53,43,20,78,11,90,34,85,42,87,80,88,21,73
89,33,60,19,56,69,92,95,45,83,20,15,34,73,22,92,96,39,0,29,42,22,24,68,70,16,54,24,52,86,80,84,89
55,100,75,33,51,94,18,28,83,62,47,15,12,60,76,52,13,53,29,0,57,27,85,52,54,95,60,95,23,62,76,77,55
33,85,54,61,19,69,66,32,46,58,63,56,94,73,86,91,30,43,42,57,0,70,37,29,79,78,27,96,87,69,24,47,33
92,62,92,63,92,29,67,23,10,62,82,88,60,83,13,51,36,20,22,27,70,0,66,95,55,12,14,12,43,11,49,77,92
76,14,39,100,55,17,66,96,67,74,78,71,17,64,89,23,82,78,24,85,37,66,0,14,32,96,11,43,86,99,72,20,76
89,62,28,50,39,46,19,75,89,37,79,98,54,26,85,15,17,11,68,52,29,95,14,0,95,99,99,87,31,25,93,67,89
20,83,82,61,10,13,61,36,47,94,15,82,21,16,91,42,74,90,70,54,79,55,32,95,0,73,67,51,94,29,14,16,20
99,43,96,59,29,26,58,86,89,43,87,56,38,31,17,64,68,34,16,95,78,12,96,99,73,0,44,39,39,91,91,66,99
81,95,88,85,85,53,29,97,33,98,91,70,68,76,19,57,28,85,54,60,27,14,11,99,67,44,0,96,43,67,26,29,81
41,72,36,55,38,76,96,30,46,25,77,96,57,37,59,39,24,42,24,95,96,12,43,87,51,39,96,0,22,85,26,51,41
18,33,56,32,94,72,61,84,76,23,39,14,93,14,16,32,32,87,52,23,87,43,86,31,94,39,43,22,0,94,51,92,18
63,75,56,77,25,52,86,83,96,11,78,75,90,17,21,53,71,80,86,62,69,11,99,25,29,91,67,85,94,0,36,74,63
90,63,73,32,12,14,62,76,93,90,77,51,65,35,16,84,28,88,80,76,24,49,72,93,14,91,26,26,51,36,0,20,90
21,57,30,20,19,66,69,49,48,34,37,85,61,31,65,88,19,21,84,77,47,77,20,67,16,66,29,51,92,74,20,0,21
0,77,60,28,40,64,41,12,80,88,53,75,32,69,64,92,41,73,89,55,33,92,76,89,20,99,81,41,18,63,90,21,0
