16
0,4,4,1,2,2,1,3,4,1,1,4,1,2,4,1,1,0
0,19,48,25,31,10,28,84,42,41,15,32,10,93,19,65,100,0
19,0,38,43,59,59,56,16,19,64,81,63,99,88,46,58,88,19
48,38,0,75,71,86,80,54,58,59,94,83,61,63,14,62,68,48
25,43,75,0,98,20,44,80,85,50,84,31,92,96,36,41,33,25
31,59,71,98,0,62,41,39,62,87,55,23,20,75,46,25,53,31
10,59,86,20,62,0,57,27,27,54,46,15,68,67,12,56,88,10
28,56,80,44,41,57,0,78,97,100,73,29,11,34,31,68,82,28
84,16,54,80,39,27,78,0,37,54,43,15,82,45,69,99,28,84
42,19,58,85,62,27,97,37,0,92,86,49,24,55,97,68,30,42
41,64,59,50,87,54,100,54,92,0,57,18,39,20,96,80,10,41
15,81,94,84,55,46,73,43,86,57,0,95,36,35,70,57,71,15
32,63,83,31,23,15,29,15,49,18,95,0,43,85,85,12,77,32
10,99,61,92,20,68,11,82,24,39,36,43,0,41,42,89,26,10
93,88,63,96,75,67,34,45,55,20,35,85,41,0,37,45,30,93
19,46,14,36,46,12,31,69,97,96,70,85,42,37,0,36,93,19
65,58,62,41,25,56,68,99,68,80,57,12,89,45,36,0,29,65
100,88,68,33,53,88,82,28,30,10,71,77,26,30,93,29,0,100
0,19,48,25,31,10,28,84,42,41,15,32,10,93,19,65,100,0
