100
0,4,1,1,4,2,4,3,2,3,4,3,3,4,1,4,1,4,3,3,1,2,4,2,2,1,1,2,4,4,2,2,1,2,3,2,1,4,4,3,3,1,4,3,4,2,4,3,3,1,3,3,4,2,2,4,3,2,1,3,1,3,1,1,3,4,2,1,4,3,3,1,2,1,2,4,1,4,2,2,3,1,1,1,3,2,2,2,1,1,4,3,1,1,4,4,4,4,2,3,3,0
0,30,77,79,69,14,24,22,44,49,37,85,87,32,74,42,54,15,67,52,80,47,57,64,98,92,60,95,68,65,94,39,24,62,27,89,97,40,85,80,65,89,23,53,47,43,14,46,30,19,14,53,54,39,92,100,19,69,48,68,93,62,51,76,49,87,11,58,49,97,38,28,55,44,20,45,60,70,19,50,94,80,55,38,50,35,15,53,28,24,83,65,29,47,31,68,78,90,85,83,62,0
30,0,50,46,50,31,12,54,72,47,69,12,66,98,82,47,92,57,39,35,69,70,99,68,62,62,36,17,91,94,38,61,24,48,74,71,54,37,38,34,52,56,74,42,96,95,87,85,82,42,12,38,88,28,29,36,83,43,54,94,78,22,96,12,93,34,22,44,91,64,94,48,76,20,37,96,68,49,77,35,88,79,50,74,74,74,100,32,31,23,49,48,98,88,90,55,21,51,23,69,44,30
77,50,0,94,37,71,16,21,17,38,21,22,79,53,34,55,42,87,87,33,88,17,13,48,43,31,95,58,10,45,98,74,39,16,100,33,30,86,75,97,13,17,77,47,60,67,30,69,85,63,100,67,97,55,83,94,77,81,53,25,54,67,59,54,58,77,89,74,22,29,85,21,72,60,91,54,15,82,11,77,62,39,44,16,89,93,17,84,87,54,42,34,60,36,88,86,95,21,49,20,30,77
79,46,94,0,98,63,88,71,11,16,72,96,100,60,62,42,52,26,27,36,90,74,65,62,83,52,34,69,79,33,77,14,86,28,89,19,67,71,62,69,14,50,66,49,69,95,32,69,87,83,67,74,10,67,19,65,26,20,94,37,73,30,11,46,75,19,38,93,87,72,45,52,76,79,15,29,34,48,64,58,57,81,79,26,45,46,82,28,11,100,75,54,16,67,13,82,83,14,49,31,90,79
69,50,37,98,0,33,87,68,22,91,11,57,81,98,55,68,52,47,85,22,21,86,28,54,34,97,97,74,25,15,40,66,45,56,20,67,20,96,49,15,19,45,69,15,33,47,46,63,94,75,19,83,75,72,93,64,11,61,52,12,30,13,21,91,46,37,23,27,66,27,40,39,32,80,85,67,80,56,93,83,69,95,33,13,35,82,62,35,10,21,23,84,19,63,17,73,21,32,65,16,68,69
14,31,71,63,33,0,41,82,34,39,62,48,36,23,64,71,69,28,68,26,25,74,32,40,73,18,27,77,71,95,26,44,72,81,64,49,10,45,33,50,22,50,61,81,27,65,27,73,33,91,22,40,36,94,60,24,15,36,31,62,68,91,15,22,96,29,67,81,22,15,37,87,43,70,62,26,55,20,97,17,35,73,51,49,25,93,24,85,53,43,89,84,73,38,83,89,66,36,75,13,51,14
24,12,16,88,87,41,0,23,81,73,40,74,27,50,22,10,67,10,26,78,75,99,93,62,35,80,65,67,86,45,40,51,76,27,24,87,28,87,79,68,80,17,34,93,88,99,69,55,39,98,79,30,31,30,76,38,51,27,61,17,45,39,88,53,16,40,41,17,26,39,75,36,63,39,52,65,100,76,90,16,52,57,88,32,10,15,84,56,86,57,60,82,17,98,20,40,17,10,99,54,20,24
22,54,21,71,68,82,23,0,14,57,83,49,12,55,90,87,62,97,55,65,16,93,92,51,64,31,69,37,52,85,19,68,76,54,99,81,59,20,81,69,58,82,14,17,81,45,71,91,21,92,41,79,57,51,62,29,68,26,94,94,53,45,59,69,32,54,45,37,81,42,19,45,12,16,46,20,16,40,72,63,14,60,100,20,38,93,30,76,48,81,96,64,92,26,56,86,88,42,61,41,80,22
44,72,17,11,22,34,81,14,0,55,86,94,69,14,98,92,95,85,62,79,63,92,45,30,35,95,14,39,47,51,28,81,41,45,17,43,20,89,68,99,76,94,44,22,29,91,24,81,61,23,99,78,100,68,82,99,24,48,34,64,23,85,17,32,56,53,35,69,14,94,90,44,11,77,77,49,29,39,63,100,99,24,58,59,11,86,46,15,94,44,80,22,17,41,84,81,18,27,25,50,90,44
49,47,38,16,91,39,73,57,55,0,77,48,55,53,69,31,85,62,93,97,90,36,91,10,59,30,51,50,44,68,84,71,94,68,39,76,27,22,56,15,40,95,33,77,49,29,66,58,27,10,14,36,37,86,67,74,40,73,34,18,39,76,11,20,26,53,19,71,12,58,67,73,74,85,20,97,92,54,93,27,40,30,72,96,32,15,14,95,35,100,32,30,11,49,88,14,49,91,48,13,35,49
