14
0,3,2,4,4,2,4,1,3,1,2,1,3,1,1,0
0,39,26,71,76,77,27,67,39,21,75,31,98,44,10,0
39,0,46,96,88,29,64,14,78,60,53,61,24,24,37,39
26,46,0,97,79,39,19,90,90,72,81,65,59,100,17,26
71,96,97,0,81,38,31,17,78,32,39,76,63,54,60,71
76,88,79,81,0,15,37,23,40,96,50,78,50,90,37,76
77,29,39,38,15,0,72,20,89,88,18,10,30,62,11,77
27,64,19,31,37,72,0,16,20,81,34,22,87,53,26,27
67,14,90,17,23,20,16,0,50,56,62,98,24,95,100,67
39,78,90,78,40,89,20,50,0,42,38,42,45,76,63,39
21,60,72,32,96,88,81,56,42,0,99,19,87,53,92,21
75,53,81,39,50,18,34,62,38,99,0,99,78,29,65,75
31,61,65,76,78,10,22,98,42,19,99,0,94,88,47,31
98,24,59,63,50,30,87,24,45,87,78,94,0,53,40,98
44,24,100,54,90,62,53,95,76,53,29,88,53,0,16,44
10,37,17,60,37,11,26,100,63,92,65,47,40,16,0,10
0,39,26,71,76,77,27,67,39,21,75,31,98,44,10,0
