38
0,1,2,4,4,3,4,2,1,4,3,4,3,2,3,4,4,1,4,1,3,4,2,3,1,1,2,1,3,3,1,4,2,2,1,2,2,4,3,0
0,29,10,72,30,63,72,44,34,15,53,71,42,60,36,13,15,44,73,16,25,40,53,19,61,53,82,56,19,51,81,59,67,43,24,34,69,12,26,0
29,0,85,11,79,63,17,32,86,71,12,74,80,41,49,47,20,83,68,26,64,78,62,20,26,21,34,23,27,90,58,53,14,23,81,36,10,35,78,29
10,85,0,18,42,56,11,62,48,61,78,27,84,69,34,19,48,100,100,89,89,13,57,94,53,16,81,63,65,20,86,47,93,34,46,92,30,91,59,10
72,11,18,0,83,15,58,73,29,42,100,57,14,23,63,30,17,85,23,60,100,11,15,58,53,91,71,63,33,41,34,54,25,83,88,90,81,88,47,72
30,79,42,83,0,71,29,19,64,33,48,51,89,97,78,80,91,28,45,48,32,30,25,99,18,53,19,40,73,86,43,19,35,36,88,15,69,33,59,30
63,63,56,15,71,0,63,99,30,86,14,73,71,44,95,97,98,95,86,34,92,70,72,48,31,48,44,75,66,21,25,23,67,78,23,32,96,14,90,63
72,17,11,58,29,63,0,29,88,51,50,72,20,34,98,51,99,26,53,57,47,69,59,86,46,49,92,50,95,11,33,59,17,51,57,54,33,79,98,72
44,32,62,73,19,99,29,0,33,85,45,22,98,38,23,92,38,41,18,39,80,34,55,43,75,77,58,55,54,97,63,21,78,68,96,92,57,56,74,44
34,86,48,29,64,30,88,33,0,50,92,21,47,82,24,65,32,22,97,14,85,58,56,24,96,44,70,99,27,97,47,81,65,24,63,47,69,45,62,34
15,71,61,42,33,86,51,85,50,0,51,96,16,18,31,100,10,85,57,77,48,35,66,78,33,30,37,97,55,11,37,35,51,37,82,48,93,33,26,15
53,12,78,100,48,14,50,45,92,51,0,81,65,42,66,84,61,14,73,68,83,18,81,25,77,83,16,41,54,31,59,95,50,85,24,23,69,67,64,53
71,74,27,57,51,73,72,22,21,96,81,0,26,34,15,57,61,19,16,60,53,76,34,10,81,41,29,53,66,50,75,100,16,47,11,98,89,93,84,71
42,80,84,14,89,71,20,98,47,16,65,26,0,42,14,74,84,14,60,34,91,65,26,78,68,61,47,99,60,86,24,70,29,95,90,42,22,55,52,42
60,41,69,23,97,44,34,38,82,18,42,34,42,0,98,15,13,91,92,70,65,94,66,37,29,25,62,33,69,45,12,78,62,92,70,41,41,77,20,60
36,49,34,63,78,95,98,23,24,31,66,15,14,98,0,95,25,24,70,75,82,94,27,38,83,98,73,87,52,94,39,35,78,50,21,46,97,50,55,36
13,47,19,30,80,97,51,92,65,100,84,57,74,15,95,0,11,45,57,13,89,70,68,67,79,15,15,74,87,10,55,15,43,86,58,18,84,99,56,13
15,20,48,17,91,98,99,38,32,10,61,61,84,13,25,11,0,19,66,16,19,57,91,77,14,82,99,47,57,90,58,59,52,11,12,60,74,52,57,15
44,83,100,85,28,95,26,41,22,85,14,19,14,91,24,45,19,0,98,53,43,32,81,31,61,99,72,15,22,11,46,43,49,75,41,45,18,59,91,44
73,68,100,23,45,86,53,18,97,57,73,16,60,92,70,57,66,98,0,55,84,59,19,76,58,41,71,34,55,84,80,59,32,44,44,15,84,84,88,73
16,26,89,60,48,34,57,39,14,77,68,60,34,70,75,13,16,53,55,0,24,63,97,60,27,26,25,67,56,49,63,48,75,22,26,98,86,62,48,16
25,64,89,100,32,92,47,80,85,48,83,53,91,65,82,89,19,43,84,24,0,62,69,54,67,29,94,59,82,35,77,26,86,95,73,80,78,94,98,25
40,78,13,11,30,70,69,34,58,35,18,76,65,94,94,70,57,32,59,63,62,0,24,57,82,53,90,79,61,65,44,84,75,99,69,21,16,67,93,40
53,62,57,15,25,72,59,55,56,66,81,34,26,66,27,68,91,81,19,97,69,24,0,19,39,21,52,16,30,89,18,11,83,64,54,62,85,77,35,53
19,20,94,58,99,48,86,43,24,78,25,10,78,37,38,67,77,31,76,60,54,57,19,0,52,71,71,59,93,82,34,92,20,74,81,18,37,46,66,19
61,26,53,53,18,31,46,75,96,33,77,81,68,29,83,79,14,61,58,27,67,82,39,52,0,74,53,76,17,76,32,70,40,59,13,57,81,36,91,61
53,21,16,91,53,48,49,77,44,30,83,41,61,25,98,15,82,99,41,26,29,53,21,71,74,0,27,14,49,83,83,66,39,20,16,79,29,58,40,53
82,34,81,71,19,44,92,58,70,37,16,29,47,62,73,15,99,72,71,25,94,90,52,71,53,27,0,57,79,26,92,51,67,35,22,66,53,16,83,82
56,23,63,63,40,75,50,55,99,97,41,53,99,33,87,74,47,15,34,67,59,79,16,59,76,14,57,0,75,90,88,17,56,35,55,36,89,41,43,56
19,27,65,33,73,66,95,54,27,55,54,66,60,69,52,87,57,22,55,56,82,61,30,93,17,49,79,75,0,26,26,61,64,39,68,14,41,16,70,19
51,90,20,41,86,21,11,97,97,11,31,50,86,45,94,10,90,11,84,49,35,65,89,82,76,83,26,90,26,0,40,47,84,84,100,57,37,76,66,51
81,58,86,34,43,25,33,63,47,37,59,75,24,12,39,55,58,46,80,63,77,44,18,34,32,83,92,88,26,40,0,81,77,95,36,85,33,99,100,81
59,53,47,54,19,23,59,21,81,35,95,100,70,78,35,15,59,43,59,48,26,84,11,92,70,66,51,17,61,47,81,0,94,73,90,69,74,15,88,59
67,14,93,25,35,67,17,78,65,51,50,16,29,62,78,43,52,49,32,75,86,75,83,20,40,39,67,56,64,84,77,94,0,47,77,91,100,32,75,67
43,23,34,83,36,78,51,68,24,37,85,47,95,92,50,86,11,75,44,22,95,99,64,74,59,20,35,35,39,84,95,73,47,0,41,56,72,99,38,43
