78
0,4,2,4,3,1,2,4,2,2,4,3,4,1,4,2,3,3,2,4,3,2,1,2,4,3,4,2,3,3,3,4,1,4,3,4,3,4,3,2,2,3,1,4,4,3,2,1,4,4,1,2,2,1,4,2,4,4,1,2,3,3,3,3,1,4,2,2,2,3,2,3,2,4,2,4,1,3,4,0
0,86,23,60,39,80,21,43,59,30,57,17,56,88,49,90,35,80,86,74,55,75,75,73,75,11,23,20,97,76,85,74,64,80,35,74,65,99,15,75,15,46,64,19,24,86,85,29,11,21,42,79,13,80,63,88,98,54,27,81,12,45,15,39,85,54,87,76,19,42,14,17,85,25,69,13,37,91,29,0
86,0,91,12,31,98,67,85,15,74,99,39,22,78,50,72,33,84,42,97,65,73,56,84,32,93,40,90,34,19,16,68,37,13,12,54,59,34,38,37,36,43,92,22,69,70,91,67,24,36,85,95,83,31,35,10,63,72,27,30,35,30,72,86,98,18,41,31,24,26,35,83,63,29,80,39,86,67,60,86
23,91,0,37,99,98,38,28,13,10,81,48,62,74,69,45,12,41,76,81,95,16,85,62,45,63,24,84,95,35,37,37,40,19,11,57,22,75,97,21,96,33,53,45,42,99,18,49,41,45,26,73,28,21,97,65,37,64,73,38,23,12,10,43,49,26,87,35,51,27,48,89,100,55,16,89,89,49,93,23
60,12,37,0,71,54,87,20,40,43,76,19,47,34,10,13,19,72,59,68,42,43,82,35,43,33,38,19,97,37,15,88,42,32,54,27,51,27,60,13,37,62,90,98,10,57,16,72,18,22,80,96,59,13,73,72,99,15,93,98,67,99,46,48,95,65,33,77,59,83,72,66,35,82,87,100,74,76,33,60
39,31,99,71,0,17,76,57,92,74,93,88,37,26,32,59,19,14,94,46,72,78,65,63,94,48,58,69,61,46,43,27,41,68,89,61,12,100,11,26,42,53,55,69,91,30,51,77,80,91,75,42,85,71,17,81,25,56,24,58,64,77,15,19,28,23,96,55,54,93,16,96,92,25,72,83,86,100,70,39
80,98,98,54,17,0,82,76,85,63,23,29,11,56,20,72,89,63,85,57,24,44,61,17,29,24,69,33,93,50,72,33,47,84,51,80,68,24,87,87,95,15,97,25,52,38,23,76,94,96,26,59,15,76,81,37,41,43,44,95,46,12,98,86,31,48,59,19,73,93,20,48,28,71,50,43,76,69,21,80
21,67,38,87,76,82,0,85,45,37,71,96,98,87,18,82,48,28,33,41,22,55,75,87,90,10,81,32,44,50,70,45,82,22,27,71,49,90,46,91,84,72,75,33,18,49,65,79,80,62,77,12,30,42,85,20,33,27,55,39,71,48,16,59,38,76,48,72,96,87,10,11,11,24,20,74,31,94,34,21
43,85,28,20,57,76,85,0,97,82,49,52,33,39,22,60,70,75,33,71,27,57,22,38,22,57,14,35,79,26,94,32,35,94,87,37,76,75,17,52,99,89,14,34,27,49,79,96,83,31,96,97,90,88,57,32,39,53,95,11,29,57,61,55,12,21,49,36,41,17,93,25,60,72,40,25,96,78,50,43
59,15,13,40,92,85,45,97,0,89,96,21,24,60,69,92,84,90,16,48,31,77,78,68,50,49,94,58,36,88,77,82,68,49,85,77,29,37,82,98,23,38,18,52,77,69,22,29,39,23,36,79,16,21,46,78,73,95,49,90,74,88,91,75,91,71,12,25,95,47,43,92,67,36,55,13,41,98,35,59
30,74,10,43,74,63,37,82,89,0,64,44,42,21,71,77,28,75,10,82,51,64,15,58,90,47,71,83,19,20,98,92,16,35,83,92,68,48,17,93,55,56,13,66,10,98,82,12,34,41,91,52,42,28,73,54,42,22,58,98,31,22,93,91,64,64,77,36,86,35,100,10,93,63,98,47,67,75,26,30
57,99,81,76,93,23,71,49,96,64,0,16,98,74,59,43,58,15,23,61,10,21,92,24,80,40,32,16,34,72,28,45,72,40,72,19,39,71,86,13,59,24,44,95,82,29,87,96,55,10,85,32,33,20,65,58,76,56,25,17,56,98,58,86,11,84,77,98,23,20,28,49,87,36,10,58,26,36,97,57
17,39,48,19,88,29,96,52,21,44,16,0,15,39,47,75,81,20,25,32,94,43,26,17,10,14,73,14,87,38,28,74,47,75,78,95,24,98,31,33,90,100,34,27,72,98,18,99,96,19,27,60,66,17,87,78,20,47,81,90,88,38,60,32,36,87,35,14,43,51,56,74,98,70,92,51,24,66,11,17
