14
0,4,3,2,2,3,3,4,4,2,2,3,3,3,3,0
0,27,72,73,60,28,84,15,100,60,40,78,99,33,29,0
27,0,40,77,39,28,88,78,47,91,45,66,19,26,77,27
72,40,0,75,28,64,72,50,70,62,82,70,48,94,29,72
73,77,75,0,53,53,69,40,83,55,52,35,27,31,30,73
60,39,28,53,0,46,14,78,46,61,38,47,97,23,88,60
28,28,64,53,46,0,64,12,41,46,55,19,97,72,74,28
84,88,72,69,14,64,0,29,52,13,39,43,98,40,81,84
15,78,50,40,78,12,29,0,20,67,76,77,55,82,78,15
100,47,70,83,46,41,52,20,0,34,18,54,82,17,66,100
60,91,62,55,61,46,13,67,34,0,85,53,52,53,32,60
40,45,82,52,38,55,39,76,18,85,0,39,28,86,63,40
78,66,70,35,47,19,43,77,54,53,39,0,60,32,75,78
99,19,48,27,97,97,98,55,82,52,28,60,0,22,59,99
33,26,94,31,23,72,40,82,17,53,86,32,22,0,70,33
29,77,29,30,88,74,81,78,66,32,63,75,59,70,0,29
0,27,72,73,60,28,84,15,100,60,40,78,99,33,29,0
