15
0,2,1,2,1,2,4,4,4,2,2,4,2,3,4,4,0
0,11,46,100,33,36,95,81,76,51,54,13,81,81,80,71,0
11,0,50,72,87,37,51,58,24,29,96,32,42,54,96,41,11
46,50,0,63,16,32,90,22,22,93,59,77,50,21,21,70,46
100,72,63,0,30,33,29,75,38,67,86,49,19,45,43,93,100
33,87,16,30,0,37,17,69,81,86,63,44,26,56,25,79,33
36,37,32,33,37,0,80,15,68,81,74,32,31,15,39,23,36
95,51,90,29,17,80,0,100,61,97,19,13,64,10,98,69,95
81,58,22,75,69,15,100,0,100,50,95,63,54,13,42,26,81
76,24,22,38,81,68,61,100,0,18,45,87,24,16,46,99,76
51,29,93,67,86,81,97,50,18,0,91,20,87,68,41,76,51
54,96,59,86,63,74,19,95,45,91,0,68,84,98,22,95,54
13,32,77,49,44,32,13,63,87,20,68,0,21,22,76,81,13
81,42,50,19,26,31,64,54,24,87,84,21,0,46,14,70,81
81,54,21,45,56,15,10,13,16,68,98,22,46,0,83,82,81
80,96,21,43,25,39,98,42,46,41,22,76,14,83,0,47,80
71,41,70,93,79,23,69,26,99,76,95,81,70,82,47,0,71
0,11,46,100,33,36,95,81,76,51,54,13,81,81,80,71,0
