50
0,4,2,4,3,2,3,4,4,2,2,2,4,3,2,1,1,3,2,4,2,1,4,1,1,4,1,3,2,3,2,3,3,2,1,1,4,1,2,2,4,4,3,4,2,4,4,3,3,3,1,0
0,18,18,58,55,75,67,19,14,75,60,29,69,35,62,61,90,31,36,65,69,12,23,88,74,79,98,46,53,82,45,34,78,17,66,27,74,69,40,69,10,81,93,25,73,36,91,100,32,92,69,0
18,0,42,46,82,93,35,17,55,71,96,25,57,93,10,33,68,12,79,70,67,92,68,72,29,45,94,41,42,11,17,60,79,46,77,37,42,90,35,13,98,56,22,10,23,16,51,48,89,99,71,18
18,42,0,64,91,31,83,75,55,89,38,72,66,63,38,89,62,78,26,85,11,13,23,80,21,86,75,98,31,85,75,88,17,77,71,49,92,16,13,60,27,35,65,45,37,64,44,35,54,97,13,18
58,46,64,0,30,78,74,49,62,90,72,36,45,96,60,18,18,14,22,45,56,11,51,30,44,10,64,18,14,29,27,55,16,76,11,11,72,92,40,27,10,87,13,48,66,37,71,76,31,41,77,58
55,82,91,30,0,68,74,43,73,81,87,55,80,76,15,87,76,50,54,88,63,35,18,69,10,32,10,84,97,52,46,23,43,86,80,53,44,28,30,11,97,22,17,14,84,56,36,26,23,28,51,55
75,93,31,78,68,0,16,16,63,83,63,35,22,29,10,93,64,66,80,27,60,47,38,17,44,22,17,70,10,42,67,47,60,68,34,19,53,76,42,34,27,75,88,73,55,79,84,30,43,29,47,75
67,35,83,74,74,16,0,11,55,24,21,53,76,80,44,71,68,66,54,100,64,20,58,60,26,89,77,81,61,62,27,84,43,13,15,52,83,23,36,99,75,81,61,76,60,50,57,77,26,68,66,67
19,17,75,49,43,16,11,0,17,61,17,16,94,83,55,19,63,58,26,92,57,28,85,65,63,69,57,14,58,23,55,94,58,83,36,66,51,33,89,77,46,69,40,96,60,36,55,84,46,68,54,19
14,55,55,62,73,63,55,17,0,84,26,90,47,58,93,79,76,87,47,10,86,50,72,99,98,64,10,32,20,23,19,93,30,67,25,99,37,47,99,70,57,19,61,71,40,15,63,71,69,60,74,14
75,71,89,90,81,83,24,61,84,0,22,96,100,79,42,75,29,60,76,100,16,48,12,75,21,31,93,38,63,85,40,26,75,51,94,86,65,22,73,81,78,36,98,71,28,33,34,85,70,64,70,75
60,96,38,72,87,63,21,17,26,22,0,11,16,35,73,98,17,91,19,84,53,11,90,19,97,52,12,45,76,83,98,60,79,82,97,15,28,86,13,58,63,25,37,55,69,22,47,67,65,74,21,60
29,25,72,36,55,35,53,16,90,96,11,0,86,53,93,75,89,14,35,11,16,71,93,12,47,63,94,24,21,79,98,59,92,78,11,67,95,86,27,45,79,63,21,38,43,67,65,69,20,85,85,29
69,57,66,45,80,22,76,94,47,100,16,86,0,77,86,17,33,51,58,13,71,39,99,11,13,66,86,13,65,96,92,65,45,62,92,82,98,91,55,33,69,99,54,60,80,10,40,50,100,99,67,69
35,93,63,96,76,29,80,83,58,79,35,53,77,0,50,53,35,36,74,83,69,55,74,56,36,76,63,31,53,43,53,89,70,40,69,83,45,20,94,54,85,14,80,40,89,67,76,44,75,55,87,35
62,10,38,60,15,10,44,55,93,42,73,93,86,50,0,46,19,59,94,93,16,87,62,95,73,47,95,87,60,82,45,75,68,17,61,29,11,22,28,73,58,87,28,46,24,89,89,64,47,73,34,62
61,33,89,18,87,93,71,19,79,75,98,75,17,53,46,0,94,67,79,51,83,13,64,49,92,98,11,28,43,30,32,77,20,95,29,41,70,16,53,35,44,67,96,41,79,97,90,63,99,54,61,61
90,68,62,18,76,64,68,63,76,29,17,89,33,35,19,94,0,91,62,18,92,45,33,90,86,99,47,27,84,91,94,43,16,67,10,26,72,46,29,46,70,38,93,35,73,14,84,35,54,80,39,90
31,12,78,14,50,66,66,58,87,60,91,14,51,36,59,67,91,0,88,48,12,46,89,74,73,50,62,99,74,81,87,35,88,90,15,38,53,37,35,95,22,77,37,80,91,92,49,65,66,18,94,31
36,79,26,22,54,80,54,26,47,76,19,35,58,74,94,79,62,88,0,47,93,37,39,34,74,58,97,23,65,40,78,37,36,95,48,91,93,25,20,57,57,21,72,52,58,30,80,47,34,30,67,36
65,70,85,45,88,27,100,92,10,100,84,11,13,83,93,51,18,48,47,0,81,72,52,24,16,93,72,91,88,86,14,13,33,63,65,19,27,80,13,60,21,71,14,25,89,95,37,75,71,26,88,65
69,67,11,56,63,60,64,57,86,16,53,16,71,69,16,83,92,12,93,81,0,46,52,11,69,65,53,20,93,63,76,72,44,52,36,43,91,18,64,29,19,97,63,71,71,88,21,16,61,89,11,69
12,92,13,11,35,47,20,28,50,48,11,71,39,55,87,13,45,46,37,72,46,0,60,84,68,60,56,68,91,64,75,13,96,25,70,69,85,62,72,36,34,78,46,90,23,48,74,90,93,81,87,12
23,68,23,51,18,38,58,85,72,12,90,93,99,74,62,64,33,89,39,52,52,60,0,95,46,30,69,87,19,88,71,18,38,14,86,68,90,13,44,82,20,59,95,35,37,87,100,16,84,94,90,23
88,72,80,30,69,17,60,65,99,75,19,12,11,56,95,49,90,74,34,24,11,84,95,0,28,26,93,58,50,11,81,63,25,23,32,56,79,76,69,12,88,63,63,54,75,50,52,58,39,41,11,88
74,29,21,44,10,44,26,63,98,21,97,47,13,36,73,92,86,73,74,16,69,68,46,28,0,42,15,77,59,10,70,18,66,44,63,48,42,24,20,25,39,30,25,55,74,20,65,80,84,76,65,74
79,45,86,10,32,22,89,69,64,31,52,63,66,76,47,98,99,50,58,93,65,60,30,26,42,0,28,59,97,73,12,33,69,27,52,28,69,55,47,93,58,45,41,94,83,56,56,56,68,27,41,79
98,94,75,64,10,17,77,57,10,93,12,94,86,63,95,11,47,62,97,72,53,56,69,93,15,28,0,44,74,62,58,46,36,24,44,70,57,41,33,12,15,85,98,91,32,53,88,43,100,78,52,98
46,41,98,18,84,70,81,14,32,38,45,24,13,31,87,28,27,99,23,91,20,68,87,58,77,59,44,0,20,87,14,76,82,90,64,36,16,53,80,32,84,63,44,69,22,26,53,82,17,61,36,46
53,42,31,14,97,10,61,58,20,63,76,21,65,53,60,43,84,74,65,88,93,91,19,50,59,97,74,20,0,67,71,48,91,17,24,37,99,76,95,45,77,73,46,53,94,38,79,46,90,82,47,53
82,11,85,29,52,42,62,23,23,85,83,79,96,43,82,30,91,81,40,86,63,64,88,11,10,73,62,87,67,0,80,19,90,45,82,60,39,63,35,41,35,18,23,97,14,91,36,22,15,30,65,82
