12
0,4,4,3,3,4,1,4,2,2,1,3,1,0
0,79,20,96,84,37,15,92,20,45,90,75,15,0
79,0,93,22,56,20,74,69,78,52,32,38,55,79
20,93,0,76,49,65,41,39,31,20,71,66,10,20
96,22,76,0,48,66,16,51,43,76,48,48,14,96
84,56,49,48,0,48,56,17,62,64,33,86,48,84
37,20,65,66,48,0,97,20,58,85,13,74,36,37
15,74,41,16,56,97,0,83,77,100,23,16,33,15
92,69,39,51,17,20,83,0,23,42,47,67,41,92
20,78,31,43,62,58,77,23,0,36,85,63,32,20
45,52,20,76,64,85,100,42,36,0,35,43,26,45
90,32,71,48,33,13,23,47,85,35,0,81,77,90
75,38,66,48,86,74,16,67,63,43,81,0,62,75
15,55,10,14,48,36,33,41,32,26,77,62,0,15
0,79,20,96,84,37,15,92,20,45,90,75,15,0
