59
0,4,3,1,1,3,4,1,4,3,1,2,4,3,4,4,1,1,4,3,2,3,4,2,3,2,4,2,4,1,3,3,1,4,4,4,1,4,2,3,2,3,1,3,4,1,1,3,4,4,4,3,3,3,3,4,1,1,1,1,0
0,89,11,39,20,53,61,67,19,57,85,65,79,25,69,23,53,49,26,83,96,80,33,18,78,65,40,39,75,32,29,12,48,44,96,15,20,89,41,98,77,97,66,49,87,55,34,11,31,82,48,59,53,66,73,98,65,80,72,76,0
89,0,39,13,69,83,18,65,97,69,88,31,38,44,17,31,18,56,32,83,46,18,40,21,12,17,66,87,97,40,55,21,16,52,16,62,67,99,38,27,68,36,38,45,36,68,25,37,35,85,59,80,46,28,58,74,55,33,53,17,89
11,39,0,61,58,52,71,42,40,63,86,14,60,71,23,79,75,90,100,93,49,21,28,23,45,24,43,20,67,42,83,42,36,76,49,60,34,91,23,55,57,61,56,24,12,17,80,29,70,40,19,18,95,73,63,66,29,48,57,36,11
39,13,61,0,74,34,21,13,80,81,54,58,15,72,69,77,81,48,78,86,93,26,65,12,25,59,30,49,84,96,38,85,75,24,40,14,80,28,70,80,69,37,74,23,55,74,49,51,65,61,21,92,10,72,81,55,41,31,64,24,39
20,69,58,74,0,55,62,45,78,82,55,64,57,92,54,26,83,92,13,83,100,91,71,56,57,29,56,20,95,29,47,98,63,97,98,16,36,56,12,69,97,35,57,42,28,72,34,61,27,85,93,45,37,64,95,46,14,70,74,24,20
53,83,52,34,55,0,86,94,78,62,32,16,29,20,66,97,16,16,89,88,98,12,83,58,71,41,94,62,13,42,26,79,51,54,57,37,81,30,55,31,43,14,93,67,75,31,29,61,32,86,37,89,21,89,41,42,67,25,50,43,53
61,18,71,21,62,86,0,68,19,77,59,95,61,47,80,52,62,22,35,43,61,79,50,88,41,66,59,45,41,73,72,37,28,58,61,10,64,40,25,98,29,22,98,76,43,39,26,76,10,100,59,34,83,78,26,85,48,89,85,10,61
67,65,42,13,45,94,68,0,65,37,72,76,88,27,12,19,49,52,32,43,63,54,55,63,33,43,30,100,26,58,65,29,14,53,38,66,19,64,29,96,99,12,72,51,67,63,66,76,95,60,64,50,17,71,14,42,50,59,95,99,67
19,97,40,80,78,78,19,65,0,64,95,48,17,77,12,42,33,99,94,100,100,72,87,51,34,18,28,64,59,73,86,80,81,63,76,34,93,32,23,43,12,100,19,87,43,63,26,33,19,93,77,20,29,92,59,69,32,59,79,19,19
57,69,63,81,82,62,77,37,64,0,22,57,58,40,35,61,33,16,92,19,51,62,15,54,33,39,61,24,23,34,23,35,80,71,68,80,75,38,22,96,80,84,28,95,18,72,64,56,69,34,75,92,23,55,72,54,97,99,31,56,57
85,88,86,54,55,32,59,72,95,22,0,44,22,13,65,25,87,11,17,81,26,29,79,41,87,33,76,25,71,43,90,67,18,40,13,61,27,21,45,63,26,24,89,33,17,72,93,52,84,91,76,67,25,97,89,94,79,77,22,66,85
65,31,14,58,64,16,95,76,48,57,44,0,64,65,46,33,91,33,38,51,44,16,80,53,82,48,14,85,43,46,48,22,40,44,69,38,49,25,35,19,85,79,13,78,24,94,61,75,32,87,48,10,69,19,14,38,77,46,65,31,65
79,38,60,15,57,29,61,88,17,58,22,64,0,48,70,73,20,68,88,47,62,14,70,14,26,13,16,33,33,73,84,63,31,21,52,49,33,20,76,46,94,44,26,59,98,59,35,88,46,10,31,59,67,94,85,36,65,54,23,54,79
25,44,71,72,92,20,47,27,77,40,13,65,48,0,59,43,73,74,58,93,74,70,50,76,76,95,53,26,99,62,88,58,100,38,33,28,24,86,83,10,73,46,69,80,83,57,25,60,25,89,17,36,16,37,95,30,25,92,78,68,25
69,17,23,69,54,66,80,12,12,35,65,46,70,59,0,46,85,86,84,49,81,96,75,76,96,16,80,33,63,51,98,38,89,48,74,39,22,64,94,23,64,45,35,18,90,14,100,20,16,50,50,92,81,38,16,11,96,10,52,67,69
