15
0,4,1,2,2,4,4,2,3,3,1,1,3,1,1,4,0
0,66,64,75,12,45,21,19,30,84,68,43,26,64,10,50,0
66,0,28,70,73,59,21,72,24,89,55,87,15,96,78,74,66
64,28,0,93,11,51,30,95,78,96,66,49,25,46,68,23,64
75,70,93,0,15,37,14,87,79,25,88,65,28,76,73,72,75
12,73,11,15,0,90,58,21,49,32,59,31,100,36,48,94,12
45,59,51,37,90,0,31,69,49,40,53,60,48,25,63,81,45
21,21,30,14,58,31,0,85,73,85,24,56,20,13,93,56,21
19,72,95,87,21,69,85,0,63,50,39,26,84,51,88,40,19
30,24,78,79,49,49,73,63,0,87,73,67,27,79,80,50,30
84,89,96,25,32,40,85,50,87,0,80,38,87,43,93,46,84
68,55,66,88,59,53,24,39,73,80,0,92,33,81,25,86,68
43,87,49,65,31,60,56,26,67,38,92,0,58,21,14,58,43
26,15,25,28,100,48,20,84,27,87,33,58,0,25,16,67,26
64,96,46,76,36,25,13,51,79,43,81,21,25,0,17,55,64
10,78,68,73,48,63,93,88,80,93,25,14,16,17,0,47,10
50,74,23,72,94,81,56,40,50,46,86,58,67,55,47,0,50
0,66,64,75,12,45,21,19,30,84,68,43,26,64,10,50,0
