19
0,3,4,2,2,1,4,4,3,2,2,2,2,3,4,1,2,2,1,4,0
0,13,62,71,71,59,84,68,32,30,28,45,35,16,77,44,46,94,10,41,0
13,0,10,86,56,54,76,27,12,65,25,29,13,42,99,87,98,82,40,75,13
62,10,0,54,82,73,61,75,64,94,31,88,66,31,45,93,63,13,30,74,62
71,86,54,0,38,55,74,80,38,72,67,72,77,68,85,98,90,99,40,62,71
71,56,82,38,0,29,80,57,82,72,97,50,33,99,40,19,45,42,30,95,71
59,54,73,55,29,0,40,49,60,42,52,64,85,16,70,100,60,46,59,95,59
84,76,61,74,80,40,0,61,32,95,59,40,55,92,88,77,84,82,16,62,84
68,27,75,80,57,49,61,0,66,31,78,26,16,68,53,62,59,69,95,96,68
32,12,64,38,82,60,32,66,0,15,34,28,45,56,30,25,61,86,99,15,32
30,65,94,72,72,42,95,31,15,0,20,27,86,58,58,98,97,17,16,56,30
28,25,31,67,97,52,59,78,34,20,0,36,62,11,56,67,96,96,74,57,28
45,29,88,72,50,64,40,26,28,27,36,0,89,18,91,38,87,63,60,33,45
35,13,66,77,33,85,55,16,45,86,62,89,0,14,75,31,99,10,33,98,35
16,42,31,68,99,16,92,68,56,58,11,18,14,0,95,91,97,44,11,75,16
77,99,45,85,40,70,88,53,30,58,56,91,75,95,0,27,75,93,90,47,77
44,87,93,98,19,100,77,62,25,98,67,38,31,91,27,0,79,75,89,50,44
46,98,63,90,45,60,84,59,61,97,96,87,99,97,75,79,0,97,24,83,46
94,82,13,99,42,46,82,69,86,17,96,63,10,44,93,75,97,0,39,100,94
10,40,30,40,30,59,16,95,99,16,74,60,33,11,90,89,24,39,0,58,10
41,75,74,62,95,95,62,96,15,56,57,33,98,75,47,50,83,100,58,0,41
0,13,62,71,71,59,84,68,32,30,28,45,35,16,77,44,46,94,10,41,0
