98
0,3,2,4,1,1,2,3,2,4,1,3,2,4,1,3,4,3,2,4,3,1,1,1,3,4,2,4,2,4,3,2,1,4,4,3,1,1,3,2,4,1,3,1,2,1,3,4,2,2,3,1,2,2,2,1,3,4,2,1,2,4,3,4,4,4,1,2,2,4,3,3,1,1,2,1,2,3,4,4,2,1,3,3,3,1,1,1,4,1,1,4,2,1,4,2,3,3,3,0
0,33,31,81,19,87,60,88,58,67,56,10,13,38,63,67,26,39,42,73,30,78,42,15,31,25,26,25,28,95,42,83,37,18,32,91,52,17,45,59,11,40,40,70,70,62,18,83,22,60,97,54,88,67,34,23,74,36,53,71,80,57,38,71,18,43,24,99,76,80,36,59,92,53,74,96,51,23,95,91,37,82,60,80,22,28,35,66,52,56,97,23,24,39,50,69,35,49,79,0
33,0,40,30,19,25,36,93,18,65,55,46,91,18,85,85,87,73,81,90,95,76,79,70,73,97,74,45,50,23,67,53,26,100,24,37,86,86,70,56,80,33,86,54,16,33,83,55,91,59,91,30,24,78,82,65,57,58,25,87,80,21,13,81,80,73,16,18,71,24,28,99,28,90,13,48,39,23,100,42,95,56,87,61,24,15,67,100,83,40,72,75,49,44,37,62,34,70,19,33
31,40,0,79,93,32,13,98,99,52,55,72,50,22,48,33,57,11,27,74,22,16,26,50,46,76,91,15,95,85,65,78,63,74,68,46,30,86,29,65,77,99,91,52,54,100,38,60,56,80,63,40,53,55,26,56,23,41,84,25,44,52,59,47,58,49,21,18,96,94,25,95,56,97,67,22,64,46,83,12,81,84,78,71,61,75,50,36,100,43,26,21,41,100,59,71,64,88,14,31
81,30,79,0,51,59,41,27,62,64,84,25,67,14,65,71,78,98,36,30,45,80,53,16,98,79,68,45,97,37,56,14,66,52,78,89,41,50,47,38,98,67,12,68,100,83,61,43,53,21,41,12,79,56,83,95,37,81,46,44,94,19,24,96,88,85,15,58,84,88,99,27,96,23,81,44,91,16,62,14,11,79,89,11,91,88,40,100,98,45,76,64,21,94,44,99,34,80,62,81
19,19,93,51,0,39,56,46,82,41,84,84,95,92,61,29,65,62,86,44,91,80,58,23,45,14,15,45,68,42,20,88,80,52,75,69,49,61,15,92,89,88,41,45,36,58,19,87,86,35,43,26,59,63,70,87,63,70,98,94,36,54,22,49,95,81,64,13,98,38,44,78,99,33,87,88,52,18,45,63,54,53,71,64,20,18,13,41,97,30,12,50,69,65,75,61,87,89,61,19
87,25,32,59,39,0,61,15,22,84,10,92,18,53,37,41,99,22,95,42,71,17,99,91,77,30,94,24,12,53,31,28,86,18,11,97,45,80,96,84,13,79,93,21,96,53,99,84,40,94,60,29,17,58,48,87,92,44,10,12,69,48,42,76,80,94,90,79,95,13,19,13,76,100,94,92,12,54,92,28,12,84,46,97,49,91,14,100,41,32,57,74,97,43,25,61,24,90,13,87
60,36,13,41,56,61,0,53,40,72,80,72,71,95,59,37,77,30,87,86,10,20,35,10,59,51,45,23,12,63,78,79,58,75,76,24,60,86,46,45,38,47,57,64,85,87,33,42,95,83,11,66,50,48,84,73,16,11,39,48,76,59,72,89,78,80,82,73,71,17,85,49,61,32,62,92,43,97,74,89,13,54,97,68,73,98,94,53,36,98,89,35,65,63,39,66,26,56,60,60
88,93,98,27,46,15,53,0,15,97,50,55,47,21,33,60,37,87,62,23,93,48,44,64,73,38,11,23,52,82,13,92,20,61,77,91,46,97,83,78,90,78,40,42,98,84,51,21,36,88,96,72,35,83,57,77,56,75,17,78,67,90,74,57,60,35,96,76,71,52,17,64,78,21,85,42,46,93,84,46,65,12,73,41,48,30,29,98,59,32,60,10,41,52,39,40,22,80,69,88
58,18,99,62,82,22,40,15,0,31,68,79,29,30,66,41,89,38,45,26,56,46,65,55,70,98,90,83,17,52,78,79,81,43,66,99,14,91,55,39,21,82,53,48,48,30,71,22,63,76,34,85,67,11,68,93,10,95,75,99,79,45,36,55,84,19,45,65,90,96,11,85,44,85,75,32,75,82,18,75,69,16,23,74,29,69,34,70,47,30,70,39,45,36,97,99,92,65,78,58
