63
0,4,1,2,4,4,4,1,1,4,3,4,2,2,1,1,1,3,4,4,4,3,1,1,1,3,2,2,2,3,2,4,4,4,2,3,4,2,2,1,1,2,3,1,3,4,3,3,2,4,1,3,3,2,2,2,2,4,1,2,3,3,3,1,0
0,74,78,82,76,55,55,22,61,30,61,20,73,94,45,74,49,60,76,52,22,40,21,90,59,33,14,81,96,42,15,75,73,47,82,25,44,20,56,20,38,84,59,17,68,61,80,66,98,62,33,80,79,70,83,18,13,10,82,28,95,17,76,30,0
74,0,41,100,52,91,47,15,79,11,50,77,47,60,90,10,92,46,71,89,10,69,37,10,65,10,99,93,41,50,46,45,93,44,100,87,89,52,53,11,63,65,59,82,54,24,45,59,55,43,43,92,28,18,79,35,69,55,28,94,77,16,87,44,74
78,41,0,20,90,70,27,45,49,91,14,14,52,31,20,80,88,86,11,10,36,86,26,48,45,23,88,83,52,88,78,89,92,46,59,21,14,27,77,37,62,76,83,94,29,23,18,95,83,47,73,95,28,87,82,98,30,40,26,74,100,33,45,15,78
82,100,20,0,51,72,28,54,26,61,28,18,84,94,25,28,55,95,18,12,33,53,51,71,40,12,16,99,28,19,69,63,27,35,39,69,53,68,65,34,51,78,79,85,30,22,84,85,67,50,16,38,46,32,85,10,94,31,19,10,11,70,36,57,82
76,52,90,51,0,32,68,60,12,19,51,54,82,55,98,65,83,98,53,29,60,35,45,94,50,14,47,64,76,42,53,99,24,36,80,80,12,51,98,74,13,91,10,16,80,23,72,56,68,67,38,70,97,97,54,59,82,18,37,64,95,99,75,48,76
55,91,70,72,32,0,94,97,82,84,42,69,19,43,57,17,19,36,51,44,17,67,33,63,49,70,80,62,19,58,37,57,72,72,80,11,70,54,32,24,95,55,33,66,16,10,65,16,37,14,72,87,52,27,63,48,60,42,44,19,69,16,93,92,55
55,47,27,28,68,94,0,80,100,31,78,81,66,64,49,35,15,17,58,21,38,27,49,20,92,39,73,22,100,84,44,89,50,72,87,94,37,27,50,15,92,13,13,28,22,84,72,90,42,47,45,31,45,63,91,24,83,99,34,70,71,68,82,33,55
22,15,45,54,60,97,80,0,94,44,87,72,20,77,45,92,74,31,89,35,53,85,10,72,81,19,53,68,28,68,46,72,67,81,40,42,36,67,99,66,17,61,33,83,49,90,53,82,68,98,72,23,54,83,75,56,75,70,31,32,17,50,24,67,22
61,79,49,26,12,82,100,94,0,11,26,98,69,27,99,51,15,21,80,51,47,38,76,93,87,93,88,69,85,60,46,28,66,18,89,79,41,90,10,32,53,40,71,72,20,98,100,44,60,68,76,28,86,40,44,89,18,54,63,53,54,52,43,35,61
30,11,91,61,19,84,31,44,11,0,18,79,26,59,28,37,25,100,12,13,34,28,31,99,14,25,82,62,37,55,69,92,56,29,45,60,31,16,36,12,74,22,31,77,48,53,82,51,22,91,47,29,74,80,48,76,23,86,50,66,80,64,28,91,30
61,50,14,28,51,42,78,87,26,18,0,81,35,44,19,93,85,34,91,69,13,86,60,25,59,100,77,70,58,74,45,60,92,94,47,50,66,29,28,35,69,21,56,87,99,57,22,89,49,17,20,62,45,38,57,11,59,31,90,48,14,12,48,13,61
20,77,14,18,54,69,81,72,98,79,81,0,90,14,55,40,68,21,40,26,30,35,63,80,42,29,92,28,47,80,29,58,93,42,40,30,18,12,63,46,37,77,64,51,30,45,93,78,65,45,72,26,69,38,75,42,66,58,60,61,55,23,72,50,20
73,47,52,84,82,19,66,20,69,26,35,90,0,25,64,74,75,15,99,96,22,71,41,14,22,19,94,70,14,99,36,95,85,48,86,76,67,48,89,62,88,45,56,41,23,98,32,47,81,64,41,65,46,93,98,84,73,45,40,71,54,56,55,80,73
94,60,31,94,55,43,64,77,27,59,44,14,25,0,75,75,48,40,29,10,62,46,29,30,71,30,78,44,35,89,90,45,29,51,30,79,64,54,65,69,92,71,73,73,37,49,78,69,42,38,47,90,63,24,40,31,51,99,56,35,75,24,50,92,94
45,90,20,25,98,57,49,45,99,28,19,55,64,75,0,37,10,43,56,44,36,82,45,69,62,83,16,57,42,53,93,75,60,37,61,21,15,96,61,89,26,55,54,22,79,11,60,54,71,34,31,86,91,14,34,54,61,58,47,92,43,38,82,95,45
74,10,80,28,65,17,35,92,51,37,93,40,74,75,37,0,88,47,24,72,85,68,96,89,59,75,77,78,51,71,41,75,63,29,19,49,79,61,49,55,99,39,39,23,67,43,36,69,75,21,76,82,33,71,27,49,75,12,44,38,61,65,78,10,74
49,92,88,55,83,19,15,74,15,25,85,68,75,48,10,88,0,83,20,52,20,71,61,48,82,43,28,27,76,83,26,17,11,71,25,76,52,44,85,55,43,89,48,99,33,38,44,52,35,46,95,94,73,64,51,75,12,51,63,81,94,71,15,13,49
