11
0,2,4,2,1,3,1,3,4,1,4,2,0
0,68,70,45,95,73,58,80,20,20,15,44,0
68,0,70,63,41,63,11,86,96,67,11,41,68
70,70,0,19,18,79,58,48,29,31,16,92,70
45,63,19,0,13,17,75,85,10,99,55,14,45
95,41,18,13,0,77,17,65,28,51,75,13,95
73,63,79,17,77,0,69,75,31,96,59,21,73
58,11,58,75,17,69,0,51,14,40,90,29,58
80,86,48,85,65,75,51,0,35,84,29,28,80
20,96,29,10,28,31,14,35,0,69,34,43,20
20,67,31,99,51,96,40,84,69,0,73,33,20
15,11,16,55,75,59,90,29,34,73,0,93,15
44,41,92,14,13,21,29,28,43,33,93,0,44
0,68,70,45,95,73,58,80,20,20,15,44,0
