24
0,5,4,1,3,1,4,3,3,2,4,4,4,5,5,3,3,2,5,3,3,4,4,2,4,0
0,85,83,70,47,103,92,132,133,83,68,71,125,110,93,138,119,107,67,104,83,32,78,42,145,0
85,0,104,123,48,60,48,111,110,99,67,102,85,101,140,62,115,134,132,145,73,106,130,51,111,85
83,104,0,113,68,127,72,71,99,73,126,147,90,126,32,50,99,120,60,98,73,89,149,133,78,83
70,123,113,0,74,68,133,135,45,82,34,52,83,42,33,89,74,101,67,114,95,38,148,67,46,70
47,48,68,74,0,103,143,35,118,119,49,150,139,114,55,128,67,140,99,120,91,93,92,39,67,47
103,60,127,68,103,0,130,116,101,128,48,60,112,126,129,137,51,131,113,49,107,41,84,97,126,103
92,48,72,133,143,130,0,102,101,117,69,146,44,118,93,67,102,106,148,142,148,131,48,147,51,92
132,111,71,135,35,116,102,0,58,34,51,109,31,136,146,81,144,63,60,67,39,116,43,88,87,132
133,110,99,45,118,101,101,58,0,30,36,49,59,118,128,82,140,61,93,134,96,36,123,133,99,133
83,99,73,82,119,128,117,34,30,0,109,144,32,146,53,55,67,31,128,134,138,96,42,68,67,83
68,67,126,34,49,48,69,51,36,109,0,65,47,93,134,108,58,121,118,41,42,46,60,113,46,68
71,102,147,52,150,60,146,109,49,144,65,0,37,47,53,66,38,88,50,118,86,68,122,98,102,71
125,85,90,83,139,112,44,31,59,32,47,37,0,70,87,47,107,100,69,131,124,83,49,73,93,125
110,101,126,42,114,126,118,136,118,146,93,47,70,0,115,75,146,82,72,85,145,133,146,74,84,110
93,140,32,33,55,129,93,146,128,53,134,53,87,115,0,124,103,37,132,146,138,115,80,97,133,93
138,62,50,89,128,137,67,81,82,55,108,66,47,75,124,0,54,62,142,44,70,137,102,129,100,138
119,115,99,74,67,51,102,144,140,67,58,38,107,146,103,54,0,67,32,54,125,53,71,146,141,119
107,134,120,101,140,131,106,63,61,31,121,88,100,82,37,62,67,0,121,65,33,45,79,68,100,107
67,132,60,67,99,113,148,60,93,128,118,50,69,72,132,142,32,121,0,118,87,38,77,48,68,67
104,145,98,114,120,49,142,67,134,134,41,118,131,85,146,44,54,65,118,0,75,52,63,54,92,104
83,73,73,95,91,107,148,39,96,138,42,86,124,145,138,70,125,33,87,75,0,38,115,143,96,83
32,106,89,38,93,41,131,116,36,96,46,68,83,133,115,137,53,45,38,52,38,0,114,108,115,32
78,130,149,148,92,84,48,43,123,42,60,122,49,146,80,102,71,79,77,63,115,114,0,113,90,78
42,51,133,67,39,97,147,88,133,68,113,98,73,74,97,129,146,68,48,54,143,108,113,0,65,42
145,111,78,46,67,126,51,87,99,67,46,102,93,84,133,100,141,100,68,92,96,115,90,65,0,145
0,85,83,70,47,103,92,132,133,83,68,71,125,110,93,138,119,107,67,104,83,32,78,42,145,0
