50
0,3,2,4,2,2,3,4,4,3,3,3,1,4,3,2,4,1,2,4,1,4,4,2,3,4,2,4,3,1,4,1,1,3,4,1,4,4,1,3,3,4,2,2,2,2,4,1,3,4,2,0
0,88,99,19,67,77,51,68,48,15,22,52,82,38,64,79,89,91,54,28,62,81,43,95,76,19,24,70,40,95,18,29,49,89,68,74,51,87,35,49,42,93,54,33,21,28,57,93,75,67,15,0
88,0,24,58,80,73,21,98,77,36,61,53,37,21,89,69,63,33,90,13,52,99,58,40,48,22,54,65,37,25,15,61,11,83,70,17,77,14,79,66,75,81,23,31,78,13,10,61,94,62,87,88
99,24,0,79,33,95,40,16,24,40,80,57,55,13,30,18,62,45,37,30,40,51,15,24,84,95,56,66,10,91,45,17,33,85,33,63,79,54,79,34,49,73,45,51,76,53,15,58,87,50,51,99
19,58,79,0,99,84,11,60,34,74,29,41,39,82,77,100,70,61,71,98,60,45,20,26,48,16,26,88,21,79,40,24,66,61,98,13,20,83,90,44,21,63,50,67,49,82,24,63,100,92,59,19
67,80,33,99,0,37,23,63,54,66,75,24,84,84,60,97,32,53,79,69,79,30,59,86,72,28,46,40,30,33,34,33,74,81,84,85,52,50,97,59,78,19,82,17,38,21,50,34,49,59,63,67
77,73,95,84,37,0,25,67,18,24,49,27,47,72,90,58,88,15,67,68,69,66,64,86,43,86,21,48,87,42,20,94,40,99,46,39,19,32,52,67,25,37,47,14,47,40,16,64,39,70,36,77
51,21,40,11,23,25,0,64,55,12,27,96,90,13,76,30,53,53,70,62,91,18,82,82,51,98,31,51,60,60,90,26,95,15,17,56,68,17,17,47,54,77,29,19,99,19,90,69,27,79,47,51
68,98,16,60,63,67,64,0,13,29,15,43,59,34,88,87,26,50,16,72,65,57,83,21,80,48,43,23,58,61,22,73,62,48,88,33,74,21,90,30,54,80,40,25,96,66,63,42,36,62,34,68
48,77,24,34,54,18,55,13,0,77,39,31,73,33,43,33,93,77,99,64,14,68,45,75,75,33,34,44,78,20,49,99,59,55,75,42,80,37,71,17,28,42,35,37,85,18,90,38,91,23,43,48
15,36,40,74,66,24,12,29,77,0,76,73,77,70,90,36,12,76,43,76,46,71,66,84,24,20,63,77,76,51,30,69,49,78,87,37,14,12,58,18,73,22,33,90,59,64,30,78,82,49,29,15
22,61,80,29,75,49,27,15,39,76,0,45,15,13,85,70,22,74,50,78,57,53,92,90,30,43,33,92,81,93,52,93,28,80,73,71,17,98,98,67,97,22,11,54,36,10,66,85,49,41,23,22
52,53,57,41,24,27,96,43,31,73,45,0,94,14,96,85,24,81,88,64,68,30,72,38,100,72,35,41,93,67,76,64,85,90,21,81,22,88,87,68,41,97,31,24,75,74,98,33,34,51,96,52
82,37,55,39,84,47,90,59,73,77,15,94,0,89,21,37,17,49,12,98,74,57,47,58,50,57,15,97,49,53,42,60,23,78,61,21,53,12,19,69,46,10,17,36,70,16,95,17,45,92,35,82
