84
0,3,1,2,3,3,1,3,1,4,3,1,4,3,3,4,2,1,3,1,4,1,2,3,3,1,3,1,2,3,3,4,1,1,1,2,2,1,2,2,2,3,3,3,4,2,4,4,3,4,4,2,4,4,3,4,2,3,1,2,3,3,3,2,1,2,3,4,2,3,2,4,2,2,2,3,3,1,1,4,3,3,2,1,4,0
0,65,33,94,10,81,75,100,42,13,52,87,96,25,38,24,23,79,11,72,46,51,20,40,74,21,50,59,40,76,75,90,29,70,40,96,92,95,14,75,52,71,54,42,12,56,97,42,94,40,84,89,63,27,69,89,50,28,42,12,79,47,94,15,72,13,38,57,60,51,54,34,89,94,40,61,94,95,45,88,72,48,30,28,45,0
65,0,18,77,25,96,97,86,69,99,48,74,50,95,11,38,83,34,62,35,92,63,40,74,32,77,15,12,77,20,11,99,91,16,17,71,49,16,68,52,64,24,82,66,35,56,42,42,41,86,21,25,56,84,31,73,48,91,27,48,95,22,14,19,73,80,19,90,74,53,62,48,42,49,83,41,44,82,55,13,38,13,22,17,100,65
33,18,0,64,93,29,64,29,26,95,93,19,63,97,43,65,59,24,37,43,41,15,79,15,75,80,88,43,23,84,37,56,66,39,47,89,20,44,38,11,31,31,18,11,21,14,21,17,28,40,92,62,32,82,32,20,66,59,100,100,85,96,96,99,12,58,96,12,26,59,81,52,75,79,67,29,93,51,47,18,93,26,46,44,36,33
94,77,64,0,20,65,81,78,25,44,59,55,81,95,38,73,21,65,88,79,44,41,64,59,38,37,20,28,71,61,70,75,90,39,68,82,63,98,72,61,43,73,36,79,42,66,78,62,51,100,58,60,39,31,33,79,35,82,97,56,17,34,22,29,98,94,10,78,10,61,24,92,65,73,94,33,78,42,73,65,45,91,62,88,56,94
10,25,93,20,0,96,12,86,64,54,87,93,31,79,54,65,39,41,97,56,98,35,50,70,99,70,73,50,53,20,80,39,66,89,91,79,44,86,44,52,55,29,14,23,68,85,12,98,53,75,80,83,93,58,93,28,28,26,94,81,60,80,63,76,78,25,18,80,36,87,83,16,72,34,57,35,66,55,58,81,93,31,98,96,64,10
81,96,29,65,96,0,43,44,19,44,21,23,26,28,76,16,89,86,92,37,77,94,70,49,14,51,12,37,92,85,20,66,69,30,98,27,72,92,41,79,72,29,18,99,35,97,93,42,68,25,28,27,82,76,74,90,70,86,22,53,96,60,94,49,39,96,97,100,69,50,76,85,30,38,43,62,81,18,69,76,96,42,85,10,89,81
75,97,64,81,12,43,0,59,29,25,75,99,90,89,25,19,46,45,31,59,60,89,74,12,89,76,33,16,37,25,47,41,43,73,27,87,66,39,94,10,84,83,16,85,82,18,21,62,10,69,51,69,89,71,81,24,32,19,21,37,91,50,79,56,45,57,72,40,15,67,30,54,19,93,79,78,82,51,74,91,58,61,100,20,33,75
100,86,29,78,86,44,59,0,32,33,22,43,50,88,98,40,10,25,32,35,75,15,36,59,100,63,22,96,40,81,46,31,39,25,23,50,68,76,57,28,43,90,31,28,87,52,60,83,48,55,26,33,22,70,43,25,69,62,98,58,54,64,65,19,62,75,71,78,92,22,52,26,83,90,32,46,77,98,74,68,98,15,47,38,98,100
42,69,26,25,64,19,29,32,0,67,49,92,92,10,56,15,20,64,39,97,72,86,58,46,55,48,83,27,77,21,81,92,11,91,66,21,40,25,41,66,50,61,45,98,85,67,15,92,43,98,72,11,13,29,58,87,88,13,39,55,99,57,59,56,55,81,29,84,69,32,36,36,88,90,85,67,29,32,18,27,40,49,62,54,89,42
13,99,95,44,54,44,25,33,67,0,31,28,95,87,83,84,40,12,19,85,47,56,41,14,20,39,67,15,19,49,25,35,24,65,100,64,44,60,77,37,28,19,30,69,92,50,40,50,12,77,70,96,57,33,91,32,72,33,48,19,30,50,20,15,63,11,36,64,11,81,59,36,17,59,80,31,64,49,45,50,63,46,35,40,75,13
52,48,93,59,87,21,75,22,49,31,0,20,48,32,19,24,79,73,17,40,96,79,35,63,86,97,35,35,70,48,95,74,62,65,23,47,17,52,11,12,24,39,49,74,77,58,93,86,23,13,86,55,25,98,38,12,22,89,94,85,86,48,20,62,57,23,72,93,64,56,50,19,88,69,16,42,64,39,41,83,86,92,88,60,68,52
87,74,19,55,93,23,99,43,92,28,20,0,79,30,80,33,95,67,32,18,13,45,59,43,94,20,83,28,71,77,52,87,40,69,94,68,63,76,43,55,60,63,11,12,97,21,97,55,98,81,58,30,91,56,40,64,94,86,16,93,51,76,13,88,47,37,26,82,36,70,35,23,35,47,11,17,32,75,69,77,92,12,100,90,15,87
96,50,63,81,31,26,90,50,92,95,48,79,0,77,58,68,91,37,72,89,100,68,18,40,40,38,81,42,22,85,91,63,58,22,76,88,92,18,58,39,88,80,28,27,63,83,97,33,34,68,28,30,24,29,53,43,98,64,53,32,83,49,73,80,31,63,27,14,25,18,37,93,37,97,87,11,73,84,19,14,62,32,69,81,23,96
25,95,97,95,79,28,89,88,10,87,32,30,77,0,75,94,80,12,17,42,34,88,78,66,55,30,97,41,92,63,53,30,23,25,51,73,57,78,30,83,52,45,65,82,19,66,44,80,60,70,54,58,100,20,51,13,87,69,29,51,13,85,33,12,82,36,100,18,47,41,64,63,70,38,95,91,11,20,68,51,76,25,11,98,44,25
38,11,43,38,54,76,25,98,56,83,19,80,58,75,0,73,58,21,85,51,93,22,49,25,99,79,28,28,93,24,94,24,95,90,28,37,64,51,76,82,49,12,42,51,73,54,91,22,30,13,92,56,81,34,62,68,72,51,15,20,29,64,97,46,66,79,32,66,20,86,22,46,89,13,29,60,18,29,27,57,87,36,74,63,53,38
24,38,65,73,65,16,19,40,15,84,24,33,68,94,73,0,50,14,57,13,40,83,16,56,37,43,47,10,63,87,46,29,48,52,68,11,15,77,79,24,27,29,58,23,93,84,88,25,38,48,31,25,48,44,26,87,57,74,55,36,96,63,41,81,82,15,83,41,78,77,72,88,69,40,46,20,27,80,93,84,83,95,37,90,100,24
