13
0,1,3,4,4,1,2,3,4,3,2,3,2,1,0
0,90,73,19,90,96,84,26,89,46,92,53,24,11,0
90,0,98,77,45,50,75,39,29,65,88,97,38,89,90
73,98,0,73,67,51,45,85,52,94,81,19,51,35,73
19,77,73,0,66,70,46,22,30,91,32,37,36,58,19
90,45,67,66,0,93,89,40,88,31,89,21,86,21,90
96,50,51,70,93,0,33,76,89,31,96,92,35,79,96
84,75,45,46,89,33,0,67,41,49,21,24,50,93,84
26,39,85,22,40,76,67,0,42,92,43,54,50,22,26
89,29,52,30,88,89,41,42,0,86,39,16,96,67,89
46,65,94,91,31,31,49,92,86,0,30,98,14,44,46
92,88,81,32,89,96,21,43,39,30,0,49,18,94,92
53,97,19,37,21,92,24,54,16,98,49,0,21,71,53
24,38,51,36,86,35,50,50,96,14,18,21,0,43,24
11,89,35,58,21,79,93,22,67,44,94,71,43,0,11
0,90,73,19,90,96,84,26,89,46,92,53,24,11,0
