21
0,4,1,1,2,1,3,2,1,3,3,1,1,1,3,4,2,3,3,4,4,1,0
0,20,19,68,46,59,53,100,27,58,58,98,40,65,13,35,76,75,85,97,68,50,0
20,0,14,41,23,84,63,78,12,19,64,40,15,70,58,63,70,82,87,88,96,94,20
19,14,0,56,77,99,74,82,73,13,30,66,80,16,54,39,11,61,79,59,64,95,19
68,41,56,0,60,56,56,38,98,97,32,21,87,47,51,44,63,79,57,25,37,100,68
46,23,77,60,0,38,90,84,35,58,83,99,91,31,97,48,61,19,75,64,43,32,46
59,84,99,56,38,0,68,59,40,72,32,79,39,59,59,42,40,13,41,98,60,52,59
53,63,74,56,90,68,0,27,65,32,24,65,67,40,31,45,54,95,25,87,80,60,53
100,78,82,38,84,59,27,0,66,58,95,24,41,54,17,15,88,69,84,18,31,80,100
27,12,73,98,35,40,65,66,0,80,54,27,67,92,72,44,13,79,49,30,51,13,27
58,19,13,97,58,72,32,58,80,0,67,10,93,53,13,84,83,70,48,40,82,21,58
58,64,30,32,83,32,24,95,54,67,0,83,49,50,81,61,54,57,36,97,63,94,58
98,40,66,21,99,79,65,24,27,10,83,0,65,53,20,95,37,90,21,34,41,38,98
40,15,80,87,91,39,67,41,67,93,49,65,0,52,62,32,10,96,31,70,38,84,40
65,70,16,47,31,59,40,54,92,53,50,53,52,0,23,69,99,45,86,33,58,81,65
13,58,54,51,97,59,31,17,72,13,81,20,62,23,0,29,69,66,80,18,90,60,13
35,63,39,44,48,42,45,15,44,84,61,95,32,69,29,0,24,52,96,23,62,22,35
76,70,11,63,61,40,54,88,13,83,54,37,10,99,69,24,0,18,84,79,49,50,76
75,82,61,79,19,13,95,69,79,70,57,90,96,45,66,52,18,0,51,40,28,16,75
85,87,79,57,75,41,25,84,49,48,36,21,31,86,80,96,84,51,0,42,42,100,85
97,88,59,25,64,98,87,18,30,40,97,34,70,33,18,23,79,40,42,0,80,66,97
68,96,64,37,43,60,80,31,51,82,63,41,38,58,90,62,49,28,42,80,0,21,68
50,94,95,100,32,52,60,80,13,21,94,38,84,81,60,22,50,16,100,66,21,0,50
0,20,19,68,46,59,53,100,27,58,58,98,40,65,13,35,76,75,85,97,68,50,0
