109
0,3,2,2,2,4,3,1,3,4,3,2,3,2,4,2,3,1,3,3,4,1,2,1,4,2,1,2,2,1,1,1,1,4,1,4,2,4,1,4,4,2,4,4,2,4,3,3,1,2,1,2,4,2,4,2,1,3,3,1,4,1,1,1,3,1,1,3,1,2,2,3,3,1,4,4,4,4,2,2,2,1,3,2,4,4,1,2,3,4,3,4,1,1,1,3,2,3,2,1,1,3,3,1,3,2,1,4,4,1,0
0,65,55,79,49,11,94,100,55,12,30,32,63,92,25,61,87,29,11,49,93,31,29,84,44,67,60,21,98,14,39,99,78,51,74,83,48,40,20,55,91,38,98,18,51,58,11,36,35,18,67,62,68,13,45,37,62,96,22,64,98,85,58,73,22,60,76,84,100,39,77,65,44,44,86,60,49,44,40,44,63,95,90,69,26,74,21,17,84,28,32,43,83,33,95,36,21,100,59,93,49,75,43,20,94,57,96,20,33,45,0
65,0,12,43,91,26,40,83,92,65,92,65,65,43,26,35,57,74,22,48,10,40,46,94,99,10,75,11,65,60,60,13,89,88,91,24,91,94,27,68,45,49,11,57,85,89,81,86,23,46,62,93,87,67,26,10,87,31,45,14,99,63,84,13,85,29,96,87,51,46,24,14,83,29,100,80,24,35,18,95,38,41,87,33,13,45,10,27,35,15,11,60,14,49,72,83,70,36,49,17,61,50,75,78,31,79,38,95,37,100,65
55,12,0,49,58,83,75,46,27,46,96,99,18,14,23,73,26,35,71,85,83,31,20,50,59,76,88,85,72,26,49,34,86,70,17,61,20,25,78,62,22,26,40,38,56,54,56,11,70,13,43,96,86,39,91,20,63,20,95,95,53,69,45,36,86,98,69,100,93,82,28,69,46,87,28,28,25,98,78,30,86,40,93,98,63,91,95,36,86,35,86,78,69,84,93,48,54,53,99,77,81,58,62,84,33,99,31,93,84,61,55
79,43,49,0,15,50,18,71,77,10,30,86,69,70,37,65,19,81,76,84,94,51,64,71,54,12,100,52,55,79,50,75,54,35,57,77,34,67,93,55,28,49,52,100,79,19,73,96,99,70,78,29,77,73,70,99,61,51,48,45,69,54,57,51,38,94,21,74,22,76,64,21,19,70,53,55,15,87,80,39,50,33,34,46,96,50,22,96,54,36,88,68,94,23,61,93,16,34,23,100,86,18,64,99,27,53,84,73,88,37,79
49,91,58,15,0,93,11,70,71,60,57,76,24,99,40,59,12,60,34,10,24,35,51,11,35,61,56,69,25,73,17,18,95,18,62,54,20,59,79,86,57,28,83,35,40,56,92,90,99,11,77,93,49,27,70,95,19,36,18,66,72,59,26,55,42,37,79,78,75,24,88,92,72,60,78,55,53,69,36,87,31,32,13,39,18,84,34,19,42,45,82,30,57,47,89,43,43,68,80,68,96,37,99,19,73,42,69,93,80,79,49
11,26,83,50,93,0,27,82,66,92,52,18,18,46,30,88,10,38,65,98,78,17,55,62,93,17,93,29,28,54,53,53,82,23,21,67,53,47,13,43,48,81,88,51,37,30,66,29,77,54,11,29,99,30,16,17,20,88,28,52,42,89,23,27,92,84,22,100,85,67,10,64,48,39,50,45,71,33,58,20,76,39,55,67,30,88,88,22,97,67,97,81,47,41,80,20,44,59,83,64,74,31,98,59,10,69,60,82,99,20,11
94,40,75,18,11,27,0,10,46,81,26,45,78,86,34,39,51,39,44,64,81,20,66,31,45,16,23,70,43,35,85,96,91,88,72,21,69,59,79,79,27,55,78,24,85,37,98,42,89,11,53,31,63,52,54,52,24,96,21,34,35,56,97,100,67,15,70,25,15,90,18,61,97,95,31,18,94,70,72,48,32,97,58,79,90,53,97,75,97,58,77,19,84,75,68,63,32,76,25,31,47,18,91,19,93,56,76,98,37,77,94
100,83,46,71,70,82,10,0,53,32,12,43,46,97,12,89,71,72,75,72,60,89,32,80,99,45,80,65,93,11,59,74,49,34,76,93,75,33,79,23,47,41,89,86,92,58,89,88,65,94,93,91,69,74,25,97,13,44,84,85,50,23,93,84,43,21,69,71,18,65,24,54,16,17,37,69,96,27,35,72,35,21,12,59,35,70,100,82,55,66,68,50,67,20,26,74,87,94,36,86,31,92,94,10,68,82,12,15,100,67,100
55,92,27,77,71,66,46,53,0,32,17,88,93,15,90,90,83,54,22,53,74,92,26,90,57,49,92,17,12,81,14,83,24,50,70,94,81,75,38,97,77,77,30,22,95,35,62,57,25,46,24,97,44,58,38,53,55,53,55,88,30,93,64,65,24,45,33,23,99,73,24,21,20,29,62,89,100,77,42,71,28,85,82,44,22,50,58,77,98,55,68,76,15,34,47,68,90,13,49,19,49,71,33,17,37,71,89,34,44,20,55
