116
0,1,2,2,2,1,3,4,3,2,1,2,3,1,3,3,4,4,2,1,3,2,2,2,1,2,4,2,2,2,2,1,2,4,3,1,1,3,4,3,3,4,1,2,3,4,3,1,3,4,1,4,2,4,4,2,4,1,3,2,4,1,2,1,4,1,2,4,3,3,1,1,3,4,2,1,4,4,3,1,2,2,4,4,4,4,1,4,2,3,1,2,2,2,1,4,3,4,3,4,3,1,1,2,3,3,1,1,4,1,2,4,4,3,2,3,2,0
0,42,60,64,62,13,84,96,94,29,77,72,10,52,52,21,50,47,35,41,23,71,43,57,45,88,56,92,65,97,89,48,80,70,62,43,54,86,16,40,83,40,37,68,49,79,95,62,42,22,74,20,73,73,40,72,50,31,20,31,92,39,17,59,82,89,42,14,73,70,55,89,90,52,38,40,19,50,65,28,56,43,31,86,90,66,50,22,36,15,39,20,77,24,93,19,35,43,83,90,50,40,31,47,93,94,88,57,86,35,85,56,67,52,10,65,61,0
42,0,10,18,27,83,70,49,18,76,52,59,56,87,81,19,60,19,47,79,83,60,94,38,60,11,30,76,20,46,58,86,16,19,80,37,99,18,61,26,41,27,68,60,81,39,34,40,89,95,84,79,62,20,31,87,84,10,38,54,78,60,20,82,75,64,62,59,12,33,80,75,80,27,17,28,60,16,48,57,44,67,19,57,53,11,77,63,19,94,90,12,27,34,13,13,44,92,96,42,27,68,17,75,44,97,33,33,91,89,59,63,68,76,31,97,41,42
60,10,0,87,87,16,59,60,88,20,55,83,88,22,88,76,92,84,86,82,73,78,69,61,93,65,69,25,73,90,85,13,12,39,49,47,98,79,16,29,75,62,14,95,66,99,62,92,34,49,94,80,80,33,53,33,28,11,87,89,11,11,43,90,38,66,13,41,84,84,84,59,78,91,34,13,33,39,64,22,31,11,79,64,53,13,48,25,57,34,98,25,20,71,81,37,91,22,56,87,43,36,92,44,60,38,36,99,96,68,96,82,66,87,92,19,42,60
64,18,87,0,52,40,68,17,98,94,56,50,43,11,12,43,71,24,80,100,47,63,38,43,74,95,31,13,43,47,85,48,13,88,13,79,68,11,96,92,62,16,76,48,79,75,36,42,92,11,72,20,85,91,78,26,26,53,42,42,18,17,93,17,36,47,85,54,63,67,31,36,82,53,86,59,52,67,49,12,78,100,14,17,55,74,36,59,82,22,46,83,16,42,81,12,60,36,79,38,28,99,100,68,92,74,77,96,35,58,72,72,55,80,65,61,65,64
62,27,87,52,0,95,75,13,20,16,33,89,63,53,97,48,52,40,77,38,54,86,95,56,89,81,52,92,58,38,72,50,62,48,22,74,56,20,61,48,20,62,83,89,79,56,61,92,21,43,17,85,53,14,38,42,52,35,25,45,51,97,29,66,47,74,69,67,22,62,17,62,34,47,59,31,88,19,67,67,76,27,64,94,20,26,69,100,22,71,37,60,98,59,74,94,59,15,20,13,27,31,17,23,21,46,54,79,68,63,82,87,10,74,72,57,83,62
13,83,16,40,95,0,29,85,12,74,100,14,35,31,93,59,28,48,98,28,40,32,64,80,82,72,48,48,85,51,50,11,12,19,58,58,37,94,74,55,42,49,96,75,27,96,58,31,47,11,56,49,97,53,61,84,78,20,88,94,50,44,18,40,82,17,56,40,70,93,92,17,33,88,54,63,66,31,32,15,88,77,46,29,13,100,86,67,86,31,78,97,77,11,74,33,18,10,63,69,50,17,42,75,22,26,100,65,96,50,50,92,83,85,73,88,63,13
84,70,59,68,75,29,0,52,74,30,91,58,72,24,65,17,36,82,83,37,34,67,21,35,17,63,28,20,81,48,19,38,36,40,34,90,26,89,69,66,59,17,39,83,72,78,82,71,63,60,16,97,24,25,73,100,87,68,21,78,68,47,70,64,76,48,100,62,57,100,57,13,30,28,42,80,32,20,54,42,72,92,65,13,14,60,80,11,26,72,91,37,42,98,74,13,53,51,83,94,40,57,81,49,77,79,76,72,18,10,35,75,82,91,40,91,54,84
96,49,60,17,13,85,52,0,76,92,41,70,21,46,79,53,45,87,86,62,93,39,76,87,75,67,86,15,86,91,42,85,28,96,100,93,77,68,71,92,87,44,87,41,29,51,89,23,26,43,60,51,73,35,99,32,20,37,12,100,90,21,85,41,99,77,74,57,87,49,71,38,79,47,87,100,92,97,17,90,29,11,43,65,24,22,18,27,35,33,38,15,75,24,73,13,20,20,96,84,32,20,58,69,38,67,92,36,29,35,57,46,49,48,65,98,94,96
94,18,88,98,20,12,74,76,0,33,41,49,24,74,91,99,31,74,41,84,97,92,31,22,19,81,73,73,69,58,64,26,77,73,79,55,59,48,46,45,91,94,50,31,57,89,97,25,13,96,12,46,67,81,78,38,39,93,40,84,56,53,50,90,34,86,59,18,54,51,11,25,82,80,28,60,46,12,67,87,14,32,55,38,32,31,27,41,88,27,44,55,39,89,59,35,76,89,73,50,22,21,87,18,31,11,39,76,62,19,39,91,45,52,21,95,34,94
