17
0,1,2,2,2,1,2,4,2,4,3,4,3,2,2,4,3,4,0
0,70,27,63,87,89,94,21,98,28,36,83,17,25,54,36,88,49,0
70,0,77,72,88,60,64,71,51,16,44,75,32,10,62,54,96,25,70
27,77,0,30,22,49,95,61,11,30,36,45,53,91,21,36,44,87,27
63,72,30,0,43,20,88,47,87,38,87,69,68,75,51,43,46,29,63
87,88,22,43,0,99,79,12,26,22,94,41,69,18,11,33,64,38,87
89,60,49,20,99,0,73,81,26,93,57,84,13,36,89,58,33,98,89
94,64,95,88,79,73,0,36,90,30,51,86,98,60,70,66,51,75,94
21,71,61,47,12,81,36,0,93,66,85,19,70,25,50,40,94,17,21
98,51,11,87,26,26,90,93,0,51,39,31,93,99,45,55,85,99,98
28,16,30,38,22,93,30,66,51,0,48,14,53,99,25,20,19,63,28
36,44,36,87,94,57,51,85,39,48,0,71,67,82,50,81,64,32,36
83,75,45,69,41,84,86,19,31,14,71,0,39,46,68,49,80,91,83
17,32,53,68,69,13,98,70,93,53,67,39,0,10,78,21,50,43,17
25,10,91,75,18,36,60,25,99,99,82,46,10,0,78,71,51,18,25
54,62,21,51,11,89,70,50,45,25,50,68,78,78,0,35,92,13,54
36,54,36,43,33,58,66,40,55,20,81,49,21,71,35,0,54,68,36
88,96,44,46,64,33,51,94,85,19,64,80,50,51,92,54,0,19,88
49,25,87,29,38,98,75,17,99,63,32,91,43,18,13,68,19,0,49
0,70,27,63,87,89,94,21,98,28,36,83,17,25,54,36,88,49,0
