25
0,2,3,4,1,3,1,2,4,1,1,3,4,1,3,2,2,3,1,3,4,3,2,1,1,2,0
0,45,99,81,32,61,78,55,10,46,69,23,52,98,90,92,78,29,36,59,98,73,69,77,23,62,0
45,0,15,80,70,33,80,89,25,71,15,30,71,69,34,22,42,37,20,49,30,20,12,60,49,84,45
99,15,0,76,57,73,85,78,35,11,50,62,30,20,43,69,52,79,39,98,96,39,77,96,55,35,99
81,80,76,0,28,32,75,96,45,52,38,62,41,11,83,40,70,99,90,66,13,13,94,97,65,78,81
32,70,57,28,0,82,44,42,45,81,37,45,81,79,30,14,56,81,93,58,60,13,64,30,45,79,32
61,33,73,32,82,0,18,30,46,71,88,48,60,58,41,65,97,94,60,71,42,25,60,72,94,70,61
78,80,85,75,44,18,0,14,45,55,60,58,50,43,27,63,71,26,61,78,47,61,50,49,53,72,78
55,89,78,96,42,30,14,0,26,82,56,71,70,32,77,52,51,65,64,50,71,36,88,33,34,74,55
10,25,35,45,45,46,45,26,0,25,26,18,85,100,93,54,16,57,77,87,68,49,70,93,24,37,10
46,71,11,52,81,71,55,82,25,0,46,65,57,72,39,69,60,21,73,14,43,41,46,10,18,44,46
69,15,50,38,37,88,60,56,26,46,0,13,84,31,30,78,90,38,91,58,56,15,82,33,29,65,69
23,30,62,62,45,48,58,71,18,65,13,0,77,39,89,66,84,59,73,19,86,41,84,93,66,55,23
52,71,30,41,81,60,50,70,85,57,84,77,0,83,99,11,23,40,70,36,22,58,39,34,53,33,52
98,69,20,11,79,58,43,32,100,72,31,39,83,0,100,14,16,30,46,59,52,89,37,63,67,78,98
90,34,43,83,30,41,27,77,93,39,30,89,99,100,0,84,55,34,61,15,30,83,39,40,59,29,90
92,22,69,40,14,65,63,52,54,69,78,66,11,14,84,0,25,43,90,39,44,44,53,97,55,87,92
78,42,52,70,56,97,71,51,16,60,90,84,23,16,55,25,0,21,63,29,23,68,58,99,68,15,78
29,37,79,99,81,94,26,65,57,21,38,59,40,30,34,43,21,0,67,52,75,55,92,78,48,63,29
36,20,39,90,93,60,61,64,77,73,91,73,70,46,61,90,63,67,0,97,50,15,74,83,19,30,36
59,49,98,66,58,71,78,50,87,14,58,19,36,59,15,39,29,52,97,0,97,16,63,60,33,50,59
98,30,96,13,60,42,47,71,68,43,56,86,22,52,30,44,23,75,50,97,0,34,55,95,50,81,98
73,20,39,13,13,25,61,36,49,41,15,41,58,89,83,44,68,55,15,16,34,0,73,96,74,75,73
69,12,77,94,64,60,50,88,70,46,82,84,39,37,39,53,58,92,74,63,55,73,0,22,73,41,69
77,60,96,97,30,72,49,33,93,10,33,93,34,63,40,97,99,78,83,60,95,96,22,0,77,97,77
23,49,55,65,45,94,53,34,24,18,29,66,53,67,59,55,68,48,19,33,50,74,73,77,0,22,23
62,84,35,78,79,70,72,74,37,44,65,55,33,78,29,87,15,63,30,50,81,75,41,97,22,0,62
0,45,99,81,32,61,78,55,10,46,69,23,52,98,90,92,78,29,36,59,98,73,69,77,23,62,0
