15
0,2,1,4,3,3,1,1,1,1,3,4,3,3,2,1,0
0,33,10,45,97,21,76,40,73,73,39,31,47,39,18,89,0
33,0,77,77,30,50,15,100,50,69,72,42,100,39,44,53,33
10,77,0,92,80,24,32,44,28,59,100,12,96,47,74,73,10
45,77,92,0,14,10,49,47,83,64,96,75,96,51,18,43,45
97,30,80,14,0,100,55,85,15,73,49,83,99,62,31,59,97
21,50,24,10,100,0,84,83,21,60,59,100,38,99,30,98,21
76,15,32,49,55,84,0,76,31,75,75,82,54,33,57,28,76
40,100,44,47,85,83,76,0,32,76,20,71,66,37,30,92,40
73,50,28,83,15,21,31,32,0,32,50,57,51,21,76,100,73
73,69,59,64,73,60,75,76,32,0,16,25,81,94,57,80,73
39,72,100,96,49,59,75,20,50,16,0,84,71,90,30,46,39
31,42,12,75,83,100,82,71,57,25,84,0,65,47,67,63,31
47,100,96,96,99,38,54,66,51,81,71,65,0,14,16,61,47
39,39,47,51,62,99,33,37,21,94,90,47,14,0,32,17,39
18,44,74,18,31,30,57,30,76,57,30,67,16,32,0,95,18
89,53,73,43,59,98,28,92,100,80,46,63,61,17,95,0,89
0,33,10,45,97,21,76,40,73,73,39,31,47,39,18,89,0
