61
0,3,3,2,3,1,1,1,3,3,3,3,4,3,1,2,1,4,3,4,2,2,3,1,4,3,1,4,1,2,1,1,4,4,4,1,4,1,3,1,2,4,2,3,3,2,2,4,4,4,3,1,4,4,1,2,4,4,3,2,4,2,0
0,77,68,91,99,41,48,56,39,99,71,21,33,93,26,36,38,66,65,60,94,60,77,88,29,47,80,82,82,28,44,61,89,92,75,75,72,73,15,28,100,66,100,93,23,69,17,59,96,35,41,72,99,30,15,13,61,10,61,37,41,44,0
77,0,74,76,88,40,57,41,80,86,54,77,19,82,97,81,92,77,62,78,74,55,11,96,61,96,68,84,61,100,29,51,10,32,99,59,63,53,99,80,14,91,96,23,96,93,50,31,33,64,89,13,24,94,54,42,69,35,36,51,10,22,77
68,74,0,82,50,33,25,96,69,58,63,70,72,99,59,55,71,46,78,83,23,73,36,77,28,99,26,42,45,64,29,88,69,21,91,56,17,10,85,10,97,70,26,98,70,47,95,20,13,65,27,12,20,48,92,70,31,26,85,25,54,92,68
91,76,82,0,14,20,90,34,82,66,34,100,46,49,36,40,91,41,71,58,58,54,14,20,31,96,11,32,30,93,41,23,25,72,61,66,71,81,76,47,79,41,11,53,70,76,77,89,74,32,39,96,82,51,22,74,89,70,93,76,95,97,91
99,88,50,14,0,66,11,33,100,51,99,30,50,63,71,20,84,90,45,86,54,97,41,48,73,87,85,74,77,34,85,92,100,72,40,46,56,52,28,96,100,55,63,74,76,86,27,83,65,86,48,20,72,91,23,30,24,19,21,30,67,72,99
41,40,33,20,66,0,61,66,86,80,57,24,97,64,95,97,46,63,47,95,92,19,80,80,94,99,57,49,34,35,54,24,45,26,69,25,26,84,21,84,57,45,37,94,41,23,30,86,65,33,99,27,48,49,50,19,36,56,17,22,43,41,41
48,57,25,90,11,61,0,56,78,70,61,92,12,52,96,35,97,74,96,35,84,92,58,76,16,25,16,16,47,18,90,71,92,34,93,35,100,20,32,76,90,61,16,91,94,50,81,45,82,93,47,62,40,23,13,94,74,13,78,66,86,23,48
56,41,96,34,33,66,56,0,57,17,91,35,97,95,32,85,51,60,18,13,95,48,26,97,18,28,18,65,16,73,94,21,38,72,38,25,76,15,29,43,100,69,44,35,12,52,98,27,19,10,68,91,10,35,93,67,21,25,55,15,48,49,56
39,80,69,82,100,86,78,57,0,89,18,33,97,82,70,14,89,69,41,64,86,57,14,80,65,53,29,74,26,99,33,82,24,52,92,23,64,74,33,91,61,70,14,100,23,41,81,98,40,21,32,28,98,85,56,51,19,28,68,55,62,69,39
99,86,58,66,51,80,70,17,89,0,37,35,36,28,51,50,35,34,97,19,83,58,29,71,26,46,32,61,27,35,49,55,29,46,90,29,87,72,38,13,17,18,49,81,61,21,18,43,72,87,62,85,53,81,78,18,55,38,63,16,38,33,99
71,54,63,34,99,57,61,91,18,37,0,79,18,84,45,36,33,32,16,47,25,18,54,79,56,24,98,21,88,53,14,64,83,39,45,66,55,25,96,97,11,26,62,74,69,48,62,63,96,99,15,56,83,18,41,65,77,38,57,33,34,60,71
21,77,70,100,30,24,92,35,33,35,79,0,42,34,88,27,83,30,93,93,91,99,44,21,56,63,69,45,50,16,14,88,93,32,54,31,55,77,65,98,24,56,19,99,82,53,58,89,63,86,26,24,59,77,71,67,71,17,61,58,52,31,21
33,19,72,46,50,97,12,97,97,36,18,42,0,83,90,15,47,83,28,24,98,30,66,54,10,34,32,72,55,21,32,93,90,58,72,45,99,12,18,66,40,23,45,85,60,41,63,69,23,26,84,40,45,60,93,43,91,81,91,61,69,33,33
93,82,99,49,63,64,52,95,82,28,84,34,83,0,75,94,81,93,18,34,36,29,15,96,93,91,23,54,100,89,11,15,74,89,91,16,10,59,11,94,35,64,62,92,85,80,70,41,96,60,19,84,75,13,99,48,90,83,90,65,87,12,93
26,97,59,36,71,95,96,32,70,51,45,88,90,75,0,79,54,62,85,53,40,83,36,22,25,20,20,75,36,81,77,70,61,16,73,28,81,64,21,32,36,87,79,67,19,38,29,79,71,72,79,27,83,58,59,79,85,28,18,91,22,14,26
36,81,55,40,20,97,35,85,14,50,36,27,15,94,79,0,13,35,37,72,20,51,93,100,63,99,59,29,23,42,40,36,37,82,14,42,12,33,95,34,24,16,24,38,78,49,27,23,52,89,49,97,34,20,69,78,86,22,47,100,48,76,36
38,92,71,91,84,46,97,51,89,35,33,83,47,81,54,13,0,16,88,63,87,92,99,36,29,74,32,54,71,65,37,100,54,19,80,84,69,63,79,28,70,74,99,38,91,90,37,58,27,80,38,51,39,67,19,27,65,92,12,12,32,100,38
66,77,46,41,90,63,74,60,69,34,32,30,83,93,62,35,16,0,53,96,56,77,82,38,67,32,63,95,51,15,59,77,38,57,25,82,81,87,67,20,84,79,36,22,64,26,50,41,15,95,42,70,36,10,82,86,100,13,58,40,43,21,66
65,62,78,71,45,47,96,18,41,97,16,93,28,18,85,37,88,53,0,26,57,90,97,38,52,15,81,76,37,90,70,59,98,16,81,34,29,63,36,69,65,90,32,91,40,38,41,42,38,80,88,88,85,16,26,32,88,48,64,38,40,53,65
60,78,83,58,86,95,35,13,64,19,47,93,24,34,53,72,63,96,26,0,84,86,68,72,14,21,51,29,31,27,32,94,88,14,23,35,89,36,100,74,74,12,30,19,86,94,69,96,73,30,93,35,18,93,46,82,74,46,77,13,34,76,60
94,74,23,58,54,92,84,95,86,83,25,91,98,36,40,20,87,56,57,84,0,20,45,46,63,94,62,11,36,55,83,48,40,65,65,39,23,17,17,37,90,43,65,71,10,12,76,83,19,73,12,74,78,91,17,74,20,52,61,87,100,63,94
60,55,73,54,97,19,92,48,57,58,18,99,30,29,83,51,92,77,90,86,20,0,76,71,44,28,68,68,28,80,81,83,39,71,77,56,22,56,61,30,62,29,36,92,45,94,94,13,53,48,66,56,18,49,56,65,16,69,47,67,76,35,60
77,11,36,14,41,80,58,26,14,29,54,44,66,15,36,93,99,82,97,68,45,76,0,49,79,31,46,49,79,26,11,86,35,72,46,47,63,15,24,15,79,42,33,90,51,39,34,64,14,33,16,66,20,15,64,83,63,47,89,57,18,52,77
88,96,77,20,48,80,76,97,80,71,79,21,54,96,22,100,36,38,38,72,46,71,49,0,34,52,10,22,49,96,81,59,61,25,96,60,77,10,20,52,72,48,62,95,29,27,56,46,17,98,83,37,42,85,27,53,32,81,44,10,22,94,88
29,61,28,31,73,94,16,18,65,26,56,56,10,93,25,63,29,67,52,14,63,44,79,34,0,24,88,17,46,97,88,78,16,25,60,44,79,73,46,27,52,84,52,33,46,66,85,82,51,69,52,91,69,38,74,53,56,86,96,22,25,74,29
47,96,99,96,87,99,25,28,53,46,24,63,34,91,20,99,74,32,15,21,94,28,31,52,24,0,25,20,87,33,63,39,86,62,18,90,32,61,57,100,87,59,72,90,27,96,64,67,63,56,39,35,89,73,51,40,38,60,72,88,28,39,47
80,68,26,11,85,57,16,18,29,32,98,69,32,23,20,59,32,63,81,51,62,68,46,10,88,25,0,43,46,77,60,22,56,89,72,79,100,71,90,11,41,79,86,10,80,19,63,73,88,13,51,99,87,69,10,81,32,49,99,69,24,79,80
82,84,42,32,74,49,16,65,74,61,21,45,72,54,75,29,54,95,76,29,11,68,49,22,17,20,43,0,94,14,97,66,39,14,89,97,47,15,33,44,15,66,90,88,97,33,24,64,91,42,67,41,78,16,33,32,14,82,77,36,34,72,82
82,61,45,30,77,34,47,16,26,27,88,50,55,100,36,23,71,51,37,31,36,28,79,49,46,87,46,94,0,45,31,76,71,36,73,71,23,55,16,93,21,57,52,90,53,47,41,80,60,95,88,61,22,32,36,50,35,12,39,24,50,66,82
28,100,64,93,34,35,18,73,99,35,53,16,21,89,81,42,65,15,90,27,55,80,26,96,97,33,77,14,45,0,96,14,25,68,69,23,13,32,76,28,53,100,70,85,30,24,61,19,49,57,92,74,100,37,26,75,13,90,58,39,72,45,28
44,29,29,41,85,54,90,94,33,49,14,14,32,11,77,40,37,59,70,32,83,81,11,81,88,63,60,97,31,96,0,28,52,25,13,43,83,92,22,53,75,28,71,14,95,73,96,73,57,65,90,76,82,59,14,31,10,62,88,40,86,13,44
61,51,88,23,92,24,71,21,82,55,64,88,93,15,70,36,100,77,59,94,48,83,86,59,78,39,22,66,76,14,28,0,94,10,29,21,10,78,100,90,15,45,87,32,88,16,74,49,73,28,37,23,60,14,72,42,46,32,45,63,27,13,61
89,10,69,25,100,45,92,38,24,29,83,93,90,74,61,37,54,38,98,88,40,39,35,61,16,86,56,39,71,25,52,94,0,74,36,87,19,63,94,27,77,52,78,48,68,42,64,16,97,10,59,30,23,32,79,18,86,47,51,94,86,60,89
92,32,21,72,72,26,34,72,52,46,39,32,58,89,16,82,19,57,16,14,65,71,72,25,25,62,89,14,36,68,25,10,74,0,31,49,78,12,30,58,76,31,14,72,63,47,76,25,29,30,41,33,32,83,57,50,71,63,46,57,84,59,92
75,99,91,61,40,69,93,38,92,90,45,54,72,91,73,14,80,25,81,23,65,77,46,96,60,18,72,89,73,69,13,29,36,31,0,15,51,66,70,68,74,63,17,26,58,51,72,28,65,41,47,27,48,45,10,97,33,66,46,48,44,14,75
75,59,56,66,46,25,35,25,23,29,66,31,45,16,28,42,84,82,34,35,39,56,47,60,44,90,79,97,71,23,43,21,87,49,15,0,100,18,37,35,81,86,52,96,59,34,60,53,67,51,97,71,86,76,71,30,66,20,66,82,64,80,75
72,63,17,71,56,26,100,76,64,87,55,55,99,10,81,12,69,81,29,89,23,22,63,77,79,32,100,47,23,13,83,10,19,78,51,100,0,38,93,14,28,41,22,55,98,61,44,69,93,57,55,68,56,40,79,16,65,19,35,49,17,91,72
73,53,10,81,52,84,20,15,74,72,25,77,12,59,64,33,63,87,63,36,17,56,15,10,73,61,71,15,55,32,92,78,63,12,66,18,38,0,86,67,63,30,42,10,22,76,22,70,25,25,46,79,23,58,35,83,77,33,95,84,27,76,73
15,99,85,76,28,21,32,29,33,38,96,65,18,11,21,95,79,67,36,100,17,61,24,20,46,57,90,33,16,76,22,100,94,30,70,37,93,86,0,82,16,33,65,71,49,96,69,38,83,90,42,81,56,97,75,33,22,22,89,79,25,75,15
28,80,10,47,96,84,76,43,91,13,97,98,66,94,32,34,28,20,69,74,37,30,15,52,27,100,11,44,93,28,53,90,27,58,68,35,14,67,82,0,20,71,35,80,26,92,83,55,18,60,52,65,79,75,69,78,89,36,70,66,67,84,28
